Food_Code,Food_Name,Description,Food_Group,Previous,Main data references,Footnote,Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Energy (kJ) (kJ),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g FA (g),Satd FA /100g fd (g),n-6 poly /100g FA (g),n-6 poly /100g food (g),n-3 poly /100g FA (g),n-3 poly /100g food (g),cis-Mono FA /100g FA (g),cis-Mono FA /100g Food (g),Mono FA/ 100g FA (g),Mono FA /100g food (g),cis-Polyu FA /100g FA (g),cis-Poly FA /100g Food (g),Poly FA /100g FA (g),Poly FA /100g food (g),Sat FA excl Br /100g FA (g),Sat FA excl Br /100g food (g),Branched chain FA /100g FA (g),Branched chain FA /100g food (g),Trans FAs /100g FA (g),Trans FAs /100g food (g),Cholesterol (mg),Food_Category,Super_Category
15-001,"Aubergine, stuffed with lentils and vegetables",Recipe from dietary survey records. Whole dish consumed,DR,,As Vegetable Dishes Supplement 1992,,85.5,0.34,2.0,4.6,3.9,64,267,2.1,0.1,1.7,0.8,0.0,0.7,0.1,0.0,0.0,,1.9,,,0.50,,,,,,,,1.60,,,,2.20,,,,,,,0.0,Unknown,Unknown
15-662,"Aubergine, stuffed with rice","Rice, tomato, onion and raisin stuffing. Recipe from review of recipe collection. Whole dish consumed",DR,15-385 ,Updated 2014,,77.3,0.30,1.9,2.1,15.9,86,364,9.8,,6.0,3.0,,2.7,0.2,0.0,0.0,0.0,2.1,N,,0.22,,,,,,,,1.01,,,,0.70,,,,,,Tr,0.0,Unknown,Unknown
15-663,"Aubergine, stuffed with vegetables, cheese topping","Tomato, mushroom and onion stuffing. Recipe from review of recipe collection. Whole dish consumed",DR,15-386 ,Updated 2014,,75.3,0.84,5.0,9.7,3.6,119,496,0.2,,3.2,1.5,,1.4,0.3,0.0,0.0,,2.2,N,,3.48,,,,,,,,3.90,,,,1.61,,,,,,0.21,13.9,Unknown,Unknown
15-664,"Bean loaf, mixed beans, homemade",Recipe from dietary survey records,DR,15-387 ,Updated 2014,,64.7,1.11,6.6,7.2,15.1,148,621,10.5,,3.6,1.1,,1.2,1.2,0.0,0.0,,4.3,N,,0.59,,,,,,,,3.60,,,,2.38,,,,,,Tr,0.0,Unknown,Unknown
15-665,"Beanburger, aduki, fried in rapeseed oil, homemade",Recipe,DR,15-388 ,Updated 2014,,54.1,1.31,8.1,7.3,24.1,190,793,21.4,,2.3,0.7,,0.5,1.0,0.1,0.0,,4.4,N,,N,,,,,,,,N,,,,N,,,,,,0.00,30.6,Unknown,Unknown
15-666,"Beanburger, butter bean, fried in rapeseed oil, homemade",Recipe,DR,15-389 ,Updated 2014,,58.9,0.93,5.7,10.6,20.2,194,812,16.2,0.4,3.0,0.6,Tr,0.5,1.9,Tr,0.0,,4.0,N,,0.85,,,,,,,,5.84,,,,3.24,,,,,,Tr,0.0,Unknown,Unknown
15-667,"Beanburger, red kidney bean, fried in rapeseed oil",Recipe from Leeds Polytechnic,DR,15-390 ,Updated 2014,,56.9,1.01,6.2,10.7,21.7,202,846,17.7,1.1,2.6,0.6,Tr,0.5,1.5,Tr,0.0,,4.8,N,,0.85,,,,,,,,5.89,,,,3.30,,,,,,Tr,0.0,Unknown,Unknown
15-668,"Beanburger, soya, fried in rapeseed oil",Recipe from review of recipe collection,DR,15-366 ,Updated 2014,,57.5,1.69,10.5,10.7,14.5,193,806,9.9,0.9,3.7,1.0,Tr,1.0,1.8,Tr,0.0,,4.6,N,,1.18,,,,,,,,4.39,,,,3.87,,,,,,Tr,29.2,Unknown,Unknown
15-669,"Bhaji, aubergine and potato, homemade",Recipe from review of recipe collection,DR,15-391 ,Updated 2014,,73.5,0.29,1.8,8.8,13.4,135,562,9.5,0.6,3.2,1.4,Tr,1.1,0.7,0.0,0.0,,1.4,N,,0.61,,,,,,,,5.04,,,,2.57,,,,,,Tr,0.0,Unknown,Unknown
15-670,"Bhaji, aubergine, pea, potato and cauliflower, homemade",Gujerati dish. Recipe from a personal collection,DR,15-392 ,Updated 2014,,79.9,0.47,2.9,2.5,10.7,72,303,6.1,,4.3,0.9,,0.8,2.6,0.0,0.0,,2.5,N,,0.24,,,,,,,,1.14,,,,0.80,,,,,,Tr,0.0,Unknown,Unknown
