Food_Code,Food_Name,Description,Food_Group,Previous,Main data references,Footnote,Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Energy (kJ) (kJ),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g FA (g),Satd FA /100g fd (g),n-6 poly /100g FA (g),n-6 poly /100g food (g),n-3 poly /100g FA (g),n-3 poly /100g food (g),cis-Mono FA /100g FA (g),cis-Mono FA /100g Food (g),Mono FA/ 100g FA (g),Mono FA /100g food (g),cis-Polyu FA /100g FA (g),cis-Poly FA /100g Food (g),Poly FA /100g FA (g),Poly FA /100g food (g),Sat FA excl Br /100g FA (g),Sat FA excl Br /100g food (g),Branched chain FA /100g FA (g),Branched chain FA /100g food (g),Trans FAs /100g FA (g),Trans FAs /100g food (g),Cholesterol (mg),Food_Category,Super_Category
14-331,"Apple juice, clear, ambient and chilled","10 samples, 9 brands, from concentrate",FC,14-271 ,"DH, Nutrient analysis of fruit and vegetables, 2013",,86.6,0.02,0.1,Tr,9.7,37,157,0.0,,9.7,2.4,Tr,5.5,1.8,0.0,0.0,0.0,Tr,Tr,,Tr,,,,,,,,Tr,,,,Tr,,,,,,Tr,0.0,Unknown,Unknown
14-278,"Lemon juice, fresh, weighed as whole fruit",Calculated from 14-277,FC,,"MW4, 1978. Values reviewed and revised for Fruit and Nuts Supplement, 1992",,32.0,0.02,0.1,Tr,0.6,2,11,0.0,,0.6,0.2,,0.3,0.1,0.0,0.0,,Tr,,,Tr,,,,,,,,Tr,,,,Tr,,,,,,,0.0,Unknown,Unknown
14-279,"Lime juice, fresh",Literature sources,FC,,"Gebhardt et al. (1982) Composition of foods: fruits and fruit juices, raw, processed and prepared, Agriculture Handbook No. 8-9",,90.2,0.06,0.4,0.1,1.6,9,36,0.0,,1.6,0.6,,0.6,0.4,0.0,0.0,,0.1,,,Tr,,,,,,,,Tr,,,,0.10,,,,,,,0.0,Unknown,Unknown
14-330,"Orange juice, ambient, UHT","11 samples, 9 brands, including ‘smooth’ and ‘with bits’",FC,14-301 ,"DH, Nutrient analysis of fruit and vegetables, 2013",,89.4,0.09,0.6,Tr,8.5,34,146,0.0,,8.5,2.0,Tr,2.4,4.1,0.0,0.0,0.0,0.2,Tr,,Tr,,,,,,,,Tr,,,,Tr,,,,,,Tr,0.0,Unknown,Unknown
14-329,"Orange juice, chilled","10 samples, 8  brand, premium and from concentrate including 'smooth' and 'with bits'",FC,14-301 ,"DH, Nutrient analysis of fruit and vegetables, 2013",,87.7,0.14,0.9,Tr,8.6,36,153,0.0,,8.6,2.0,Tr,2.4,4.2,0.0,0.0,0.0,0.2,Tr,,Tr,,,,,,,,Tr,,,,Tr,,,,,,Tr,0.0,Unknown,Unknown
14-369,"Orange juice, freshly squeezed",Strained juice from fresh oranges,FC,14-281 ,"Fruit and Nuts Supplement, 1992; and estimated from 14-327",,87.7,0.10,0.6,Tr,8.1,33,140,0.0,,8.1,2.0,,2.2,4.0,0.0,0.0,0.0,0.1,N,,Tr,,,,,,,,Tr,,,,Tr,,,,,,0.00,0.0,Unknown,Unknown
14-370,"Orange juice, freshly squeezed, weighed as whole fruit",Calculated from 14-281,FC,14-282 ,"Fruit and Nuts Supplement, 1992; and estimated from 14-369",,40.3,0.05,0.3,Tr,3.7,15,64,0.0,,3.7,0.9,,1.0,1.8,0.0,0.0,,Tr,Tr,,Tr,,,,,,,,Tr,,,,Tr,,,,,,,0.0,Unknown,Unknown
14-285,Passion fruit juice,Literature sources,FC,,"Gebhardt et al. (1982) Comoposition of foods: fruits and fruit juices, raw, processed and prepared, and Gopalan et al. (1980) Nutritive values of Indian foods",,87.3,0.13,0.8,0.1,10.7,47,189,0.0,,10.7,4.1,,3.5,3.1,0.0,0.0,,Tr,,,Tr,,,,,,,,Tr,,,,Tr,,,,,,,0.0,Unknown,Unknown
14-341,Pomegranate juice drink,with added sugar,FC,14-288 ,"MW1, 1940; and industry data, 2013",,85.4,0.03,0.2,Tr,11.6,44,189,0.0,,11.6,6.3,,5.1,0.2,0.0,0.0,,Tr,Tr,,Tr,,,,,,,,Tr,,,,Tr,,,,,,Tr,0.0,Unknown,Unknown
14-289,Prune juice,4 bottled samples; 2 brands,FC,,"LGC, Fruit and vegetables, 1989-1990",,79.7,0.08,0.5,0.1,14.4,57,243,0.0,,14.4,10.0,,4.4,Tr,0.0,0.0,,Tr,,,Tr,,,,,,,,Tr,,,,Tr,,,,,,,0.0,Unknown,Unknown
