,Food Code,Food Name,Group,Super Group,Sale format(s),VJ comments
1,16-001,"Ayr, raw",JA,Fish and fish products,,
2,,"Anchovies, canned in oil,",JC,Fish and fish products,tin,
3,16-385,"Bass, sea, flesh only, raw",JA,Fish and fish products,fillet,
4,16-003,"Bele, raw",JA,Fish and fish products,fillet,
5,16-004,"Boal, raw",JA,Fish and fish products,fillet,
6,16-005,Bombay duck,JA,Fish and fish products,,
7,16-006,"Bream, Sea, raw",JA,Fish and fish products,fillet,
8,16-169,"Bacha, raw",JC,Fish and fish products,fillet,
9,16-372,"Cod, flesh only, raw",JA,Fish and fish products,fillet,
10,16-172,"Carp, raw",JA,Fish and fish products,fillet,
11,16-007,"Catfish, raw",JA,Fish and fish products,fillet,
12,16-011,"Chital, raw",JA,Fish and fish products,fillet,
13,16-383,"Coley, flesh only, raw",JA,Fish and fish products,fillet,
14,,"Crab, canned in brine",JK,Fish and fish products,tin,
15,,Crab,JK,Fish and fish products,,
16,,"Crab, white meat",JK,Fish and fish products,,
17,16-235,"Crayfish, raw",JK,Fish and fish products,,
18,,Calamari,JM,Fish and fish products,,
19,,Cockles,JM,Fish and fish products,,
20,16-254,"Cuttlefish, raw",JM,Fish and fish products,,
21,,Caviare,JR,Fish and fish products,"tin, jar",
22,16-173,"Eel, yellow, raw",JC,Fish and fish products,,
23,16-375,"Haddock, flesh only, raw",JA,Fish and fish products,,
24,16-070,"Hake, flesh only, raw",JA,Fish and fish products,,
25,16-081,"Kalabasu, raw",JA,Fish and fish products,,
26,16-186,"Katla, raw",JA,Fish and fish products,,
27,,"Kippers, flesh only",JC,Fish and fish products,,
28,16-393,"Mackerel, flesh only, raw",JC,Fish and fish products,,
29,16-497,"Mussels, raw",JM,Fish and fish products,,
30,16-259,"Octopus, raw",JM,Fish and fish products,,
31,16-260,"Oysters, raw",JM,Fish and fish products,,
32,16-378,"Pollock, Alaskan, flesh only, raw",JA,Fish and fish products,,
33,16-387,"Prawns, king, raw",JK,Fish and fish products,,
