Food_Code,Food_Name,Description,Food_Group,Previous,Main data references,Footnote,Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Energy (kJ) (kJ),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g FA (g),Satd FA /100g fd (g),n-6 poly /100g FA (g),n-6 poly /100g food (g),n-3 poly /100g FA (g),n-3 poly /100g food (g),cis-Mono FA /100g FA (g),cis-Mono FA /100g Food (g),Mono FA/ 100g FA (g),Mono FA /100g food (g),cis-Polyu FA /100g FA (g),cis-Poly FA /100g Food (g),Poly FA /100g FA (g),Poly FA /100g food (g),Sat FA excl Br /100g FA (g),Sat FA excl Br /100g food (g),Branched chain FA /100g FA (g),Branched chain FA /100g food (g),Trans FAs /100g FA (g),Trans FAs /100g food (g),Cholesterol (mg),Food_Category,Super_Category
14-870,"Almonds, flaked and ground",10 samples,GA,14-801 14-855 50-972 ,"Reviewed 2013. LGC, Snacks and nuts, 1989-1991; and Fatty Acid Supplement, 1998 (14-855). Selenium from Analysis of foods for Selenium 1994",,4.2,4.07,21.1,55.8,6.9,612,2534,2.7,,4.2,Tr,,Tr,4.2,0.0,0.0,0.0,7.4,N,,4.43,19.10,10.19,0.50,0.27,71.60,38.19,,38.19,19.60,10.46,,10.46,8.30,4.43,0.00,0.00,0.00,0.00,0.0,Unknown,Unknown
14-897,"Almonds, toasted",Literature sources,GA,14-803,"USDA SR28, 2015",,2.4,4.05,21,52.5,5.9,579,2394,0.8,,5.1,Tr,Tr,Tr,5,0.1,0,0,N,10.9,,4.09,,,,,,,,33.08,,,,12.96,,,,,,0.01,0,Unknown,Unknown
14-898,"Almonds, weighed with shells",Calculated from 14-896,GA,14-883,"USDA SR28, 2015",,1.6,1.51,7.8,18.5,1.9,205,847,0.3,,1.6,0.1,Tr,Tr,1.5,Tr,0,0,N,4.6,,1.41,,,,,,,,11.67,,,,4.56,,,,,,0.01,0,Unknown,Unknown
14-896,"Almonds, whole kernels","Literature sources, Prunus dulcis",GA,,"USDA SR28, 2015",,4.4,4.09,21.2,49.9,5.3,554,2292,0.8,,4.5,0.2,0.1,0.1,4.1,Tr,0,0,N,12.5,,3.8,,,,,,,,31.55,,,,12.33,,,,,,0.02,0,Unknown,Unknown
14-804,"Barcelona nuts, Kernel only",Kernel only,GA,,"MW4, 1978. Values reviewed for Fruit and Nuts Supplement, 1992",,5.7,2.06,10.9,64.0,5.2,639,2637,1.8,,3.4,0.0,,0.0,3.4,0.0,0.0,,N,,,N,,,,,,,,N,,,,N,,,,,,,0.0,Unknown,Unknown
14-805,"Barcelona nuts, kernel only, weighed with shells",Calculated from 14-804,GA,,"MW4, 1978. Values reviewed for Fruit and Nuts Supplement, 1992",,3.5,1.28,6.8,39.7,3.2,397,1636,1.1,,2.1,0.0,,0.0,2.1,0.0,0.0,,N,,,N,,,,,,,,N,,,,N,,,,,,,0.0,Unknown,Unknown
14-806,Betel nuts,Literature sources,GA,,"Wu Leung et al. (1972) Food composition table for use in East Asia, and McCarthy and Matthews (1984) Composition of foods: nut and seed products, raw, processed and prepared",,11.5,0.98,5.2,10.2,56.7,339,1430,N,,N,0.0,,0.0,N,0.0,0.0,,N,,,N,,,,,,,,N,,,,N,,,,,,,0.0,Unknown,Unknown
14-871,"Brazil nuts, kernel only",10 samples,GA,14-808 14-856 50-974 ,"Reviewed 2013. LGC, Savoury snacks and nuts, 1989-1991; Fatty Acids Supplement, 1998; selenium from Analysis of foods for Selenium 1994",,2.8,2.61,14.3,68.2,3.1,683,2816,0.7,,2.4,0.0,,0.0,2.4,0.0,0.0,0.0,4.3,N,,17.41,39.00,25.43,0.00,0.00,34.30,22.36,,22.36,39.00,25.43,,25.43,26.70,17.41,0.00,0.00,0.00,0.00,0.0,Unknown,Unknown
14-884,"Brazil nuts, kernel only, weighed with shells",Calculated from 14-871,GA,14-809 50-975 ,"LGC, Savoury snacks and nuts, 1989-1991; Fatty acids calculated from Fatty Acid Supplement, 1998; selenium calculated from Analysis of foods for Selenium 1994",,1.3,1.20,6.5,31.4,1.4,314,1295,0.3,,1.1,0.0,,0.0,1.1,0.0,0.0,,2.0,,,8.01,,,,,,,,10.29,,,,11.24,,,,,,0.00,0.0,Unknown,Unknown
14-811,"Cashew nuts, kernel only, plain","20 samples, whole and broken kernels",GA,,"LGC, Savoury snacks and nuts, 1989-1991",,4.4,3.34,17.7,48.2,18.1,573,2374,13.5,,4.6,0.0,,0.0,4.6,0.0,0.0,,3.2,,,9.50,,,,,,,,27.80,,,,8.80,,,,,,,0.0,Unknown,Unknown
14-812,"Cashew nuts, kernel only, roasted and salted","10 samples, kernels only",GA,50-976 ,"Reviewed 2013. LGC, Savoury snacks and nuts, 1989-1991",,2.4,3.87,20.5,50.9,18.8,611,2533,13.2,,5.6,0.0,,0.0,5.6,0.0,0.0,0.0,3.2,4.3,,10.10,,,,,,,,29.40,,,,9.10,,,,,,Tr,0.0,Unknown,Unknown
14-815,"Chestnuts, dried",Literature sources and calculation from 14-813,GA,,"McCarthy and Matthews (1984) Composition of foods: nut and seed products, raw, processed and prepared, Agriculture Handbook No. 8-12, and calculation from 14-813",,9.0,0.69,3.7,5.1,69.0,319,1356,55.8,,13.2,Tr,,Tr,13.2,0.0,0.0,,7.7,,,0.90,,,,,,,,1.90,,,,2.10,,,,,,,0.0,Unknown,Unknown
14-813,"Chestnuts, kernel only, raw",Analysis and literature sources,GA,50-977 ,"Reviewed 2013. Fruit and Nuts Supplement, 1992",,51.7,0.37,2.0,2.7,36.6,170,719,29.6,,7.0,Tr,,Tr,7.0,0.0,0.0,0.0,4.1,N,,0.50,,,,,,,,1.00,,,,1.10,,,,,,0.00,0.0,Unknown,Unknown
14-814,"Chestnuts, kernel only, raw, weighed with shells",Calculated from 14-813,GA,,"Fruit and Nuts Supplement, 1992",,42.9,0.31,1.6,2.2,30.4,140,595,24.6,,5.8,Tr,,Tr,5.8,0.0,0.0,,3.4,,,0.40,,,,,,,,0.80,,,,0.90,,,,,,,0.0,Unknown,Unknown
14-820,Coconut milk,Analysis and literature sources; drained fluid from fresh coconut,GA,,"MW4, 1978. Values reviewed for Fruit and Nuts Supplement, 1992",,92.2,0.06,0.3,0.3,4.9,22,95,0.0,,4.9,0.3,,Tr,4.6,0.0,0.0,0.0,Tr,,,0.20,,,,,,,,Tr,,,,Tr,,,,,,0.00,0.0,Unknown,Unknown
14-890,"Coconut milk, reduced fat, retail",Estimated from label data,GA,,"Industry data, 2013",,89.5,0.13,0.7,7.7,2,79,328,0.9,,1.1,N,0.0,N,N,0.0,0.0,0.0,N,0.1,,6.35,,,,,,,,N,,,,N,,,,,,0.00,0.0,Unknown,Unknown
