Food_Code,Food_Name,Description,Food_Group,Previous,Main data references,Footnote,Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Energy (kJ) (kJ),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g FA (g),Satd FA /100g fd (g),n-6 poly /100g FA (g),n-6 poly /100g food (g),n-3 poly /100g FA (g),n-3 poly /100g food (g),cis-Mono FA /100g FA (g),cis-Mono FA /100g Food (g),Mono FA/ 100g FA (g),Mono FA /100g food (g),cis-Polyu FA /100g FA (g),cis-Poly FA /100g Food (g),Poly FA /100g FA (g),Poly FA /100g food (g),Sat FA excl Br /100g FA (g),Sat FA excl Br /100g food (g),Branched chain FA /100g FA (g),Branched chain FA /100g food (g),Trans FAs /100g FA (g),Trans FAs /100g food (g),Cholesterol (mg),Food_Category,Super_Category
16-001,"Ayr, raw",Literature sources. Imported frozen from Bangladesh,JA,,"Gopalan et al (1980) Nutritive value of Indian foods. National Insitute of Nutrition, Indian Council of Medical Research",,78.1,2.54,15.9,1.3,0.0,75,318,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,N,,,,,,,,N,,,,N,,,,,,,N,Unknown,Unknown
16-386,"Bass, sea, flesh only, baked","10 samples, 10 products, frozen and chilled",JA,,"DH, Nutrient analysis of fish and fish products, 2013",,69.0,3.71,23.2,6.8,0.0,154,646,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,24.00,1.47,,0.85,,1.23,37.35,2.29,,2.29,34.10,2.09,,2.09,,,,,0.15,0.01,49.0,Unknown,Unknown
16-463,"Bass, sea, flesh only, baked, weighed with bones and skin",Calculated from baked 16-386 using edible conversion factor 0.89,JA,,"DH, Nutrient analysis of fish and fish products, 2013",,61.4,3.30,20.6,6.1,0.0,137,76,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.31,,0.76,,1.10,,2.03,,2.04,,1.86,,1.86,,,,,,0.01,43.6,Unknown,Unknown
16-385,"Bass, sea, flesh only, raw","10 samples, 10 products, frozen and chilled",JA,,"DH, Nutrient analysis of fish and fish products, 2013",,69.4,3.20,20.0,9.8,0.0,168,703,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.52,2.16,,1.20,,1.71,38.55,3.40,,3.42,32.99,2.91,,2.91,,,,,0.27,0.02,71.0,Unknown,Unknown
16-464,"Bass, sea, flesh only, raw, weighed with bones and skin",Calculated from 16-385 using edible conversion factor of 0.86,JA,,"DH, Nutrient analysis of fish and fish products, 2013",,59.7,2.80,17.2,8.4,0.0,144,603,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.86,,1.03,,1.47,,2.92,,2.94,,2.50,,2.50,,,,,,0.02,61.0,Unknown,Unknown
16-003,"Bele, raw",Literature sources. Imported frozen from Bangladesh,JA,,"Fish and Fish Products Supplement, 1993",,79.9,2.45,15.3,0.7,0.0,67,284,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,N,,,,,,,,N,,,,N,,,,,,,N,Unknown,Unknown
16-004,"Boal, raw",Literature sources. Imported frozen from Bangladesh,JA,,"Fish and Fish Products Supplement, 1993",,73.0,2.46,15.4,2.7,0.0,86,362,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,N,,,,,,,,N,,,,N,,,,,,,N,Unknown,Unknown
16-005,Bombay duck,"Literature sources. Salted dried fish, also known as dried lottiya",JA,,"Fish and Fish Products Supplement, 1993",,16.7,9.87,61.7,4.0,0.0,283,1197,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,N,,,,,,,,N,,,,N,,,,,,,N,Unknown,Unknown
16-006,"Bream, Sea, raw",Literature sources,JA,,"Fish and Fish Products Supplement, 1993",,77.7,2.80,17.5,2.9,0.0,96,405,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,N,,,,,,,,N,,,,N,,,,,,,38.0,Unknown,Unknown
16-172,"Carp, raw",Literature sources,JA,,"Fish and Fish Products Supplement, 1993",,77.3,2.80,17.5,4.7,0.0,112,471,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,0.90,,,,,,,,1.60,,,,0.80,,,,,,,67.0,Unknown,Unknown
16-008,"Catfish, flesh only, steamed",Middle cuts,JA,,"Fish and Fish Products Supplement, 1993",,73.6,3.43,21.4,3.7,0.0,119,501,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,0.50,,,,,,,,1.10,,,,1.10,,,,,,,61.0,Unknown,Unknown
16-009,"Catfish, flesh only, steamed, weighed with bones",Calculated from steamed 16-008,JA,,"Fish and Fish Products Supplement, 1993",,62.6,2.92,18.2,3.1,0.0,101,426,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,0.40,,,,,,,,0.90,,,,0.90,,,,,,,52.0,Unknown,Unknown
16-007,"Catfish, raw",Literature sources,JA,,"Fish and Fish Products Supplement, 1993",,80.1,2.82,17.6,2.8,0.0,96,403,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,0.40,,,,,,,,0.80,,,,0.80,,,,,,,46.0,Unknown,Unknown
16-011,"Chital, raw",Literature sources. Imported frozen from Bangladesh,JA,,"Gopalan and Sastri (1980) Nutritive value of Indian foods, and Wu Leung et al. (1972) Food composition table for use in East Asia",,77.5,2.89,18.1,1.9,0.0,90,378,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,N,,,,,,,,N,,,,N,,,,,,,N,Unknown,Unknown
16-490,"Cod, dried, salted, boiled",Soaked 24 hours and boiled,JA,50-572 ,"MW5, 1991 with data from ISGEM 2014",,64.9,5.20,32.5,0.9,0.0,138,586,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.20,,,,,,,,0.10,,,,0.40,,,,,,Tr,59.0,Unknown,Unknown
16-373,"Cod, flesh only, baked","11 samples, 11 products, frozen and chilled",JA,16-013 ,"DH, Nutrient analysis of fish and fish products, 2013",,76.9,3.82,23.9,0.5,0.0,100,425,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.17,0.12,,0.02,,0.13,21.18,0.08,,0.08,41.80,0.16,,0.16,,,,,0.34,Tr,43.3,Unknown,Unknown
16-465,"Cod, flesh only, baked, weighed with bones and skin",Calculated from 16-373 using edible conversion factor of 0.89,JA,,"DH, Nutrient analysis of fish and fish products, 2013",,68.4,3.40,21.3,0.4,0.0,89,377,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.11,,0.02,,0.12,,0.07,,0.07,,0.14,,0.14,,,,,,Tr,38.5,Unknown,Unknown
