Food_Code,Food_Name,Description,Food_Group,Previous,Main data references,Footnote,Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Energy (kJ) (kJ),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g FA (g),Satd FA /100g fd (g),n-6 poly /100g FA (g),n-6 poly /100g food (g),n-3 poly /100g FA (g),n-3 poly /100g food (g),cis-Mono FA /100g FA (g),cis-Mono FA /100g Food (g),Mono FA/ 100g FA (g),Mono FA /100g food (g),cis-Polyu FA /100g FA (g),cis-Poly FA /100g Food (g),Poly FA /100g FA (g),Poly FA /100g food (g),Sat FA excl Br /100g FA (g),Sat FA excl Br /100g food (g),Branched chain FA /100g FA (g),Branched chain FA /100g food (g),Trans FAs /100g FA (g),Trans FAs /100g food (g),Cholesterol (mg),Food_Category,Super_Category
16-448,"Anchovies, canned in oil, drained","10 samples, 4 brands",JC,16-323 ,"Data from Fish and Fish Products Supplement, 1993 (16-168) except fatty acids and phytosterols  from RHM, fatty acids in foods, 1993",,46.4,4.03,25.2,10.0,0.0,191,798,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.10,1.60,,,,,,,53.00,5.30,,,18.40,1.80,,,,,0.50,Tr,63.0,Unknown,Unknown
16-169,"Bacha, raw",Literature sources. Imported frozen from Bangladesh,JC,,"Gopalan et al (1980) Nutritive value of Indian foods. National Insitute of Nutrition, Indian Council of Medical Research",,68.8,2.90,18.1,5.6,0.0,123,515,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,N,,,,,,,,N,,,,N,,,,,,,N,Unknown,Unknown
16-170,"Bloater, flesh only, grilled",Salted and smoked herring,JC,,"MW1, 1940",,55.6,3.76,23.5,17.4,0.0,251,1043,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,4.40,,,,,,,,7.30,,,,3.60,,,,,,,66.0,Unknown,Unknown
16-171,"Bloater, flesh only, grilled, weighed with bones and skin",Calculated from grilled 16-170,JC,,"MW1, 1940",,36.1,2.44,15.3,11.3,0.0,163,678,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,2.90,,,,,,,,4.80,,,,2.30,,,,,,,43.0,Unknown,Unknown
16-173,"Eel, yellow, raw",Analytical and literature sources,JC,,"Fish and Fish Products Supplement, 1993",,71.3,2.66,16.6,11.3,0.0,168,700,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,2.90,,,,,,,,5.40,,,,1.60,,,,,,,150.0,Unknown,Unknown
16-176,"Herring, flesh only, grilled","Samples gutted, grilled for 7 minutes per side",JC,50-613 ,"Reviewed 2013. Fish and Fish Products Supplement, 1993",,63.9,3.22,20.1,11.2,0.0,181,756,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.80,,,,,,,,4.70,,,,2.30,,,,,,Tr,43.0,Unknown,Unknown
16-177,"Herring, flesh only, grilled, weighed with bones and skin",Calculated from grilled 16-176,JC,50-614 ,"Fish and Fish Products Supplement, 1993",,43.5,2.19,13.7,7.6,0.0,123,514,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,1.90,,,,,,,,3.20,,,,1.60,,,,,,Tr,29.0,Unknown,Unknown
16-175,"Herring, flesh only, raw","35 fish, purchased whole over the year",JC,50-610 16-309 ,"Fish and Fish Products Supplement, 1993; fatty acids as Fatty Acid Supplement, 1998 (16-309)",,68.0,2.85,17.8,13.2,0.0,190,791,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,3.65,2.70,0.32,15.40,1.83,50.40,5.98,,5.98,18.30,2.17,,2.17,30.70,3.64,0.90,0.11,Tr,Tr,50.0,Unknown,Unknown
16-183,"Herring, pickled","6 samples, loose rollmops and in jars",JC,,"LGC, Analytical survey of fish and fish products, 1991-1992",,57.9,2.67,16.7,11.1,10.0,209,877,0.0,,10.0,0.0,,0.0,10.0,0.0,0.0,,0.0,,,N,,,,,,,,N,,,,N,,,,,,,42.0,Unknown,Unknown
16-184,"Hilsa, raw",Literature sources. Imported frozen from Bangladesh,JC,,Gopalan and Sastri (1980) Nutritive value of Indian foods,,53.7,3.49,21.8,19.4,0.0,262,1088,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,N,,,,,,,,N,,,,N,,,,,,,N,Unknown,Unknown
