Food_Code,Food_Name,Description,Food_Group,Previous,Main data references,Footnote,Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Energy (kJ) (kJ),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g FA (g),Satd FA /100g fd (g),n-6 poly /100g FA (g),n-6 poly /100g food (g),n-3 poly /100g FA (g),n-3 poly /100g food (g),cis-Mono FA /100g FA (g),cis-Mono FA /100g Food (g),Mono FA/ 100g FA (g),Mono FA /100g food (g),cis-Polyu FA /100g FA (g),cis-Poly FA /100g Food (g),Poly FA /100g FA (g),Poly FA /100g food (g),Sat FA excl Br /100g FA (g),Sat FA excl Br /100g food (g),Branched chain FA /100g FA (g),Branched chain FA /100g food (g),Trans FAs /100g FA (g),Trans FAs /100g food (g),Cholesterol (mg),Food_Category,Super_Category
16-391,"Crab, brown meat, purchased cooked","7 samples, 6 products",JK,,"DH, Nutrient analysis of fish and fish products, 2013",,66.5,3.01,18.8,7.8,Tr,145,608,Tr,,Tr,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.16,1.26,,0.29,,1.30,31.88,1.74,,1.77,29.27,1.60,,1.60,,,,,0.74,0.04,271.0,Unknown,Unknown
16-452,"Crab, canned in brine, drained","6 cans, 2 brands",JK,16-234 ,"Fish and Fish Products Supplement, 1993; and industry data, 2013",,79.2,2.90,18.1,0.5,Tr,77,326,Tr,,Tr,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.10,,,,,,,,0.10,,,,0.10,,,,,,Tr,72.0,Unknown,Unknown
16-441,"Crab, purchased cooked","Frozen and chilled. Average of brown and white crab meat. Analytical data, 2010-2011",JK,16-331 ,"DH, Nutrient analysis of fish and fish products, 2013",,72.1,3.14,19.7,4.1,Tr,115,484,Tr,,Tr,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.65,,,,,,,,0.92,,,,0.84,,,,,,0.02,168.5,Unknown,Unknown
16-470,"Crab, white and brown meat, purchased cooked, weighed with shell",Calculated from brown and white crab meat using 0.44 edible conversion factor,JK,16-342 ,"DH, Nutrient analysis of fish and fish products, 2013",,31.7,1.38,8.6,1.8,Tr,51,213,Tr,,Tr,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.29,,0.07,,0.30,,0.40,,0.41,,0.37,,0.37,,,,,,0.01,74.1,Unknown,Unknown
16-392,"Crab, white meat, purchased cooked","7 samples, 6 products",JK,,"DH, Nutrient analysis of fish and fish products, 2013",,77.6,3.28,20.5,0.3,Tr,85,360,Tr,,Tr,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.30,0.04,,0.02,,0.07,29.21,0.07,,0.07,36.95,0.08,,0.08,,,,,0.66,Tr,66.0,Unknown,Unknown
16-235,"Crayfish, raw",Literature sources,JK,,"Fish and Fish Products Supplement, 1993",,83.8,2.38,14.9,0.8,0.0,67,283,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,0.10,,,,,,,,0.20,,,,0.30,,,,,,,105.0,Unknown,Unknown
16-425,"Langoustine, boiled","Small, medium and large from 3 fishing areas",JK,,"DH, Nutrient analysis of fish and fish products, 2013",,80.7,3.15,19.7,0.8,0.0,86,369,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.36,0.15,,0.04,,0.17,28.03,0.15,,0.16,39.16,0.21,,0.21,,,,,0.65,Tr,133.0,Unknown,Unknown
16-332,"Lobster, boiled",Boiled in fresh water,JK,16-236 50-637 ,"Fish and Fish Products Supplement, 1993; selenium calculated from raw (Analysis of foods for Selenium 1994)",,74.3,3.54,22.1,1.6,Tr,103,435,Tr,,Tr,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.20,,,,,,,,0.30,,,,0.60,,,,,,0.00,110.0,Unknown,Unknown
16-343,"Lobster, boiled, weighed with shell",Calculated from boiled 16-332,JK,16-237 50-638 ,"Fish and Fish Products Supplement, 1993; selenium calculated from 16-332",,26.7,1.27,8.0,0.6,Tr,37,157,Tr,,Tr,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.10,,,,,,,,0.10,,,,0.20,,,,,,0.00,40.0,Unknown,Unknown
16-388,"Prawns, king, grilled from raw","9 samples, 9 products, warm-water prawns (Panaeus vannamei), frozen and chilled",JK,,"DH, Nutrient analysis of fish and fish products, 2013",,73.8,3.76,23.5,0.9,0.0,102,433,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.05,0.20,,0.11,,0.14,16.08,0.10,,0.10,41.69,0.25,,0.25,,,,,0.40,Tr,193.0,Unknown,Unknown
