Food_Code,Food_Name,Description,Food_Group,Previous,Main data references,Footnote,Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Energy (kJ) (kJ),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g FA (g),Satd FA /100g fd (g),n-6 poly /100g FA (g),n-6 poly /100g food (g),n-3 poly /100g FA (g),n-3 poly /100g food (g),cis-Mono FA /100g FA (g),cis-Mono FA /100g Food (g),Mono FA/ 100g FA (g),Mono FA /100g food (g),cis-Polyu FA /100g FA (g),cis-Poly FA /100g Food (g),Poly FA /100g FA (g),Poly FA /100g food (g),Sat FA excl Br /100g FA (g),Sat FA excl Br /100g food (g),Branched chain FA /100g FA (g),Branched chain FA /100g food (g),Trans FAs /100g FA (g),Trans FAs /100g food (g),Cholesterol (mg),Food_Category,Super_Category
16-404,"Calamari, coated in batter, baked","5 samples, 2 products, frozen",JM,16-266 16-265 ,"DH, Nutrient analysis of fish and fish products, 2013",,42.1,1.36,8.5,17.5,25.9,288,1206,25.9,,Tr,Tr,0.0,Tr,Tr,Tr,0.0,,0.4,1.9,12.40,2.07,,9.51,,0.25,27.88,4.66,,4.67,58.33,9.76,,9.76,,,,,0.09,0.02,85.0,Unknown,Unknown
16-252,"Cockles, boiled",11 samples from assorted outlets; fresh and frozen,JM,50-644 ,"Reviewed 2013. LGC, Nutritional survey fish and fish products, 1986-1987",,83.0,1.92,12.0,0.6,Tr,53,226,Tr,,Tr,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.20,,,,,,,,0.10,,,,0.20,,,,,,Tr,53.0,Unknown,Unknown
16-254,"Cuttlefish, raw",Literature sources,JM,,"Wu Leung et al (1972) Food composition table for use in East Asia, and Exler (1987) Composition of foods: finfish and shellfish products, raw, processed and prepared",,80.8,2.58,16.1,0.7,0.0,71,300,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,0.20,,,,,,,,0.10,,,,0.20,,,,,,,110.0,Unknown,Unknown
16-411,"Mussels in white wine sauce, cooked","6 samples, 6 products, frozen and chilled",JM,,"DH, Nutrient analysis of fish and fish products, 2013",,82.0,1.55,9.7,3.2,3.7,82,347,2.9,,0.8,0.0,Tr,0.0,0.0,0.0,0.8,0.2,Tr,Tr,41.96,1.26,,0.62,,0.26,23.56,0.71,,0.75,29.50,0.89,,0.89,,,,,1.31,0.04,25.0,Unknown,Unknown
16-390,"Mussels, purchased cooked","7 samples, 6 products, frozen and chilled",JM,16-256 ,"DH, Nutrient analysis of fish and fish products, 2013",,75.5,2.83,17.7,2.2,3.5,104,438,Tr,,Tr,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.47,0.34,,0.08,,0.54,17.05,0.26,,0.26,40.97,0.62,,0.62,,,,,0.31,Tr,45.0,Unknown,Unknown
16-497,"Mussels, raw",Purchased alive,JM,16-255 ,"Fish and Fish Products Supplement, 1993; Fe and K calculated from (16-390)",,80.9,1.93,12.1,1.8,2.5,74,312,Tr,,Tr,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.40,,,,,,,,0.30,,,,0.60,,,,,,Tr,41.0,Unknown,Unknown
16-259,"Octopus, raw",Literature sources,JM,,"Fish and Fish Products Supplement, 1993",,82.1,2.86,17.9,1.3,Tr,83,352,Tr,,Tr,0.0,,0.0,0.0,0.0,0.0,,0.0,,,0.30,,,,,,,,0.20,,,,0.50,,,,,,,48.0,Unknown,Unknown
16-260,"Oysters, raw",Analytical and literature sources,JM,16-311 ,"As Fish and Fish Products Supplement, 1993 (16-260) with fatty acids from Fatty Acid Supplement 1998 (16-311)",,85.7,1.72,10.8,1.3,2.7,65,275,Tr,,Tr,0.0,,0.0,0.0,0.0,0.0,,0.0,,22.00,0.20,5.30,0.05,40.20,0.37,15.40,0.14,22.00,0.20,45.50,0.41,44.00,0.40,28.30,0.26,0.00,0.00,0.00,0.00,57.0,Unknown,Unknown
16-261,"Oysters, raw, weighed with shells",Calculated from raw 16-260,JM,,"As Fish and Fish Products Supplement, 1993 (16-261) with fatty acids from Fatty Acid Supplement 1998 (16-311)",,12.0,0.24,1.5,0.2,0.4,9,38,Tr,,Tr,0.0,,0.0,0.0,0.0,0.0,,0.0,,3.08,Tr,0.74,Tr,5.63,Tr,2.16,Tr,3.08,Tr,6.37,0.06,6.37,0.10,3.96,Tr,0.00,0.00,0.00,0.00,8.0,Unknown,Unknown
16-262,"Scallops, steamed",Analytical and literature sources,JM,,"Fish and Fish Products Supplement, 1993",,73.1,3.71,23.2,1.4,3.4,118,501,Tr,,Tr,0.0,,0.0,0.0,0.0,0.0,,0.0,,,0.40,,,,,,,,0.10,,,,0.40,,,,,,,47.0,Unknown,Unknown
