Food_Code,Food_Name,Description,Food_Group,Previous,Main data references,Footnote,Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Energy (kJ) (kJ),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g FA (g),Satd FA /100g fd (g),n-6 poly /100g FA (g),n-6 poly /100g food (g),n-3 poly /100g FA (g),n-3 poly /100g food (g),cis-Mono FA /100g FA (g),cis-Mono FA /100g Food (g),Mono FA/ 100g FA (g),Mono FA /100g food (g),cis-Polyu FA /100g FA (g),cis-Poly FA /100g Food (g),Poly FA /100g FA (g),Poly FA /100g food (g),Sat FA excl Br /100g FA (g),Sat FA excl Br /100g food (g),Branched chain FA /100g FA (g),Branched chain FA /100g food (g),Trans FAs /100g FA (g),Trans FAs /100g food (g),Cholesterol (mg),Food_Category,Super_Category
16-272,"Caviare, bottled in brine, drained",Literature sources. Lumpfish roe,JR,,"Lewis and English (1990) Composition of Foods Australia. Vol. 3, Dairy Products, Eggs and Fish. Department of Community Services and Health, and literature sources",,74.3,1.98,10.9,5.4,0.0,92,385,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,0.80,,,,,,,,1.20,,,,1.80,,,,,,,285.0,Unknown,Unknown
16-446,"Curry, fish, Bangladeshi, homemade","Recipe, containing boal, rohu, spices, water and onion",JR,16-336 ,Updated 2013,,71.5,1.98,12.4,8.0,1.5,125,520,Tr,0.3,1.2,0.4,Tr,0.4,0.4,0.0,0.0,0.0,0.2,0.8,,0.78,,,,,,,,1.38,,,,4.05,,,,,,Tr,N,Unknown,Unknown
16-364,"Curry, fish, homemade","5 samples, containing white fish, onions, tomatoes and spices",JR,,"University of Leeds, Nutritional analysis of commonly consumed South Asian foods in the UK, 2007",,73.5,1.81,11.3,9.6,1.9,139,578,Tr,,1.9,0.5,0.3,0.7,0.4,0.0,0.0,0.0,1.5,2.1,,1.72,,,,,,,,3.52,,,,3.80,,,,,,Tr,13.8,Unknown,Unknown
16-455,"Curry, haddock, Bengali, homemade",Recipe,JR,16-349 ,Updated 2014,,60.2,1.82,11.4,22.0,4.2,263,1088,0.1,,3.2,1.2,,1.0,0.8,0.0,0.1,,0.8,1.1,,13.78,,,,,,,,5.56,,,,0.85,,,,,,0.76,85.2,Unknown,Unknown
16-456,"Curry, herring, Bengali, homemade",Recipe,JR,16-350 ,Updated 2014,,52.1,1.82,11.4,29.6,4.2,327,1352,0.1,,3.2,1.2,,1.0,0.8,0.0,0.1,0.0,0.8,1.1,,15.89,,,,,,,,9.06,,,,2.07,,,,,,0.76,85.8,Unknown,Unknown
16-365,"Curry, Prawn bhuna, takeaway","10 samples, 2 from different establishments in each of 5 regions. Contains prawns in a dry sauce which includes onions, tomatoes, garlic, chilli and green peppers.",JR,,"Aspland and James Ltd, Nutrient analysis of ethnic takeaway foods, 1997",,75.6,1.38,8.6,8.7,1.8,120,497,0.6,0.0,1.2,0.5,,0.7,Tr,Tr,Tr,0.0,1.9,2.5,16.81,1.40,26.84,2.23,8.04,0.67,47.47,3.95,47.76,3.97,35.00,2.91,35.43,2.95,16.49,1.37,0.32,0.03,0.29,0.02,158.0,Unknown,Unknown
16-366,"Curry, Prawn madras, takeaway","10 samples, 2 from different establishments in each of 5 regions. Sauce consists of tomato puree and spices.",JR,,"Aspland and James Ltd, Nutrient analysis of ethnic takeaway foods, 1997",,77.3,1.24,7.8,8.3,2.5,115,479,1.3,0.0,1.2,0.5,,0.4,0.1,0.1,0.1,0.0,2.0,2.4,17.64,1.40,27.31,2.27,8.12,0.68,46.15,3.66,46.49,3.87,35.53,2.96,35.87,2.85,17.32,1.44,0.32,0.03,0.34,0.03,130.2,Unknown,Unknown
16-333,"Curry, prawn, takeaway","20 samples, average of 10 Bhuna and 10 Madras",JR,16-278 16-317 16-318 ,"Reviewed 2013. Aspland and James Ltd, Nutrient analysis of ethnic and takeaway foods, 1997. Fatty acids average of Fatty Acids Supplement 16-317/318",,76.4,1.31,8.2,8.5,2.3,118,491,0.9,0.0,1.4,0.5,,0.6,0.1,0.1,0.1,0.0,2.0,2.5,17.23,1.40,,,,,46.81,3.80,47.13,3.83,35.65,2.90,35.65,2.90,16.91,1.19,0.00,0.00,0.31,Tr,144.1,Unknown,Unknown
16-279,"Fish balls, steamed",7 varieties from different Chinese shops,JR,,"Fish and Fish Products Supplement, 1993",,82.2,1.89,11.8,0.5,5.5,74,313,5.5,,Tr,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,N,,,,,,,,N,,,,N,,,,,,N,N,Unknown,Unknown
16-444,"Fish fingers, cod, fried in rapeseed oil",Calculated from grilled/baked 16-405 using analysed water and fat values,JR,16-289 ,"DH, Nutrient analysis of fish and fish products, 2013",,54.5,2.08,13.0,12.6,19.9,240,1006,18.6,,1.3,Tr,0.0,Tr,0.2,1.1,Tr,0.0,1.4,1.8,,1.41,,,,,,,,6.43,,,,4.04,,,,,,0.02,36.0,Unknown,Unknown
