Food_Code,Food_Name,Description,Food_Group,Previous,Main data references,Footnote,Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Energy (kJ) (kJ),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g FA (g),Satd FA /100g fd (g),n-6 poly /100g FA (g),n-6 poly /100g food (g),n-3 poly /100g FA (g),n-3 poly /100g food (g),cis-Mono FA /100g FA (g),cis-Mono FA /100g Food (g),Mono FA/ 100g FA (g),Mono FA /100g food (g),cis-Polyu FA /100g FA (g),cis-Poly FA /100g Food (g),Poly FA /100g FA (g),Poly FA /100g food (g),Sat FA excl Br /100g FA (g),Sat FA excl Br /100g food (g),Branched chain FA /100g FA (g),Branched chain FA /100g food (g),Trans FAs /100g FA (g),Trans FAs /100g food (g),Cholesterol (mg),Food_Category,Super_Category
19-644,"Bacon loin steaks, lean, grilled","7 samples; smoked and unsmoked, loose and prepacked Danish bacon",MAA,19-019 ,"LGC, Nutrient analysis of retail cuts of bacon, 1993-1994; and industry data, 2014",,60.6,4.62,28.9,4.3,1.1,158,668,0.0,,1.1,N,0.0,N,N,0.0,0.0,0.0,0.0,,,1.55,,,,,,,,1.82,,,,0.62,,,,,,0.02,31.0,Unknown,Unknown
19-645,"Bacon rashers, back, dry-cured, grilled","7 samples; smoked and unsmoked, loose and prepacked  British and Irish bacon",MAA,19-006 ,"LGC, Nutrient analysis of retail cuts of bacon, 1993-1994; and industry data, 2014",,50.7,4.54,28.4,15.9,0.0,257,1071,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,6.00,,,,,,,,6.70,,,,2.10,,,,,,Tr,57.0,Unknown,Unknown
19-498,"Bacon rashers, back, dry-fried","10 samples; smoked and unsmoked, loose and prepacked British, Danish and Dutch bacon",MAA,19-002 ,"LGC, Nutrient analysis of retail cuts of bacon, 1993-1994; and calculated from industry raw data, 2013",,49.7,3.87,24.2,22.0,0.0,295,1225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,8.30,,,,,,,,9.20,,,,2.80,,,,,,0.10,65.0,Unknown,Unknown
19-499,"Bacon rashers, back, fat trimmed, grilled","15 samples; smoked and unsmoked, loose and prepacked British, Danish and Dutch bacon, back fat removed",MAA,19-008 ,"LGC, Nutrient analysis of retail cuts of bacon, 1993-1994; and calculated from industry raw data, 2013",,56.2,4.11,25.7,12.3,0.0,214,892,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,4.60,,,,,,,,5.20,,,,1.60,,,,,,0.10,44.0,Unknown,Unknown
19-646,"Bacon rashers, back, fat trimmed, raw","24 samples, back fat removed. MLC data and calculation from 19-499",MAA,19-007 ,"LGC, Nutrient analysis of retail cuts of bacon, 1993-1994; industry data 2013; vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000",,69.5,3.01,18.8,6.7,0.0,136,568,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.50,,,,,,,,2.80,,,,0.90,,,,,,Tr,31.0,Unknown,Unknown
19-500,"Bacon rashers, back, grilled","15 samples; smoked and unsmoked, loose and prepacked British, Danish and Dutch bacon",MAA,19-003 ,"LGC, Nutrient analysis of retail cuts of bacon, 1993-1994; and calculated from industry raw data, 2013",,50.4,3.71,23.2,21.6,0.0,287,1194,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,8.10,12.29,2.41,1.59,0.31,45.11,8.85,,9.00,13.84,2.71,,2.80,40.34,7.91,0.20,0.04,0.04,0.01,75.0,Unknown,Unknown
19-501,"Bacon rashers, back, grilled crispy","10 samples; smoked and unsmoked, loose and prepacked British, Danish and Dutch bacon",MAA,19-004 ,"LGC, Nutrient analysis of retail cuts of bacon, 1993-1994; and calculated from industry raw data, 2013",,37.8,5.76,36.0,18.8,0.0,313,1308,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,7.10,,,,,,,,7.90,,,,2.40,,,,,,0.10,68.0,Unknown,Unknown
19-502,"Bacon rashers, back, microwaved","15 samples; smoked and unsmoked, loose and prepacked British, Danish and Dutch bacon",MAA,19-005 ,"LGC, Nutrient analysis of retail cuts of bacon, 1993-1994; and calculated from industry raw data, 2013",,45.5,3.87,24.2,23.3,0.0,307,1274,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,8.80,,,,,,,,9.80,,,,3.00,,,,,,0.10,84.0,Unknown,Unknown
19-497,"Bacon rashers, back, raw","10 samples; smoked and unsmoked, loose and prepacked British, Danish and Dutch bacon",MAA,19-001 ,"LGC, Nutrient analysis of retail cuts of bacon, 1993-1994; and industry data, 2013",,63.9,2.64,16.5,16.5,0.0,215,891,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.14,6.20,12.99,2.00,1.57,0.24,44.54,6.86,,6.90,14.52,2.24,,2.20,40.00,6.16,0.14,0.02,0.52,0.10,53.0,Unknown,Unknown
19-009,"Bacon rashers, back, reduced salt, grilled","6 samples; smoked and unsmoked, loose and prepacked British and Danish bacon",MAA,,"LGC, Nutrient analysis of retail cuts of bacon, 1993-1994; Na reviewed 2014",,51.6,3.86,24.1,20.6,0.0,282,1172,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,7.80,,,,,,,,8.70,,,,2.70,,,,,,0.10,74.0,Unknown,Unknown
