Food_Code,Food_Name,Description,Food_Group,Previous,Main data references,Footnote,Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Energy (kJ) (kJ),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g FA (g),Satd FA /100g fd (g),n-6 poly /100g FA (g),n-6 poly /100g food (g),n-3 poly /100g FA (g),n-3 poly /100g food (g),cis-Mono FA /100g FA (g),cis-Mono FA /100g Food (g),Mono FA/ 100g FA (g),Mono FA /100g food (g),cis-Polyu FA /100g FA (g),cis-Poly FA /100g Food (g),Poly FA /100g FA (g),Poly FA /100g food (g),Sat FA excl Br /100g FA (g),Sat FA excl Br /100g food (g),Branched chain FA /100g FA (g),Branched chain FA /100g food (g),Trans FAs /100g FA (g),Trans FAs /100g food (g),Cholesterol (mg),Food_Category,Super_Category
18-009,"Beef, braising steak, braised, lean and fat",Calculated from 90% lean and 9% fat,MAC, ,"LGC, Nutrient analysis of carcase beef, 1992-1993",,53.1,5.26,32.9,12.7,0.0,246,1029,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.40,5.30,6.25,0.74,0.55,0.07,41.35,4.91,45.30,5.20,5.95,0.71,6.90,0.80,44.56,5.29,1.82,0.22,4.29,0.51,100.0,Unknown,Unknown
18-008,"Beef, braising steak, braised, lean only",10 samples,MAC,,"LGC, Nutrient analysis of carcase beef, 1992-1993",,55.5,5.50,34.4,9.7,0.0,225,944,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.50,4.10,,,,,,,45.80,4.10,,,7.20,0.60,,,,,4.20,0.40,100.0,Unknown,Unknown
18-006,"Beef, braising steak, raw, lean",10 samples,MAC,,"LGC, Nutrient analysis of carcase beef, 1992-1993",,72.1,3.49,21.8,5.7,0.0,139,582,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,47.00,2.40,,,,,,,47.50,2.50,,,5.00,0.30,,,,,4.30,0.20,63.0,Unknown,Unknown
18-007,"Beef, braising steak, raw, lean and fat",Calculated from 92% lean and 7% fat,MAC,,"LGC, Nutrient analysis of carcase beef, 1992-1993",,69.4,3.31,20.7,8.6,0.0,160,670,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,46.70,3.80,,,,,,,46.80,3.80,,,4.90,0.40,,,,,4.90,0.40,62.0,Unknown,Unknown
18-010,"Beef, braising steak, slow cooked, lean",10 samples,MAC,,"LGC, Nutrient analysis of carcase beef, 1992-1993",,60.0,5.02,31.4,7.9,0.0,197,826,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,46.50,3.40,,,,,,,45.80,3.30,,,7.20,0.50,,,,,4.20,0.30,90.0,Unknown,Unknown
18-011,"Beef, braising steak, slow cooked, lean and fat",Calculated from 88% lean and 10% fat,MAC,,"LGC, Nutrient analysis of carcase beef, 1992-1993",,57.1,4.64,29.0,11.2,0.0,217,907,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,46.00,4.80,,,,,,,44.80,4.70,,,6.80,0.70,,,,,4.30,0.40,87.0,Unknown,Unknown
18-014,"Beef, brisket, boiled, lean",10 samples,MAC,211,"LGC, Nutrient analysis of carcase beef, 1992-1993",,57.2,5.02,31.4,11.0,0.0,225,941,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,45.30,4.60,3.13,0.32,1.28,0.13,43.33,4.37,49.20,5.00,3.09,0.31,4.40,0.40,43.24,4.36,2.07,0.21,4.99,0.50,77.0,Unknown,Unknown
18-015,"Beef, brisket, boiled, lean and fat",Calculated from 82% lean and 15% fat,MAC,50-365 ,"LGC, Nutrient analysis of carcase beef, 1992-1993",,51.7,4.45,27.8,17.4,0.0,268,1116,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,44.30,7.20,,,,,,,47.60,7.70,,,4.10,0.70,,,,,4.70,0.80,76.0,Unknown,Unknown
18-012,"Beef, brisket, raw, lean",10 samples,MAC,,"LGC, Nutrient analysis of carcase beef, 1992-1993",,71.0,3.38,21.1,6.1,0.0,139,584,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,45.30,2.50,,,,,,,45.50,2.50,,,4.40,0.20,,,,,5.00,0.30,54.0,Unknown,Unknown
18-013,"Beef, brisket, raw, lean and fat",Calculated from 79% lean and 19% fat,MAC,50-364 ,"LGC, Nutrient analysis of carcase beef, 1992-1993",,61.8,2.94,18.4,16.0,0.0,218,905,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,44.90,6.70,,,,,,,47.60,7.10,,,4.10,0.60,,,,,4.80,0.70,53.0,Unknown,Unknown
