Food_Code,Food_Name,Description,Food_Group,Previous,Main data references,Footnote,Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Energy (kJ) (kJ),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g FA (g),Satd FA /100g fd (g),n-6 poly /100g FA (g),n-6 poly /100g food (g),n-3 poly /100g FA (g),n-3 poly /100g food (g),cis-Mono FA /100g FA (g),cis-Mono FA /100g Food (g),Mono FA/ 100g FA (g),Mono FA /100g food (g),cis-Polyu FA /100g FA (g),cis-Poly FA /100g Food (g),Poly FA /100g FA (g),Poly FA /100g food (g),Sat FA excl Br /100g FA (g),Sat FA excl Br /100g food (g),Branched chain FA /100g FA (g),Branched chain FA /100g food (g),Trans FAs /100g FA (g),Trans FAs /100g food (g),Cholesterol (mg),Food_Category,Super_Category
18-478,"Lamb, average, raw, lean and fat",Calculated from 83% lean and 17% fat,MAE,18-123 50-404  ,"Reviewed 2013. LGC, Nutrient analysis of retail cuts of lamb, 1993-1994",,67.4,3.05,19.0,12.3,0.0,187,778,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.50,5.36,4.10,0.47,2.32,0.27,35.22,4.05,42.30,4.87,5.49,0.63,6.40,0.74,46.59,5.36,1.89,0.22,8.10,0.93,78.0,Unknown,Unknown
18-103,"Lamb, best end neck cutlets, barbecued, lean",10 samples,MAE,228,"LGC, Nutrient analysis of retail cuts of lamb, 1993-1994",,58.5,4.43,27.7,13.9,0.0,236,985,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,51.10,6.50,3.69,0.47,1.95,0.25,33.20,4.24,40.40,5.20,4.26,0.54,5.70,0.70,49.06,6.26,2.04,0.26,8.65,1.10,98.0,Unknown,Unknown
18-105,"Lamb, best end neck cutlets, barbecued, lean and fat",Calculated from 73% lean and 27% fat,MAE,,"LGC, Nutrient analysis of retail cuts of lamb, 1993-1994",,48.6,3.88,24.3,27.2,0.0,342,1420,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,51.80,13.20,,,,,,,40.00,10.20,,,5.40,1.40,,,,,8.80,2.20,98.0,Unknown,Unknown
18-106,"Lamb, best end neck cutlets, barbecued, lean and fat, weighed with bone",Calculated from 18-105,MAE,,"LGC, Nutrient analysis of retail cuts of lamb, 1993-1994",,35.0,2.80,17.5,19.6,0.0,246,1023,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,51.80,9.50,,,,,,,40.00,7.10,,,5.40,1.00,,,,,8.80,1.60,71.0,Unknown,Unknown
18-104,"Lamb, best end neck cutlets, barbecued, lean, weighed with fat and bone",Calculated from 18-103,MAE,,"LGC, Nutrient analysis of retail cuts of lamb, 1993-1994",,29.8,2.26,14.1,7.1,0.0,120,502,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,51.10,3.30,,,,,,,40.40,2.60,,,5.60,0.40,,,,,8.70,0.60,50.0,Unknown,Unknown
18-107,"Lamb, best end neck cutlets, grilled, lean",33 samples,MAE,50-402 ,"LGC, Nutrient analysis of retail cuts of lamb, 1993-1994",,57.4,4.56,28.5,13.8,0.0,238,995,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,51.10,6.50,,,,,,,40.40,5.10,,,5.60,0.70,,,,,8.70,1.10,100.0,Unknown,Unknown
18-109,"Lamb, best end neck cutlets, grilled, lean and fat",Calculated from 68% lean and 32% fat,MAE,50-400 ,"LGC, Nutrient analysis of retail cuts of lamb, 1993-1994",,46.1,3.91,24.5,29.9,0.0,367,1523,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,52.00,14.50,,,,,,,40.00,11.20,,,5.40,1.50,,,,,8.90,2.50,105.0,Unknown,Unknown
18-110,"Lamb, best end neck cutlets, grilled, lean and fat, weighed with bone",Calculated from 18-109,MAE,50-401 ,"LGC, Nutrient analysis of retail cuts of lamb, 1993-1994",,33.2,2.82,17.6,21.0,0.0,259,1076,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,52.00,10.40,,,,,,,40.00,8.10,,,5.40,1.10,,,,,8.90,1.80,76.0,Unknown,Unknown
18-108,"Lamb, best end neck cutlets, grilled, lean, weighed with fat and bone",Calculated from 18-107,MAE,50-403 ,"LGC, Nutrient analysis of retail cuts of lamb, 1993-1994",,27.6,2.19,13.7,6.6,0.0,114,477,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,51.10,3.10,,,,,,,40.40,2.40,,,5.60,0.30,,,,,8.70,0.50,48.0,Unknown,Unknown
18-101,"Lamb, best end neck cutlets, raw, lean and fat",Calculated from 66% lean and 34% fat,MAE,50-399 ,"LGC, Nutrient analysis of retail cuts of lamb, 1993-1994",,53.9,2.61,16.3,27.9,0.0,316,1309,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,52.00,13.60,,,,,,,39.80,10.40,,,5.40,1.40,,,,,8.70,2.30,76.0,Unknown,Unknown
