Food_Code,Food_Name,Description,Food_Group,Previous,Main data references,Footnote,Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Energy (kJ) (kJ),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g FA (g),Satd FA /100g fd (g),n-6 poly /100g FA (g),n-6 poly /100g food (g),n-3 poly /100g FA (g),n-3 poly /100g food (g),cis-Mono FA /100g FA (g),cis-Mono FA /100g Food (g),Mono FA/ 100g FA (g),Mono FA /100g food (g),cis-Polyu FA /100g FA (g),cis-Poly FA /100g Food (g),Poly FA /100g FA (g),Poly FA /100g food (g),Sat FA excl Br /100g FA (g),Sat FA excl Br /100g food (g),Branched chain FA /100g FA (g),Branched chain FA /100g food (g),Trans FAs /100g FA (g),Trans FAs /100g food (g),Cholesterol (mg),Food_Category,Super_Category
18-555,"Pork, belly joint, roasted, lean and fat","10 samples, 65% lean and 35% fat",MAG,243 18-208,"LGC, Nutrient analysis of retail cuts of pork, 1992-1993",,55.8,4.02,25.1,21.4,0.0,293,1219,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,37.34,7.43,17.48,3.48,2.24,0.45,42.07,8.37,42.58,8.47,19.54,3.89,19.89,3.96,37.19,7.4,0.15,0.03,0.69,0.14,85.0,Unknown,Unknown
18-556,"Pork, belly joint/slices, grilled, lean and fat","25 samples, 58% lean and 42% fat",MAG,50-418 18-209,"Reviewed 2013. LGC, Nutrient analysis of retail cuts of pork, 1992-1993",,48.6,4.38,27.4,23.4,0.0,320,1332,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.80,8.23,16.26,3.54,2.01,0.44,43.05,9.37,43.54,9.48,18.15,3.95,18.45,4.02,37.67,8.2,0.13,0.03,0.61,0.13,97.0,Unknown,Unknown
18-557,"Pork, belly joint/slices, raw, lean and fat",12 samples,MAG,18-206,"LGC, Nutrient analysis of retail cuts of pork, 1992-1993",,61.7,3.06,19.1,20.2,0.0,258,1072,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,38.57,7.25,14.84,2.79,1.85,0.35,44.01,8.27,44.47,8.35,16.66,3.13,16.86,3.17,38.45,7.22,0.12,0.02,0.49,0.09,71.0,Unknown,Unknown
18-558,"Pork, belly joint/slices, raw, lean and fat, weighed with bone",Calculated from 18-557,MAG,50-417 18-207,"LGC, Nutrient analysis of retail cuts of pork, 1992-1993",,56.8,2.81,17.6,18.6,0.0,238,987,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,38.57,6.67,14.84,2.57,1.85,0.32,44.01,7.61,44.47,7.68,16.66,2.88,16.86,2.92,38.45,6.64,0.12,0.02,0.49,0.08,65.0,Unknown,Unknown
18-216,"Pork, crackling, cooked","From various cuts of pork, grilled and roasted",MAG,,"LGC, Nutrient analysis of retail cuts of pork, 1992-1993",,16.9,5.79,36.2,45.0,0.0,550,2280,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,35.60,15.30,,,,,,,45.60,19.60,,,18.40,7.90,,,,,0.50,0.30,105.0,Unknown,Unknown
18-527,"Pork, diced, casseroled, lean",Extra lean types. Calculated from 18-512,MAG,18-482,"QIB, Report on nutrient analysis of key cuts of pork, 2020",,58.7,5.88,36.8,5.3,0,195,821,0,,0,0,0,0,0,0,0,0,0,0,36.77,1.75,12.24,0.59,1.12,0.05,48.18,2.31,48.34,2.31,13.5,0.65,13.5,0.65,36.59,1.75,0.18,Tr,0.16,Tr,106.5,Unknown,Unknown
18-528,"Pork, diced, casseroled, lean and fat",Extra lean types. Calculated from 98% lean and 2% fat,MAG,18-220,"QIB, Report on nutrient analysis of key cuts of pork, 2020",,58.2,5.81,36.3,6.4,0,203,854,0,,0,0,0,0,0,0,0,0,0,0,36.79,2.14,12.23,0.71,1.12,0.06,48.18,2.81,48.34,2.81,13.5,0.79,13.5,0.79,36.61,2.14,0.18,Tr,0.16,Tr,106,Unknown,Unknown
18-540,"Pork, diced, kebabs, grilled, lean",Extra lean types. Calculated from 18-529,MAG,18-221,"QIB, Report on nutrient analysis of key cuts of pork, 2020",,57.4,6.07,37.9,5.4,0,200,845,0,,0,0,0,0,0,0,0,0,0,0,36.77,1.8,12.24,0.61,1.12,0.05,48.18,2.38,48.34,2.38,13.5,0.67,13.5,0.67,36.59,1.8,0.18,Tr,0.16,Tr,109.9,Unknown,Unknown
18-541,"Pork, diced, kebabs, grilled, lean and fat",Extra lean types. Calculated from 98% lean and 2% fat,MAG,18-222,"QIB, Report on nutrient analysis of key cuts of pork, 2020",,56.9,5.99,37.4,6.5,0,208,877,0,,0,0,0,0,0,0,0,0,0,0,36.79,2.19,12.23,0.73,1.12,0.06,48.18,2.88,48.34,2.88,13.5,0.81,13.5,0.81,36.61,2.19,0.18,Tr,0.16,Tr,109.3,Unknown,Unknown
18-529,"Pork, diced, raw, lean",Extra lean types. Data as for pork leg (18-512),MAG,18-217,"QIB, Report on nutrient analysis of key cuts of pork, 2020",,74,3.7,23.1,3.3,0,122,515,0,,0,0,0,0,0,0,0,0,0,0,36.77,1.1,12.24,0.37,1.12,0.03,48.18,1.45,48.34,1.45,13.5,0.41,13.5,0.41,36.59,1.1,0.18,Tr,0.16,Tr,67,Unknown,Unknown
