Food_Code,Food_Name,Description,Food_Group,Previous,Main data references,Footnote,Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Energy (kJ) (kJ),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g FA (g),Satd FA /100g fd (g),n-6 poly /100g FA (g),n-6 poly /100g food (g),n-3 poly /100g FA (g),n-3 poly /100g food (g),cis-Mono FA /100g FA (g),cis-Mono FA /100g Food (g),Mono FA/ 100g FA (g),Mono FA /100g food (g),cis-Polyu FA /100g FA (g),cis-Poly FA /100g Food (g),Poly FA /100g FA (g),Poly FA /100g food (g),Sat FA excl Br /100g FA (g),Sat FA excl Br /100g food (g),Branched chain FA /100g FA (g),Branched chain FA /100g food (g),Trans FAs /100g FA (g),Trans FAs /100g food (g),Cholesterol (mg),Food_Category,Super_Category
19-651,"Burger, beef, 62-85% beef, raw","10 samples, 6 brands containing onion, frozen and chilled",MBG,19-042 ,"LGC, Analytical survey of meat products, 1990-1991; and industry data, 2013",,63.3,2.54,15.9,15.2,4.9,219,911,2.2,,2.7,N,0.0,N,N,0.3,0.0,0.0,N,0.7,,5.72,,,,,,,,6.72,,,,1.50,,,,,,0.57,65.7,Unknown,Unknown
19-546,"Burger, beef, 62-85%, beef, grilled","Beefburgers with added onion. 10 samples, 6 brands, frozen and chilled",MBG,19-043 ,"LGC, Analytical survey of meat products, 1990-1991; and industry data, 2013",,57.1,2.93,18.3,13.8,8.5,229,958,6.4,,2.1,N,0.0,N,N,0.0,0.0,0.0,N,0.6,,5.22,,,,,,,,6.15,,,,1.36,,,,,,0.49,60.0,Unknown,Unknown
19-490,"Burger, beef, 98-99% beef, fried in vegetable oil","8 samples, 3 brands, chilled and frozen",MBG,19-029 ,"LGC, Analytical survey of meat products, 1990-1991; and industry data, 2013. Fibre estimated from product labels",,46.2,4.56,28.5,23.9,0.1,329,1370,Tr,,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,N,0.7,,10.70,1.70,0.38,0.50,0.11,45.30,10.12,,10.80,1.90,0.42,,0.80,46.00,10.27,2.00,0.45,3.50,0.78,96.0,Unknown,Unknown
19-491,"Burger, beef, 98-99% beef, grilled","8 samples, 3 brands, chilled and frozen",MBG,19-030 ,"LGC, Analytical survey of meat products, 1990-1991; and industry data, 2013. Fibre estimated from product labels",,47.9,4.24,26.5,24.4,0.1,326,1355,Tr,,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,N,0.7,,10.90,,,,,,,,11.20,,,,0.70,,,,,,1.40,75.0,Unknown,Unknown
19-492,"Burger, beef, 98-99% beef, raw","8 samples, 3 brands, chilled and frozen",MBG,19-309 50-503 ,"LGC, Analytical survey of meat products, 1990-1991; and industry data, 2013. Fibre estimated from product labels",,56.1,2.74,17.1,24.7,0.1,291,1206,Tr,,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,N,0.5,46.37,10.71,1.60,0.37,0.50,0.12,43.20,9.97,49.15,11.35,1.90,0.44,2.12,0.49,46.40,10.71,1.60,1.43,6.20,1.43,76.0,Unknown,Unknown
19-493,"Burger, Big Mac, takeaway","Includes two beefburgers, bun, sauce, cheese, lettuce, onions and pickles",MBG,19-310 ,"Industry data (McDonald's), 2013",,N,2.09,13.1,11.2,20.9,232,972,17.0,,3.9,N,N,N,N,N,N,0.0,N,1.9,,4.70,,,,,,,,4.60,,,,1.70,,,,,,0.10,23.0,Unknown,Unknown
19-545,"Burger, cheeseburger, takeaway","Includes beefburger, bun, cheese, mustard, ketchup, onions and pickles",MBG,19-314 ,"Industry data, 1998, 2013; and calculated from ingredients",,47.0,2.18,13.6,10.4,28.3,254,1069,22.6,,5.7,N,N,N,N,N,N,0.0,0.7,1.4,,4.90,,,,,,,,N,,,,N,,,,,,N,32.0,Unknown,Unknown
19-315,"Burger, chicken, takeaway","Includes chicken burger, bun, lettuce and mayonnaise",MBG,19-041 ,"Reviewed 2013. Meat Products and Dishes Supplement, 1996. Proximates as weighted average of manufacturer data (McDonalds, KFC, Wimpy (5:4:1))",,N,2.00,12.5,10.8,23.4,235,987,N,,N,N,N,N,N,N,N,0.0,1.0,1.3,,N,,,,,,,,N,,,,N,,,,,,N,N,Unknown,Unknown
19-544,"Burger, hamburger, takeaway","Includes bun, beefburger, mayonnaise, lettuce, tomato, ketchup, onions and pickles",MBG,19-311 ,"Industry data (Burger King), 2013; and calculation from ingredient proportions",,45.2,2.16,13.5,8.3,31.2,246,1036,24.6,,6.6,N,N,N,N,N,N,0.0,0.8,1.8,,3.50,,,,,,,,3.60,,,,0.70,,,,,,0.17,34.6,Unknown,Unknown
19-487,"Burger, Quarter Pounder with cheese, takeaway","Portion includes a quarter pound beefburger, ketchup, mustard, onions, pickles and slice of cheese",MBG,19-312 ,"Industry data (McDonald's), 2013",,N,2.61,16.3,13.2,21.2,263,1102,15.6,,5.5,N,N,N,N,N,N,0.0,N,1.6,,6.80,,,,,,,,5.60,,,,0.90,,,,,,0.10,33.0,Unknown,Unknown
19-514,"Burger, Whopper, takeaway","Portion includes bun, beefburger, mayonnaise, lettuce, tomato, ketchup, onions and pickles",MBG,19-313 ,"Industry data (Burger King), 2013; and calculation from ingredient proportions",,55.8,1.66,10.4,12.1,19.2,223,932,15.0,,4.2,N,N,N,N,N,N,0.0,0.8,1.2,,3.30,,,,,,,,6.30,,,,2.00,,,,,,0.30,25.0,Unknown,Unknown
