Food_Code,Food_Name,Description,Food_Group,Previous,Main data references,Footnote,Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Energy (kJ) (kJ),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g FA (g),Satd FA /100g fd (g),n-6 poly /100g FA (g),n-6 poly /100g food (g),n-3 poly /100g FA (g),n-3 poly /100g food (g),cis-Mono FA /100g FA (g),cis-Mono FA /100g Food (g),Mono FA/ 100g FA (g),Mono FA /100g food (g),cis-Polyu FA /100g FA (g),cis-Poly FA /100g Food (g),Poly FA /100g FA (g),Poly FA /100g food (g),Sat FA excl Br /100g FA (g),Sat FA excl Br /100g food (g),Branched chain FA /100g FA (g),Branched chain FA /100g food (g),Trans FAs /100g FA (g),Trans FAs /100g food (g),Cholesterol (mg),Food_Category,Super_Category
18-502,"Burger, chicken/turkey, coated, retail, grilled","10 samples, 7 products, breaded and battered",MCA,,"DH, Nutrient analysis of a range of processed foods with particular reference to trans fatty acids, 2013",,48.3,2.27,14.2,15.5,18.7,266,1113,17.7,,0.9,0.2,Tr,Tr,0.2,0.5,Tr,,1.1,0.8,17.96,2.63,25.42,3.72,5.16,0.76,51.48,7.54,51.66,7.57,30.58,4.48,30.58,4.48,17.89,2.62,0.07,0.01,0.17,0.03,35.7,Unknown,Unknown
18-504,"Chicken breast/steak, coated, baked","8 samples, 7 products, breaded and battered",MCA,19-119 ,"DH, Nutrient analysis of a range of processed foods with particular reference to trans fatty acids, 2013",,51.6,2.83,17.7,11.6,15.8,234,982,14.6,,1.1,0.3,Tr,Tr,0.3,0.6,Tr,,1.1,0.8,16.01,1.78,20.26,2.25,5.87,0.65,56.91,6.31,57.05,6.33,26.13,2.90,26.13,2.90,15.95,1.77,0.06,0.01,0.14,0.02,48.2,Unknown,Unknown
18-501,"Chicken pieces, coated, takeaway","8 samples, 7 products, including chicken nuggets, chicken bites and popcorn chicken",MCA,19-124 ,"DH, Nutrient analysis of a range of processed foods with particular reference to trans fatty acids, 2013",,44.5,2.96,18.5,14.1,17.6,267,1118,17.6,,Tr,Tr,0.0,Tr,Tr,Tr,0.0,0.0,1.1,1.3,12.69,2.32,18.46,3.37,2.57,0.47,38.97,7.12,39.10,7.15,21.03,3.84,21.03,3.84,12.65,2.31,0.04,0.01,0.13,0.02,44.6,Unknown,Unknown
18-500,"Chicken portions, battered, deep fried, takeaway","6 samples from fast food chains, including KFC",MCA,,"DH, Nutrient analysis of a range of processed foods with particular reference to trans fatty acids, 2013",,54.5,3.97,24.8,12.8,4.8,233,972,4.8,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.8,2.9,25.07,3.07,16.21,1.98,3.21,0.39,52.97,6.48,53.81,6.58,19.41,2.38,19.46,2.38,25.00,3.06,0.06,0.01,0.89,0.11,89.9,Unknown,Unknown
18-308,"Chicken, breast, casseroled, meat and skin",Calculated from 90% light meat and 10% skin from fresh and frozen chicken,MCA,18-449 ,"LGC, Nutrient analysis of chicken and turkey, 1994-1995 (chicken, fresh, casseroled with skin, light meat (Fatty Acids Supplement 18-449) not integrated, different samples and values)",,65.8,4.30,26.9,8.5,0.0,184,772,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,29.70,2.40,,,,,,,48.60,3.90,,,19.40,1.60,,,,,1.20,0.10,92.0,Unknown,Unknown
18-309,"Chicken, breast, casseroled, meat and skin, weighed with bone",Calculated from 18-308,MCA,,"LGC, Nutrient analysis of chicken and turkey, 1994-1995 (chicken, fresh, casseroled with skin, light meat (Fatty Acids Supplement 18-449)  not integrated, different samples and values)",,59.2,3.87,24.2,7.6,0.0,165,693,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,29.70,2.10,,,,,,,48.60,3.50,,,19.40,1.40,,,,,1.20,0.10,83.0,Unknown,Unknown
18-307,"Chicken, breast, casseroled, meat only",Calculated from light meat from fresh and frozen chicken,MCA,,"Reviewed 2013. LGC, Nutrient analysis of chicken and turkey, 1994-1995",,67.7,4.54,28.4,5.2,0.0,160,675,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.60,1.50,,,,,,,48.30,2.40,,,19.60,1.00,,,,,1.10,0.10,90.0,Unknown,Unknown
18-324,"Chicken, breast, grilled with skin, meat only",17 samples,MCA,,"LGC, Nutrient analysis of chicken and turkey, 1994-1995",,68.0,4.76,29.8,3.1,0.0,147,621,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,30.00,0.90,,,,,,,45.40,1.30,,,22.00,0.60,,,,,1.00,Tr,84.0,Unknown,Unknown
18-323,"Chicken, breast, grilled without skin, meat only",10 samples,MCA, ,"Reviewed 2013. LGC, Nutrient analysis of chicken and turkey, 1994-1995",,66.6,5.11,32.0,2.2,0.0,148,626,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.80,0.60,16.32,0.41,4.25,0.11,44.96,1.13,46.40,1.00,20.63,0.52,19.70,0.40,29.99,0.75,0.39,0.01,1.18,0.03,94.0,Unknown,Unknown
18-325,"Chicken, breast, grilled, meat and skin",Calculated from 92% light meat and 8% skin from fresh and frozen chicken,MCA,,"LGC, Nutrient analysis of chicken and turkey, 1994-1995",,64.8,4.63,28.9,6.4,0.0,173,728,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,15.10,0.90,,,,,,,23.50,1.40,,,10.80,0.70,,,,,0.70,Tr,90.0,Unknown,Unknown
18-326,"Chicken, breast, strips, stir-fried in corn oil","10 samples, skinless",MCA,,"Reviewed 2013. LGC, Nutrient analysis of chicken and turkey, 1994-1995",,65.9,4.76,29.7,4.6,0.0,161,677,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,N,,,,,,,N,N,,,N,N,,,,,N,N,87.0,Unknown,Unknown
18-299,"Chicken, corn-fed, raw, dark meat only",6 samples,MCA,18-453 ,"LGC, Nutrient analysis of chicken and turkey, 1994-1995; with fatty acids as Fatty Acid Supplement, 1998 (18-453)",,72.5,3.12,19.5,7.2,0.0,143,599,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,30.40,2.10,19.37,1.32,1.96,0.13,6.09,3.14,46.50,3.20,21.37,1.46,21.40,1.50,30.12,2.06,0.26,,0.42,0.03,100.0,Unknown,Unknown
18-300,"Chicken, corn-fed, raw, light meat only",6 samples,MCA,18-452 ,"LGC, Nutrient analysis of chicken and turkey, 1994-1995;and Fatty Acid Supplement, 1998 (18-452)",,73.4,3.69,23.0,2.8,0.0,118,496,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,30.80,0.80,19.19,0.51,2.32,0.06,44.52,1.19,44.90,1.20,21.56,0.57,21.70,0.60,30.48,0.81,0.30,0.01,0.52,0.01,70.0,Unknown,Unknown
18-301,"Chicken, corn-fed, raw, meat only",Calculated from 54% light meat and 46% dark meat,MCA,,"LGC, Nutrient analysis of chicken and turkey, 1994-1995",,73.0,3.42,21.4,4.8,0.0,129,541,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,30.60,1.40,,,,,,,45.60,2.10,,,21.60,1.00,,,,,0.50,Tr,85.0,Unknown,Unknown
