Food_Code,Food_Name,Description,Food_Group,Previous,Main data references,Footnote,Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Energy (kJ) (kJ),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g FA (g),Satd FA /100g fd (g),n-6 poly /100g FA (g),n-6 poly /100g food (g),n-3 poly /100g FA (g),n-3 poly /100g food (g),cis-Mono FA /100g FA (g),cis-Mono FA /100g Food (g),Mono FA/ 100g FA (g),Mono FA /100g food (g),cis-Polyu FA /100g FA (g),cis-Poly FA /100g Food (g),Poly FA /100g FA (g),Poly FA /100g food (g),Sat FA excl Br /100g FA (g),Sat FA excl Br /100g food (g),Branched chain FA /100g FA (g),Branched chain FA /100g food (g),Trans FAs /100g FA (g),Trans FAs /100g food (g),Cholesterol (mg),Food_Category,Super_Category
18-356,"Turkey, breast, fillet, grilled, meat only",9 samples; skinless,MCO, ,"Reviewed 2013. LGC, Nutrient analysis of chicken and turkey, 1994-1995",,63.0,5.60,35.0,1.7,0.0,155,658,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.20,0.60,19.26,0.31,2.40,0.04,34.43,0.56,35.30,0.60,21.72,0.35,21.80,0.30,37.74,0.61,0.41,0.01,0.93,0.02,74.0,Unknown,Unknown
18-348,"Turkey, dark meat, raw",20 samples,MCO,50-461 ,"Reviewed 2013. LGC, Nutrient analysis of chicken and turkey, 1994-1995",,75.8,3.26,20.4,2.5,0.0,104,439,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.80,0.80,,,,,,,40.60,1.00,,,26.00,0.60,,,,,1.10,Tr,86.0,Unknown,Unknown
18-358,"Turkey, dark meat, roasted",27 samples including self-basting turkey,MCO,50-465 18-459 ,"Reviewed 2013. LGC, Nutrient analysis of chicken and turkey, 1994-1995; phtyosterols from 18-459. Additional fatty acid data, with a slightly different fat content and fatty acid profile is available in 18-459.",,64.3,4.71,29.4,6.6,0.0,177,745,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.40,2.00,,,,,,,39.00,2.40,,,26.80,1.70,,,,,1.70,0.10,120.0,Unknown,Unknown
18-365,"Turkey, drumsticks, roasted, meat and skin",Calculated from 92% dark meat and 8% skin,MCO,,"LGC, Nutrient analysis of chicken and turkey, 1994-1995",,62.6,4.38,27.4,8.5,0.0,186,780,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,32.00,2.60,,,,,,,40.60,3.30,,,25.80,2.10,,,,,1.10,0.10,130.0,Unknown,Unknown
18-366,"Turkey, drumsticks, roasted, meat and skin, weighed with bone",Calculated from 18-365,MCO,,"LGC, Nutrient analysis of chicken and turkey, 1994-1995",,45.1,3.15,19.7,6.1,0.0,134,561,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,32.00,1.80,,,,,,,40.60,2.30,,,25.80,1.50,,,,,1.10,0.10,92.0,Unknown,Unknown
18-364,"Turkey, drumsticks, roasted, meat only",9 samples,MCO,,"LGC, Nutrient analysis of chicken and turkey, 1994-1995",,65.0,4.40,27.5,5.8,0.0,162,683,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,31.80,1.70,,,,,,,40.60,2.20,,,26.00,1.40,,,,,1.10,0.10,115.0,Unknown,Unknown
18-349,"Turkey, light meat, raw",20 samples,MCO,50-460 ,"Reviewed 2013. LGC, Nutrient analysis of chicken and turkey, 1994-1995",,74.9,3.90,24.4,0.8,0.0,105,444,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.70,0.30,,,,,,,37.50,0.30,,,23.70,0.20,,,,,0.70,Tr,57.0,Unknown,Unknown
18-359,"Turkey, light meat, roasted",18 samples,MCO,50-464 18-460 ,"Reviewed 2013. LGC, Nutrient analysis of chicken and turkey, 1994-1995; phytosterols from Fatty Acid Supplement, 1998 (18-460). Additional fatty acid data with a slightly different fat content and fatty acid profile is available in 18-460.",,65.1,5.39,33.7,2.0,0.0,153,648,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.70,0.70,,,,,,,37.50,0.70,,,23.70,0.50,,,,,0.70,Tr,82.0,Unknown,Unknown
18-350,"Turkey, meat, average, raw",Calculated from 56% light meat and 44% dark meat,MCO,50-458 ,"Reviewed 2013. LGC, Nutrient analysis of chicken and turkey, 1994-1995; phytosterols calculated from 18-348 and 18-359",,75.3,3.62,22.6,1.6,0.0,105,443,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.40,0.50,,,,,,,38.90,0.60,,,24.80,0.40,,,,,0.90,Tr,70.0,Unknown,Unknown
18-361,"Turkey, meat, average, roasted","Calculated from 51% light meat and 49% dark meat, fresh and frozen, including self-basting turkey",MCO,50-462 ,"Reviewed 2013. LGC, Nutrient analysis of chicken and turkey, 1994-1995; phytosterols calculated from 18-459 and 18-460",,64.6,4.99,31.2,4.6,0.0,166,701,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.20,1.40,,,,,,,38.90,1.70,,,25.50,1.10,,,,,1.90,0.10,100.0,Unknown,Unknown
