Food_Code,Food_Name,Description,Food_Group,Previous,Main data references,Footnote,Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Energy (kJ) (kJ),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g FA (g),Satd FA /100g fd (g),n-6 poly /100g FA (g),n-6 poly /100g food (g),n-3 poly /100g FA (g),n-3 poly /100g food (g),cis-Mono FA /100g FA (g),cis-Mono FA /100g Food (g),Mono FA/ 100g FA (g),Mono FA /100g food (g),cis-Polyu FA /100g FA (g),cis-Poly FA /100g Food (g),Poly FA /100g FA (g),Poly FA /100g food (g),Sat FA excl Br /100g FA (g),Sat FA excl Br /100g food (g),Branched chain FA /100g FA (g),Branched chain FA /100g food (g),Trans FAs /100g FA (g),Trans FAs /100g food (g),Cholesterol (mg),Food_Category,Super_Category
18-392,"Brain, lamb, boiled",11 samples,MG,,"MW4, 1978. Values reviewed for Meat Products and Dishes Supplement, 1996",,77.0,1.86,11.6,8.8,0.0,126,523,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,41.40,2.00,,,,,,,35.60,1.70,,,20.50,1.00,,,,,Tr,Tr,2200.0,Unknown,Unknown
18-394,"Giblets, chicken, boiled","Mixed sample including heart, liver and gizzard",MG,,"LGC, Poultry and game surveys, 1983-1984",,67.7,3.66,22.9,7.1,0.0,156,652,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,N,N,,,,,,,N,N,,,N,N,,,,,N,Tr,390.0,Unknown,Unknown
18-393,"Giblets, chicken, raw","Mixed sample including heart, liver and gizzard",MG,,"LGC, Poultry and game surveys, 1983-1984",,72.9,2.74,17.1,8.2,0.0,142,594,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,N,N,,,,,,,N,N,,,N,N,,,,,N,Tr,N,Unknown,Unknown
18-395,"Giblets, turkey, boiled","Mixed sample including heart, liver, gizzard and neck",MG,,"LGC, Poultry and game surveys, 1983-1984",,61.0,4.50,28.1,8.8,0.0,192,803,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,N,N,,,,,,,N,N,,,N,N,,,,,N,Tr,N,Unknown,Unknown
18-396,"Heart, lamb, raw",12 samples,MG,18-438 50-472 ,"MW4, 1978. Values reviewed for Meat, Poultry and Game Supplement, 1995. Fats and fatty acids from Fatty Acid Supplement, 1998",,75.6,2.73,17.1,6.8,0.0,129,498,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,48.80,2.10,8.50,0.46,2.40,0.13,29.20,1.57,37.60,1.70,9.20,0.49,12.10,0.50,52.90,2.84,1.00,0.05,8.50,0.46,140.0,Unknown,Unknown
18-492,"Heart, lamb, roasted","10 samples, fat and valves removed",MG,18-397 40-359 50-476 ,"Reviewed 2013. LGC, Carcase meat and offal survey, 1982-1983; vitamin D data from LGC , Determination of 25-OH vitamin D in selected foodstuffs, 1997",,58.8,4.05,25.3,13.9,0.0,226,944,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,N,,,,,,,N,N,,,N,N,,,,,N,Tr,260.0,Unknown,Unknown
18-398,"Heart, ox, raw",10 samples,MG,50-473 ,"LGC, Carcase meat and offal survey, 1982-1983",,76.4,2.91,18.2,3.5,0.0,104,439,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,62.00,1.70,,,,,,,33.50,0.90,,,3.70,0.10,,,,,Tr,Tr,140.0,Unknown,Unknown
18-399,"Heart, ox, stewed","10 samples, fat and valves removed",MG,50-474 ,"LGC, Carcase meat and offal survey, 1982-1983",,64.3,4.45,27.8,5.1,0.0,157,661,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,62.00,2.50,,,,,,,33.50,1.30,,,3.70,0.10,,,,,Tr,Tr,230.0,Unknown,Unknown
18-400,"Heart, pig, raw",12 samples,MG,18-439 50-475 ,"As Meat, Poultry and Game Supplement, 1995. Additional fatty acid data is available from a sample with slightly different fat content and profile in Fatty Acid Supplement, 1998",,77.9,2.74,17.1,3.2,0.0,97,409,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,47.90,1.20,16.20,0.49,0.80,0.02,34.50,1.03,35.50,0.90,17.00,0.51,17.10,0.40,47.00,1.41,0.90,0.03,1.10,0.03,79.0,Unknown,Unknown
18-401,"Heart, pig, stewed","10 samples, fat and valves removed",MG,,"LGC, Carcase meat and offal survey, 1982-1983",,66.3,4.02,25.1,6.8,0.0,162,678,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,N,N,,,,,,,N,N,,,N,N,,,,,N,Tr,N,Unknown,Unknown
18-493,"Kidney, lamb, fried in corn oil","10 samples, skin and core removed",MG,18-403 18-456 40-365 50-478 ,"Reviewed 2013. LGC, Carcase meat and offal survey, 1982-1983; vitamin D from LGC, Determination of 25-OH vitamin D in selected foodstuffs, 1997",,62.8,3.79,23.7,10.3,0.0,188,784,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,N,,,,,,,N,N,,,N,N,,,,,N,Tr,610.0,Unknown,Unknown
