Food_Code,Food_Name,Description,Food_Group,Previous,Main data references,Footnote,Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Energy (kJ) (kJ),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g FA (g),Satd FA /100g fd (g),n-6 poly /100g FA (g),n-6 poly /100g food (g),n-3 poly /100g FA (g),n-3 poly /100g food (g),cis-Mono FA /100g FA (g),cis-Mono FA /100g Food (g),Mono FA/ 100g FA (g),Mono FA /100g food (g),cis-Polyu FA /100g FA (g),cis-Poly FA /100g Food (g),Poly FA /100g FA (g),Poly FA /100g food (g),Sat FA excl Br /100g FA (g),Sat FA excl Br /100g food (g),Branched chain FA /100g FA (g),Branched chain FA /100g food (g),Trans FAs /100g FA (g),Trans FAs /100g food (g),Cholesterol (mg),Food_Category,Super_Category
19-114,"Black pudding, dry-fried","8 samples, 6 brands",MI,50-505 ,"Reviewed 2013. LGC, Analytical survey of meat products, 1990-1991",,44.3,1.65,10.3,21.5,16.6,297,1236,16.4,,0.2,0.1,Tr,Tr,0.1,Tr,Tr,0.0,0.2,N,,8.50,,,,,,,,8.10,,,,3.60,,,,,,N,68.0,Unknown,Unknown
19-113,"Black pudding, raw","8 samples, 6 brands",MI,336,"LGC, Analytical survey of meat products, 1990-1991",,50.3,1.46,9.1,20.6,14.8,277,1154,14.6,,0.2,,,,,,,0.0,N,,,7.70,11.20,1.75,1.00,0.16,48.00,7.51,,9.50,12.20,1.91,,2.40,39.20,6.14,0.10,0.02,0.40,0.06,43.0,Unknown,Unknown
19-115,Brawn,10 samples,MI,50-506 ,"MW4, 1978. Values reviewed for Meat Products and Dishes Supplement, 1996",,72.0,1.99,12.4,11.5,0.0,153,636,0.0,,0.0,,,,,,,0.0,0.0,,,N,,,,,,,,N,,,,N,,,,,,N,52.0,Unknown,Unknown
19-538,Chicken slices,7 samples including smoked and wafer thin chicken breast. 80-100% meat,MI,,"LGC, Nutritional analysis of meat and poultry products, 1994-1995; and industry data, 2013",,71.8,3.71,23.2,1.5,2.0,114,482,1.5,,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,N,0.3,,0.40,,,,,,,,0.70,,,,0.30,,,,,,0.00,63.0,Unknown,Unknown
19-469,"Chicken/turkey pasties/slices, puff pastry","10 samples, 10 products, including chicken and mushroom and chicken and bacon",MI,,"DH, Nutrient analysis of a range of processed foods with particular reference to trans fatty acids, 2013",,48.4,1.29,8.1,18.5,23.9,289,1205,22.8,,1.2,0.2,Tr,0.1,0.2,0.7,Tr,,1.0,2.9,51.83,9.17,9.82,1.74,1.04,0.18,36.19,6.40,36.47,6.45,10.86,1.92,10.86,1.92,51.60,9.13,0.23,0.04,0.28,0.05,24.3,Unknown,Unknown
19-516,Chorizo,Manufacturers' data,MI,19-099 ,"Industry data, 2013",,N,3.84,24.0,32.2,2.4,395,1638,1.3,,1.1,0.0,0.0,0.0,Tr,0.0,1.1,0.0,N,1.0,,12.00,,,,,,,,14.50,,,,4.93,,,,,,N,N,Unknown,Unknown
19-128,"Corned beef, canned","10 samples, 4 brands",MI,50-507  ,"Reviewed 2013. Meat Products and Dishes Supplement, 1996; and LGC, Survey of dietary oils and fats, 1981-1982. Vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000. Reviewed in 2013",,59.5,4.14,25.9,10.9,1.0,205,860,0.0,,1.0,0.1,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,,5.70,2.70,0.28,0.30,0.03,36.30,3.77,,4.30,1.70,0.18,,0.30,52.50,5.45,2.10,0.22,6.50,0.68,84.0,Unknown,Unknown
19-495,Frankfurter,"10 samples, 7 brands of continental style frankfurters. 75-90% meat",MI,,"LGC, Analytical survey of meat products, 1990-1991; and industry data, 2013",,54.2,2.17,13.6,25.4,1.1,287,1189,Tr,,1.1,0.2,Tr,Tr,Tr,Tr,0.9,0.0,0.1,0.1,,9.20,11.20,2.66,1.00,0.24,48.20,11.44,,11.50,12.20,2.90,,3.00,38.60,9.16,0.20,0.05,0.50,0.12,76.0,Unknown,Unknown
19-581,Frankfurter with bun,Recipe,MI,19-581 ,Updated 2014,,41.5,1.78,10.7,9.8,35.6,264,1113,33.4,,2.1,0.2,,0.1,Tr,1.5,0.3,,1.4,1.8,,3.32,,,,,,,,4.03,,,,1.51,,,,,,0.04,23.9,Unknown,Unknown
19-582,"Frankfurter with bun, ketchup, fried onions and mustard",Recipe,MI,19-367 ,Updated 2014,,56.6,1.13,6.8,7.4,26.5,194,814,19.0,,6.7,1.8,,1.5,2.4,0.8,0.2,0.0,1.3,2.0,,2.08,,,,,,,,2.81,,,,1.96,,,,,,0.02,13.4,Unknown,Unknown
