Food_Code,Food_Name,Description,Food_Group,Previous,Main data references,Footnote,Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Energy (kJ) (kJ),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g FA (g),Satd FA /100g fd (g),n-6 poly /100g FA (g),n-6 poly /100g food (g),n-3 poly /100g FA (g),n-3 poly /100g food (g),cis-Mono FA /100g FA (g),cis-Mono FA /100g Food (g),Mono FA/ 100g FA (g),Mono FA /100g food (g),cis-Polyu FA /100g FA (g),cis-Poly FA /100g Food (g),Poly FA /100g FA (g),Poly FA /100g food (g),Sat FA excl Br /100g FA (g),Sat FA excl Br /100g food (g),Branched chain FA /100g FA (g),Branched chain FA /100g food (g),Trans FAs /100g FA (g),Trans FAs /100g food (g),Cholesterol (mg),Food_Category,Super_Category
19-471,"Beef bourguignon, homemade",Recipe,MR,19-330 ,Updated 2013,,71.4,2.26,13.8,6.2,2.5,140,587,1.4,0.2,0.9,0.3,0.0,0.3,0.2,0.0,0.0,3.0,0.4,0.4,,2.09,,,,,,,,2.46,,,,1.24,,,,,,0.12,41.9,Unknown,Unknown
19-548,"Beef bourguignonne, made with lean beef, homemade",Recipe,MR,19-331 ,Updated 2014,,73.6,2.31,14.1,4.2,2.5,105,442,1.4,,0.8,0.3,,0.2,0.2,0.0,0.0,3.0,0.4,0.5,,1.25,,,,,,,,2.03,,,,0.64,,,,,,0.06,40.1,Unknown,Unknown
19-588,"Beef olives, homemade",Rolled beef stuffed with bacon and onions. Recipe,MR,19-373 ,Updated 2014,,71.4,2.23,13.9,11.0,1.6,159,662,1.2,,0.3,0.1,0.0,0.1,0.1,0.0,0.0,,0.1,0.2,,4.07,,,,,,,,4.98,,,,1.19,,,,,,0.22,34.6,Unknown,Unknown
19-589,"Beef steak pudding, homemade",Recipe,MR,19-358 ,Updated 2014,,58.9,1.87,11.5,10.2,18.7,207,864,18.4,,0.8,0.3,,0.2,0.3,0.0,0.0,0.0,0.9,1.1,,5.41,,,,,,,,3.74,,,,0.38,,,,,,0.43,34.1,Unknown,Unknown
19-551,"Beef Stroganoff, homemade",Recipe,MR,19-376 ,Updated 2014,,68.9,2.49,15.3,11.2,2.5,171,713,Tr,0.4,2.1,0.5,0.0,0.4,0.4,0.0,0.8,,0.5,0.6,,6.22,,,,,,,,3.72,,,,0.49,,,,,,N,60.9,Unknown,Unknown
19-552,"Beef Wellington, homemade",Recipe,MR,19-377 ,Updated 2014,,39.2,2.64,16.3,25.5,16.2,356,1480,15.4,,0.7,0.1,0.0,0.0,0.0,0.7,Tr,0.0,0.4,1.4,,10.19,,,,,,,,10.24,,,,2.63,,,,,,0.25,54.0,Unknown,Unknown
19-607,"Beef, mince, stewed","Includes beef, onions, flour, stock and seasoning. Recipe",MR,19-408 ,Updated 2014,,74.3,1.75,10.9,9.9,2.5,139,579,1.6,,0.6,0.2,,0.2,0.2,0.0,0.0,0.0,0.2,0.3,,3.79,,,,,,,,4.39,,,,0.63,,,,,,0.43,31.5,Unknown,Unknown
19-606,"Beef, mince, with vegetables, stewed",Recipe,MR,19-410 ,Updated 2014,,75.3,1.48,9.2,7.2,5.7,122,508,3.0,,2.3,0.8,,0.6,0.9,0.0,0.0,0.0,0.7,1.2,,3.04,,,,,,,,3.03,,,,0.26,,,,,,0.35,25.5,Unknown,Unknown
19-664,"Beef, minced, stewed with onions, extra lean","Containing beef, onions, flour, stock and seasoning. Recipe",MR,19-409 ,Updated 2014,,80.3,1.94,12.1,3.6,2.5,113,471,1.6,,0.6,0.2,,0.2,0.2,0.0,0.0,,0.2,0.3,,1.24,,,,,,,,1.80,,,,0.47,,,,,,0.13,19.4,Unknown,Unknown
19-530,"Beef, stir-fried with green peppers, homemade",Recipe,MR,19-335 ,Updated 2013,,71.2,1.89,11.8,8.0,6.1,145,607,2.2,Tr,3.8,0.8,0.0,0.9,2.1,0.0,0.0,0.4,0.8,N,,2.67,,,,,,,,2.88,,,,1.94,,,,,,0.16,32.5,Unknown,Unknown
19-454,"Biryani, chicken, takeaway","10 samples, 2 from different establishments in each of 5 regions. Consists of chicken fried in oil with saffron flavoured rice and a curry sauce that contains vegetables and coconut.",MR,,"Aspland and James Ltd, Nutrient analysis of ethnic takeaway foods, 1997",,66.9,1.36,8.5,7.4,16.6,163,684,11.8,3.9,0.9,0.2,,0.5,0.2,Tr,Tr,0.0,1.1,1.2,28.46,2.01,23.05,1.63,5.40,0.38,42.02,2.97,42.54,3.00,28.65,2.03,29.00,2.05,28.03,1.98,0.43,0.03,0.52,0.04,20.6,Unknown,Unknown
19-476,"Bolognese sauce (with meat), homemade",Recipe,MR,19-352 ,Updated 2013,,70.5,1.89,11.8,11.6,2.8,161,668,0.1,0.1,2.6,1.1,Tr,1.1,0.4,0.0,0.0,0.0,0.6,0.7,,4.20,,,,,,,,4.40,,,,1.86,,,,,,0.45,33.4,Unknown,Unknown
19-475,"Bolognese sauce (with meat), made with extra lean minced beef, homemade",Recipe,MR,,Updated 2013,,76.9,2.08,13.0,4.9,2.8,108,452,0.1,0.1,2.6,1.1,0.0,1.1,0.4,0.0,0.0,0.0,0.6,0.6,,1.49,,,,,,,,1.66,,,,1.69,,,,,,0.13,20.6,Unknown,Unknown
19-553,"Burger, beef, fried in rapeseed oil, homemade",Recipe,MR,19-354 ,Updated 2014,,50.3,3.82,23.9,21.9,1.1,297,1233,Tr,,0.8,0.3,,0.2,0.3,0.0,0.0,,0.2,0.3,,8.32,,,,,,,,9.74,,,,1.45,,,,,,0.92,107.7,Unknown,Unknown
19-555,"Burger, beef, grilled, homemade",Recipe,MR,19-356 ,Updated 2014,,50.5,4.00,25.0,20.3,1.1,288,1195,Tr,,0.9,0.3,,0.3,0.3,0.0,0.0,,0.2,0.3,,8.54,,,,,,,,8.65,,,,0.75,,,,,,0.96,112.8,Unknown,Unknown
19-554,"Burger, beef, with bun, fried in rapeseed oil, homemade",Recipe,MR,19-356 ,Updated 2014,,47.0,3.39,21.0,18.6,10.3,291,1212,9.0,,1.1,N,,N,N,N,0.0,,0.5,0.2,,6.93,,,,,,,,8.12,,,,1.38,,,,,,N,87.0,Unknown,Unknown
19-556,"Burger, beef, with bun, grilled, homemade",Recipe,MR,19-357 ,Updated 2014,,47.1,3.54,21.9,17.4,10.3,283,1181,9.0,,1.1,N,,N,N,N,0.0,,0.4,N,,7.11,,,,,,,,7.24,,,,0.82,,,,,,N,91.1,Unknown,Unknown
19-631,"Cabbage leaves, stuffed with lamb and rice, homemade",Recipe,MR,19-437 ,Updated 2014,,78.4,1.15,7.1,4.2,8.3,100,418,6.4,,1.6,0.7,,0.6,0.3,0.0,0.0,,1.0,1.5,,1.80,,,,,,,,1.58,,,,0.28,,,,,,0.30,32.9,Unknown,Unknown
19-558,"Carbonnade of Beef, homemade",Recipe,MR,19-378 ,Updated 2014,,72.6,2.04,12.7,6.5,5.2,134,560,1.8,0.5,2.7,0.6,0.0,0.5,0.9,0.6,0.0,0.8,0.5,0.8,,2.12,,,,,,,,3.02,,,,0.87,,,,,,0.11,39.0,Unknown,Unknown
19-470,"Casserole, beef, made with cook-in sauce",Recipe,MR,19-332 ,Updated 2013,,71.0,2.41,15.0,6.6,4.8,137,576,2.0,,2.7,0.8,0.0,0.9,0.9,0.0,0.0,Tr,0.7,0.7,,2.75,,,,,,,,2.86,,,,0.55,,,,,,0.28,43.5,Unknown,Unknown
19-612,"Casserole, pork and apple, homemade",Recipe,MR,19-414 ,Updated 2014,,76.6,1.76,11.0,2.9,7.5,100,420,2.9,,4.3,1.0,,2.2,1.0,0.1,0.0,0.3,0.5,0.5,,0.66,,,,,,,,1.21,,,,0.62,,,,,,Tr,28.5,Unknown,Unknown
19-536,"Casserole, pork, made with cook-in sauce",Recipe,MR,19-348 ,Updated 2013,,69.6,2.73,17.0,7.9,4.0,154,646,1.7,0.0,2.3,0.7,0.0,0.8,0.7,0.0,0.0,Tr,0.5,0.7,,2.68,,,,,,,,3.17,,,,1.49,,,,,,0.08,49.9,Unknown,Unknown
19-623,"Casserole, rabbit, homemade",Recipe,MR,19-431 ,Updated 2014,,79.7,1.82,11.4,4.8,2.2,97,406,1.1,,1.1,0.3,,0.3,0.5,0.0,0.0,0.0,0.3,0.6,,1.37,,,,,,,,1.57,,,,1.27,,,,,,0.05,27.5,Unknown,Unknown
19-484,"Casserole, sausage, homemade",Recipe,MR,19-351 ,Updated 2013,,68.6,1.91,11.9,10.9,5.2,165,685,2.9,0.2,2.0,0.6,0.0,0.3,0.9,0.3,Tr,0.0,1.1,1.6,,3.65,,,,,,,,4.47,,,,2.07,,,,,,0.04,40.0,Unknown,Unknown
19-560,"Chicken chasseur, homemade",Recipe,MR,19-350 ,Updated 2014,,78.7,2.18,13.5,1.5,2.3,78,329,1.2,,1.1,0.3,,0.3,0.5,0.0,0.0,2.3,0.3,0.2,,0.25,,,,,,,,0.78,,,,0.38,,,,,,0.01,37.6,Unknown,Unknown
19-663,"Chicken chasseur, homemade, weighed with bone",Recipe. Calculated from 19-350 using 0.89 conversion factor,MR,19-187 ,Updated 2014,,70.0,1.94,12.0,1.3,2.0,69,293,1.1,,1.0,0.3,,0.3,0.4,0.0,0.0,2.0,0.3,0.2,,0.22,,,,,,,,0.69,,,,0.34,,,,,,0.01,33.5,Unknown,Unknown
19-561,"Chicken fricassee, homemade",Recipe,MR,19-379 ,Updated 2014,,77.7,1.62,10.0,6.1,2.8,115,480,1.2,,1.5,0.5,,0.5,0.3,0.0,0.2,1.4,0.5,N,,2.40,,,,,,,,2.44,,,,0.85,,,,,,0.09,40.6,Unknown,Unknown
19-562,"Chicken fricassee, reduced fat, homemade",Recipe,MR,19-380 ,Updated 2014,,78.6,1.66,10.2,4.2,3.2,101,422,1.2,,2.0,0.5,,0.5,0.3,0.0,0.4,1.4,0.5,N,,1.19,,,,,,,,1.96,,,,0.79,,,,,,0.02,35.7,Unknown,Unknown
19-563,"Chicken in white sauce, made with semi-skimmed milk",Recipe,MR,19-382 ,Updated 2014,,70.0,2.70,17.0,7.7,5.0,156,655,2.7,,2.3,Tr,,Tr,0.0,0.0,2.3,,0.1,0.1,,3.42,,,,,,,,2.77,,,,0.93,,,,,,0.19,67.7,Unknown,Unknown
19-564,"Chicken in white sauce, made with whole milk",Recipe,MR,19-381 ,Updated 2014,,68.5,2.70,17.0,9.0,5.2,168,705,3.0,,2.2,Tr,,Tr,0.0,0.0,2.2,,0.1,0.1,,4.22,,,,,,,,3.12,,,,0.98,,,,,,0.23,71.4,Unknown,Unknown
