Food_Code,Food_Name,Description,Food_Group,Previous,Main data references,Footnote,Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Energy (kJ) (kJ),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g FA (g),Satd FA /100g fd (g),n-6 poly /100g FA (g),n-6 poly /100g food (g),n-3 poly /100g FA (g),n-3 poly /100g food (g),cis-Mono FA /100g FA (g),cis-Mono FA /100g Food (g),Mono FA/ 100g FA (g),Mono FA /100g food (g),cis-Polyu FA /100g FA (g),cis-Poly FA /100g Food (g),Poly FA /100g FA (g),Poly FA /100g food (g),Sat FA excl Br /100g FA (g),Sat FA excl Br /100g food (g),Branched chain FA /100g FA (g),Branched chain FA /100g food (g),Trans FAs /100g FA (g),Trans FAs /100g food (g),Cholesterol (mg),Food_Category,Super_Category
17-685,"Butter, salted","Average of UK/Irish, Danish, French, New Zealand",OA,17-485 ,"LGC, Nutrient analysis of ‘other’ milk and cream, 1998; and industry data, 2013. Fats and fatty acids as Fatty Acid Supplement 17-013, 1998. Vitamin K1 Bolton-Smith et al, Br J Nutr, 83, 2000",,14.9,0.10,0.6,82.2,0.6,744,3059,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,68.68,52.09,,1.41,,0.68,,18.48,,20.91,,2.27,,2.83,,,,1.80,,2.87,213.2,Unknown,Unknown
17-655,"Butter, spreadable (75-80% fat)","9 samples, 7 products, containing butter and vegetable oil, including Anchor, Lurpak, Country Life and own brand equivalents",OA,17-486 ,"DH, Nutrient analysis of a range of processed foods with particular reference to trans fatty acids, 2011",,18.7,0.06,0.4,79.1,0.5,715,2941,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,45.68,34.15,9.96,7.45,3.41,2.55,37.69,28.17,39.53,29.54,13.38,10.00,13.38,10.00,44.31,33.12,1.38,1.03,1.85,1.38,153.0,Unknown,Unknown
17-656,"Butter, spreadable, light (60% fat)","11 samples, 7 products, containing vegetable oil, including Anchor Lighter, Lurpak Lighter, Country Life Lighter and own brand equivalents",OA,,"DH, Nutrient analysis of a range of processed foods with particular reference to trans fatty acids, 2011",,37.3,0.08,0.5,60.2,0.8,547,2248,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,45.17,25.70,10.23,5.83,3.39,1.93,38.09,21.67,39.86,22.66,13.62,7.75,13.62,7.75,43.86,24.95,1.31,0.75,1.77,1.01,110.7,Unknown,Unknown
17-661,"Butter, unsalted","Average of UK/Irish, Danish, French, New Zealand",OA,,"LGC, Nutrient analysis of ‘other’ milk and cream, 1998. Fats and fatty acids as FA Supplement 17-013, 1998. Vitamin K1 Bolton-Smith et al, Br J Nutr, 83, 2000",,14.9,0.10,0.6,82.2,0.6,744,3059,0.0,,0.6,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,68.68,52.09,,1.41,,0.68,,18.48,,20.91,,2.27,,2.83,,,,1.80,,2.87,213.0,Unknown,Unknown
12-497,"Fat spread, low fat (26-39%), not polyunsaturated, including dairy type","7 samples, 5 products, vegetable oil/dairy blend, including I Can't Believe It's Not Butter Light and own brands",OA,17-552 17-017 ,"DH, Nutrient analysis of a range of processed foods with particular reference to trans fatty acids, 2011",,57.5,0.02,0.2,39.0,0.7,354,1457,0.3,,0.4,0.0,0.0,0.0,0.0,0.0,0.4,,0.0,0.0,26.17,9.76,22.02,8.21,4.32,1.61,46.33,17.27,46.64,17.39,26.34,9.82,26.34,9.82,26.10,9.73,0.07,0.03,0.30,0.12,Tr,Unknown,Unknown
12-498,"Fat spread, low fat (26-39%), not polyunsaturated, with olive oil","8 samples, 4 products, including Bertolli Light Spread and own brands",OA,,"DH, Nutrient analysis of a range of processed foods with particular reference to trans fatty acids, 2011",,58.9,0.02,0.1,38.9,0.5,353,1450,Tr,,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,23.94,8.90,13.26,4.93,3.83,1.43,57.92,21.54,58.30,21.68,17.09,6.36,17.09,6.36,23.85,8.87,0.08,0.03,0.38,0.14,4.5,Unknown,Unknown
12-499,"Fat spread, low fat (26-39%), polyunsaturated","10 samples, 5 products, including Flora Light and own brands",OA,17-027 ,"DH, Nutrient analysis of a range of processed foods with particular reference to trans fatty acids, 2011",,52.5,Tr,Tr,36.9,1.8,339,1394,0.6,,1.3,0.0,0.0,0.0,0.0,0.0,1.3,,0.0,0.0,24.48,8.55,37.08,12.94,5.78,2.02,32.79,11.45,32.94,11.50,42.86,14.96,42.86,14.96,24.45,8.53,0.03,0.01,0.15,0.05,Tr,Unknown,Unknown
12-504,"Fat spread, reduced fat (41-62%), not polyunsaturated","11 samples, 8 products, including I Can't Believe It's Not Butter, Utterly Butterly, and own brands",OA,17-016 ,"DH, Nutrient analysis of a range of processed foods with particular reference to trans fatty acids, 2011",,37.4,0.07,0.4,60.6,1.3,552,2270,0.0,,1.3,0.0,,0.0,0.0,0.0,1.3,,0.0,0.0,26.94,15.61,15.06,8.72,5.49,3.18,51.44,29.80,51.70,29.95,20.55,11.90,20.55,11.90,26.90,15.58,0.05,0.03,0.25,0.15,5.1,Unknown,Unknown
12-505,"Fat spread, reduced fat (41-62%), not polyunsaturated, with olive oil","10 samples, 6 products, including Bertolli Spread and own brands",OA,17-025 ,"DH, Nutrient analysis of a range of processed foods with particular reference to trans fatty acids, 2011",,38.8,0.03,0.2,59.1,1.1,537,2208,0.0,,1.1,0.0,,0.0,0.0,0.0,1.1,,0.0,0.0,23.40,13.22,16.65,9.41,3.76,2.12,55.33,31.26,55.53,31.37,20.41,11.53,20.41,11.53,23.33,13.18,0.07,0.04,0.19,0.11,2.9,Unknown,Unknown
12-503,"Fat spread, reduced fat (41-62%), polyunsaturated","12 samples, 7 products, including Flora Original, Vitalite Sunflower Spread, and own brands",OA,17-024 ,"DH, Nutrient analysis of a range of processed foods with particular reference to trans fatty acids, 2011",,40.0,Tr,Tr,59.2,Tr,533,2190,0.0,,Tr,0.0,0.0,0.0,0.0,0.0,Tr,,0.0,0.0,23.34,13.21,39.52,22.37,4.95,2.80,31.04,17.57,31.27,17.70,44.47,25.17,44.47,25.17,23.31,13.19,0.03,0.02,0.23,0.13,Tr,Unknown,Unknown
