Food_Code,Food_Name,Description,Food_Group,Previous,Main data references,Footnote,Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Energy (kJ) (kJ),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g FA (g),Satd FA /100g fd (g),n-6 poly /100g FA (g),n-6 poly /100g food (g),n-3 poly /100g FA (g),n-3 poly /100g food (g),cis-Mono FA /100g FA (g),cis-Mono FA /100g Food (g),Mono FA/ 100g FA (g),Mono FA /100g food (g),cis-Polyu FA /100g FA (g),cis-Poly FA /100g Food (g),Poly FA /100g FA (g),Poly FA /100g food (g),Sat FA excl Br /100g FA (g),Sat FA excl Br /100g food (g),Branched chain FA /100g FA (g),Branched chain FA /100g food (g),Trans FAs /100g FA (g),Trans FAs /100g food (g),Cholesterol (mg),Food_Category,Super_Category
17-031,"Oil, coconut",Mean of 35 samples,OC,50-320  ,"Reviewed 2013. Miscellaneous Foods Supplement, 1994; and Fatty Acid Supplement, 1998. Vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000",,Tr,Tr,Tr,99.9,0.0,899,3696,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.90,86.50,1.59,1.50,0.00,0.00,6.38,6.00,6.40,6.00,1.59,1.50,1.60,1.50,91.90,86.50,0.00,0.00,Tr,Tr,0.0,Unknown,Unknown
17-488,"Oil, cod liver",Mean of 20 samples,OC,17-032 50-321  ,"Reviewed 2013. Miscellaneous Foods Supplement, 1994; and Fatty Acids Supplement, 1998. Vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000",,Tr,Tr,Tr,99.9,0.0,899,3696,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,21.10,,3.50,,24.40,,44.60,,44.60,,30.50,,30.50,,,,0.00,,Tr,570.0,Unknown,Unknown
17-033,"Oil, corn",Mean of 42 samples,OC,50-322 17-419 ,"Reviewed 2013. Miscellaneous Foods Supplement, 1994; and Fatty Acids Supplement, 1998. Vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000",,Tr,Tr,Tr,99.9,0.0,899,3696,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.10,14.40,,50.40,,0.90,,29.90,31.30,29.90,,51.30,53.40,51.30,,14.50,0.00,0.00,,Tr,0.0,Unknown,Unknown
17-034,"Oil, cottonseed",Mean of 55 samples,OC,50-323  ,"Miscellaneous Foods Supplement, 1994; and Fatty Acids Supplement, 1998",,Tr,Tr,Tr,99.0,0.0,891,3663,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,26.10,,50.10,,0.10,,18.30,,18.30,,50.20,,50.20,,26.10,0.00,0.00,,Tr,0.0,Unknown,Unknown
17-035,"Oil, evening primrose",Mean of 35 samples,OC,17-420 ,"Reviewed 2013. Miscellaneous Foods Supplement, 1994. Additional individual fatty acid data is available in 17-420 (1998) but is from a different sample with a slightly different fatty acid profile.",,Tr,Tr,Tr,99.9,0.0,899,3696,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.20,7.80,,,,,,,11.10,10.60,,,80.20,76.60,,,,,Tr,Tr,0.0,Unknown,Unknown
17-036,"Oil, grapeseed",Mean of 23 samples,OC,17-436 ,"Reviewed 2013. Miscellaneous Foods Supplement, 1994. Additional individual fatty acid data is available in 17-436 from the Fatty Acid Supplement (1998) but is from a different sample with a slightly different fatty acid profile.",,Tr,Tr,Tr,99.9,0.0,899,3696,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,11.10,,,,,,,,15.80,,,,68.20,,,,,,Tr,0.0,Unknown,Unknown
17-037,"Oil, hazelnut",Mean of 10 samples,OC,17-437 ,"As Miscellaneous Foods Supplement, 1994; and Fatty Acid Supplement, 1998",,Tr,Tr,Tr,99.9,0.0,899,3696,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,7.80,,11.10,,0.10,,76.50,,76.50,,11.20,,11.20,,7.80,,0.00,,Tr,0.0,Unknown,Unknown
17-038,"Oil, olive",Mean of 35 samples; including virgin and extra virgin olive oil,OC,50-324  ,"Reviewed 2013. Miscellaneous Foods Supplement, 1994; and Fatty Acids Supplement, 1998. Vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000",,Tr,Tr,Tr,99.9,0.0,899,3696,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.90,14.30,7.90,7.50,0.73,0.70,76.40,73.00,76.40,73.00,8.60,8.20,8.60,8.20,15.00,14.30,0.00,0.00,Tr,Tr,0.0,Unknown,Unknown
17-039,"Oil, palm",Mean of 55 samples,OC,50-325  ,"Reviewed 2013. Miscellaneous Foods Supplement, 1994; and Fatty Acids Supplement, 1998. Vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000",,Tr,Tr,Tr,99.9,0.0,899,3696,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.00,47.80,10.60,10.10,0.31,0.30,38.80,37.10,38.80,37.10,10.90,10.40,10.90,10.40,50.00,47.80,0.00,0.00,Tr,Tr,0.0,Unknown,Unknown
17-040,"Oil, peanut (groundnut)",Mean of 71 samples,OC,50-326  ,"Reviewed 2013. Miscellaneous Foods Supplement, 1994; and Fatty Acids Supplement, 1998",,Tr,Tr,Tr,99.9,0.0,899,3696,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.90,20.00,32.50,31.00,0.00,0.00,46.50,44.40,46.50,44.40,32.50,31.00,32.50,31.00,20.90,20.00,0.00,0.00,Tr,Tr,0.0,Unknown,Unknown
17-041,"Oil, rapeseed",Mean of 100 samples,OC,50-327  ,"Reviewed 2013. Miscellaneous Foods Supplement, 1994; and Fatty Acids Supplement, 1998. Vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000",,Tr,Tr,Tr,99.9,0.0,899,3696,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.90,6.60,20.60,19.70,10.10,9.60,62.00,59.20,62.10,59.30,30.70,29.30,30.70,29.30,6.90,6.60,0.00,0.00,Tr,Tr,0.0,Unknown,Unknown
17-042,"Oil, safflower",Mean of 28 samples,OC,50-329 17-438 ,"Miscellaneous Foods Supplement, 1994; and Fatty Acids Supplement, 1998. Vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000",,Tr,Tr,Tr,99.9,0.0,899,3696,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,10.10,9.70,77.40,73.90,0.10,0.10,12.50,11.90,12.50,12.00,77.50,74.00,77.50,74.00,10.20,9.70,0.00,0.00,Tr,Tr,0.0,Unknown,Unknown
17-043,"Oil, sesame",Mean of 22 samples and literature sources,OC,50-330  ,"Reviewed 2013. Miscellaneous Foods Supplement, 1994; and Fatty Acid Supplement, 1998",,0.1,0.03,0.2,99.7,0.0,898,3692,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.30,14.60,45.20,43.10,0.31,0.30,39.30,37.50,39.30,37.50,45.30,43.40,45.30,43.40,15.30,14.60,0.00,0.00,Tr,Tr,0.0,Unknown,Unknown
17-044,"Oil, soya",Mean of 39 samples,OC,50-331  ,"Reviewed 2013. Miscellaneous Foods Supplement, 1994; and Fatty Acids Supplement, 1998. Vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000",,Tr,Tr,Tr,99.9,0.0,899,3696,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.30,15.60,53.90,51.50,7.60,7.30,22.20,21.20,22.30,21.30,61.50,58.80,61.50,58.80,16.30,15.60,0.00,0.00,Tr,Tr,0.0,Unknown,Unknown
17-045,"Oil, sunflower",Mean of 46 samples,OC,50-332  ,"Reviewed 2013. Miscellaneous Foods Supplement, 1994; and Fatty Acids Supplement, 1998. Vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000",,Tr,Tr,Tr,99.9,0.0,899,3696,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.50,12.00,,63.20,,0.10,,20.50,22.20,20.50,13.10,63.30,66.30,63.30,12.60,12.00,0.00,0.00,Tr,Tr,0.0,Unknown,Unknown
17-686,"Oil, vegetable, average",Based on rapeseed oil - most vegetable oils are made from rapeseed oil,OC,17-489 ,"Miscellaneous Foods Supplement, 1994; and FA Supplement, 1998. Vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000",,Tr,Tr,Tr,99.9,0.0,899,3696,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.90,6.60,20.60,19.70,10.10,9.60,62.00,59.20,62.10,59.30,30.70,29.30,30.70,29.30,6.90,6.60,0.00,0.00,Tr,Tr,0.0,Unknown,Unknown
17-047,"Oil, walnut",Mean of 13 samples,OC,17-437 ,"Reviewed 2013. Miscellaneous Foods Supplement, 1994; and Fatty Acids Supplement, 1998",,Tr,Tr,Tr,99.9,0.0,899,3696,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.50,9.10,61.20,58.40,12.00,11.50,17.20,16.40,17.30,16.50,73.20,69.90,73.00,69.90,9.50,9.10,0.00,0.00,Tr,Tr,0.0,Unknown,Unknown
17-048,"Oil, wheatgerm",Mean of 35 samples,OC,50-334 17-440 ,"Miscellaneous Foods Supplement, 1994; and Fatty Acids Supplement, 1998",,Tr,Tr,Tr,99.9,0.0,899,3696,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,18.60,,55.10,,5.30,,16.70,,16.60,,60.40,,60.40,,18.50,,0.00,,Tr,0.0,Unknown,Unknown
