Food_Code,Food_Name,Description,Food_Group,Previous,Main data references,Footnote,Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Energy (kJ) (kJ),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g FA (g),Satd FA /100g fd (g),n-6 poly /100g FA (g),n-6 poly /100g food (g),n-3 poly /100g FA (g),n-3 poly /100g food (g),cis-Mono FA /100g FA (g),cis-Mono FA /100g Food (g),Mono FA/ 100g FA (g),Mono FA /100g food (g),cis-Polyu FA /100g FA (g),cis-Poly FA /100g Food (g),Poly FA /100g FA (g),Poly FA /100g food (g),Sat FA excl Br /100g FA (g),Sat FA excl Br /100g food (g),Branched chain FA /100g FA (g),Branched chain FA /100g food (g),Trans FAs /100g FA (g),Trans FAs /100g food (g),Cholesterol (mg),Food_Category,Super_Category
17-823,"Build up, powder, shake, assorted flavours","Manufacturer's data (Nestlé). Average of chocolate, strawberry, banana and vanilla flavours",PAA,17-534 ,Industry data 2013; some minerals estimated from MW5,,4.2,3.28,20.5,0.7,63.0,325,1383,Tr,1.1,62.0,N,,N,N,N,N,0.0,N,8.2,,0.40,,,,,,,,N,,,,N,,,,,,Tr,12.0,Unknown,Unknown
17-728,"Build-up powder, soup, assorted flavours","Manufacturer's data (Nestlé). Average of chicken, vegetable, tomato and potato & leek flavours",PAA,17-535 ,"Industry data, 2013",,3.0,2.30,14.4,14.9,57.3,407,1713,26.4,16.6,14.3,N,,N,N,N,N,0.0,N,6.5,,4.60,,,,,,,,N,,,,N,,,,,,Tr,N,Unknown,Unknown
17-158,"Coffee, powder, instant","10 jars, 2 brands",PAA,50-1054 ,"Reviewed 2013. LGC, Alcoholic beverages, soft drinks and tea and coffee survey, 1983-1984; Vitamin K1 from Bolton-Smith et al Br.J. Nutr. 83, 2000",,3.4,3.26,14.6,Tr,4.5,75,320,4.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Tr,,,,,,,,Tr,,,,Tr,,,,,,Tr,0.0,Unknown,Unknown
17-729,"Complan powder, original and sweet","Including original, chocolate and vanilla",PAA,17-540 ,"Industry data, 2013. Fibre fractions from 12-088",,3.5,2.45,15.6,14.7,64.8,438,1846,Tr,22.0,42.8,0.4,0.0,0.0,4.9,2.6,34.9,0.0,Tr,Tr,,6.50,,,,,,,,6.30,,,,1.60,,,,,,Tr,N,Unknown,Unknown
17-730,"Complan powder, savoury","Chicken flavour, manufacturer's data",PAA,17-541 ,"Industry data, 2000 and 2013 . Fibre fractions from 12-086",,3.5,2.53,16.1,15.6,62.5,439,1852,6.8,49.5,6.2,1.6,0.0,0.1,0.2,3.3,1.1,0.0,0.3,0.2,,6.62,,,,,,,,6.30,,,,1.71,,,,,,Tr,N,Unknown,Unknown
17-790,"Drinking chocolate powder, made up with semi-skimmed milk",Calculated from 18g powder to 200ml milk,PAA,17-532 ,Updated 2014,,82.2,0.58,3.7,2.0,10.9,74,311,Tr,,10.7,0.0,,0.0,6.4,0.0,4.3,0.0,N,N,,1.26,,,,,,,,0.52,,,,0.02,,,,,,0.06,5.4,Unknown,Unknown
17-791,"Drinking chocolate powder, made up with skimmed milk",Recipe. Made up according to packet directions.Calculated from 18g powder to 200ml milk,PAA,17-559 ,Updated 2014,,83.4,0.59,3.7,0.7,10.9,62,264,Tr,,10.8,0.0,,0.0,6.4,0.0,4.4,0.0,N,N,,0.40,,,,,,,,0.20,,,,0.02,,,,,,Tr,3.4,Unknown,Unknown
17-792,"Drinking chocolate powder, made up with whole milk",Calculated from 18g powder to 200ml milk,PAA,17-533 ,Updated 2014,,80.5,0.57,3.6,3.8,10.8,89,375,Tr,,10.6,0.0,,0.0,6.4,0.0,4.2,,N,N,,2.38,,,,,,,,1.03,,,,0.11,,,,,,0.12,11.0,Unknown,Unknown
17-498,"Drinking chocolate, powder","10 tins, 3 brands",PAA,12-093 12-883 50-1064  ,"Reviewed 2013. RHM, Nutrient content of selected foods, 1995, Food Surveillance Information Sheet No. 70, fats from Fatty Acids Supplement, 1998 (12-883). Fibre fractions from 12-093",,2.1,1.02,6.4,5.8,79.7,377,1598,Tr,2.0,77.7,0.0,0.0,0.0,77.7,0.0,0.0,0.0,N,N,61.57,3.41,4.98,0.28,0.39,0.02,33.06,1.81,33.10,1.81,5.37,0.29,5.40,0.29,61.57,3.41,0.00,0.00,0.00,0.00,0.0,Unknown,Unknown
17-499,"Drinking chocolate, powder, reduced fat","10 samples, 4 brands",PAA,,"Reviewed 2013. RHM, Nutrient content of selected foods, 1995, Food Surveillance Information Sheet No. 70 . Fats, inorganics and water soluble vitamins estimated from drinking chocolate powder",,2.0,1.02,6.4,2.3,82.1,354,1507,Tr,Tr,82.1,Tr,,0.9,81.2,Tr,Tr,0.0,N,N,,1.35,,,,,,,,0.73,,,,0.12,,,,,,0.00,Tr,Unknown,Unknown
