Food_Code,Food_Name,Description,Food_Group,Previous,Main data references,Footnote,Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Energy (kJ) (kJ),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g FA (g),Satd FA /100g fd (g),n-6 poly /100g FA (g),n-6 poly /100g food (g),n-3 poly /100g FA (g),n-3 poly /100g food (g),cis-Mono FA /100g FA (g),cis-Mono FA /100g Food (g),Mono FA/ 100g FA (g),Mono FA /100g food (g),cis-Polyu FA /100g FA (g),cis-Poly FA /100g Food (g),Poly FA /100g FA (g),Poly FA /100g food (g),Sat FA excl Br /100g FA (g),Sat FA excl Br /100g food (g),Branched chain FA /100g FA (g),Branched chain FA /100g food (g),Trans FAs /100g FA (g),Trans FAs /100g food (g),Cholesterol (mg),Food_Category,Super_Category
17-833,"Coffee, infusion, average","As consumed, average of strong and weak infusions",PAC,17-152 ,"LGC, Alcoholic beverages, soft drinks and tea and coffee survey, 1983-1984; Vitamin K1 from Bolton-Smith et al Br.J. Nutr. 83, 2000; sugars updated 2014",,98.3,0.03,0.2,Tr,0.3,2,8,0.0,,0.3,N,0.0,N,N,0.0,0.0,0.0,0.0,0.0,,Tr,,,,,,,,Tr,,,,Tr,,,,,,Tr,0.0,Unknown,Unknown
17-157,"Coffee, infusion, average, with semi-skimmed milk",225ml coffee infusion with 35g semi-skimmed milk,PAC,,"Miscellaneous Foods Supplement, 1994",,97.2,0.10,0.6,0.2,0.7,7,29,0.0,,0.7,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,,,0.10,,,,,,,,0.10,,,,Tr,,,,,,,1.0,Unknown,Unknown
17-155,"Coffee, infusion, average, with single cream",225ml coffee infusion with 15g single cream,PAC,,"Miscellaneous Foods Supplement, 1994",,96.8,0.05,0.4,1.2,0.3,14,56,0.0,,0.3,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,,,0.70,,,,,,,,0.30,,,,Tr,,,,,,,3.0,Unknown,Unknown
17-156,"Coffee, infusion, average, with whole milk",225ml coffee infusion with 28g whole milk,PAC,,"Miscellaneous Foods Supplement, 1994",,97.1,0.08,0.5,0.4,0.5,7,31,0.0,,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,,,0.30,,,,,,,,0.10,,,,Tr,,,,,,,2.0,Unknown,Unknown
17-153,"Coffee, infusion, strong",Ground and filter coffee; 69g per litre water boiled in percolator and strained,PAC,,"LGC, Alcoholic beverages, soft drinks and tea and coffee survey, 1983-1984",,97.8,0.03,0.2,Tr,0.3,2,8,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Tr,,,,,,,,Tr,,,,Tr,,,,,,,0.0,Unknown,Unknown
17-154,"Coffee, infusion, weak",Ground and filter coffee; 34g per litre water boiled in percolator and strained,PAC,,"LGC, Alcoholic beverages, soft drinks and tea and coffee survey, 1983-1984",,98.8,0.03,0.2,Tr,0.3,2,8,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Tr,,,,,,,,Tr,,,,Tr,,,,,,,0.0,Unknown,Unknown
17-159,"Coffee, instant, made up with water",Calculated from 2g instant coffee to 225ml water,PAC,,"LGC, Alcoholic beverages, soft drinks and tea and coffee survey, 1983-1984",,99.2,0.02,0.0,Tr,Tr,Tr,2,Tr,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.00,,,,,,,,0.00,,,,0.00,,,,,,,0.0,Unknown,Unknown
17-161,"Coffee, instant, made up with water and semi-skimmed milk",Calculated from 2g instant coffee to 225ml water with 35g semi-skimmed milk,PAC,,"Miscellaneous Foods Supplement, 1994",,97.9,0.09,0.6,0.2,0.7,7,29,Tr,,0.7,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,,,0.10,,,,,,,,0.10,,,,Tr,,,,,,,1.0,Unknown,Unknown
17-160,"Coffee, instant, made up with water and whole milk",Calculated from 2g instant coffee to 225ml water with 28g whole milk,PAC,,"Miscellaneous Foods Supplement, 1994",,97.9,0.08,0.5,0.4,0.6,8,34,Tr,,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,,,0.30,,,,,,,,0.10,,,,Tr,,,,,,,2.0,Unknown,Unknown
17-594,"Coffee, Irish",Recipe,PAC,17-164 ,"Recipe as Miscellaneous Foods Supplement (1994), 17-164",,83.1,0.06,0.4,8.8,2.7,125,516,0.0,,2.5,0.0,0.0,0.0,2.2,0.0,0.3,5.0,0.0,,,5.44,,,,,,,,2.25,,,,0.30,,,,,,0.30,22.3,Unknown,Unknown
17-167,"Tea, black, infusion, strong","10g leaves per 500ml water, strained after 5 minutes; 10 samples",PAC,,"LGC, Alcoholic beverages, soft drinks and tea and coffee survey, 1983-1984",,99.3,Tr,0.1,Tr,Tr,Tr,2,0.0,,Tr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Tr,,,,,,,,Tr,,,,Tr,,,,,,,0.0,Unknown,Unknown
17-166,"Tea, black, infusion, weak","10g leaves per litre water, strained after 5 minutes; 10 samples",PAC,,"LGC, Alcoholic beverages, soft drinks and tea and coffee survey, 1983-1984",,99.7,Tr,0.1,Tr,Tr,Tr,2,0.0,,Tr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Tr,,,,,,,,Tr,,,,Tr,,,,,,,0.0,Unknown,Unknown
17-170,"Tea, Chinese, leaves, infusion",Analysis and literature sources,PAC,,"Miscelleanous Foods Supplement, 1994",,99.6,0.02,0.1,0.0,0.2,1,5,0.0,,Tr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.00,,,,,,,,0.00,,,,0.00,,,,,,,0.0,Unknown,Unknown
17-171,"Tea, green, infusion",Literature sources; Sencha Fukujyu and Banch type,PAC,,"Reviewed 2013. Miscelleanous Foods Supplement, 1994",,99.7,0.02,0.1,0.0,Tr,Tr,Tr,0.0,,Tr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.00,,,,,,,,0.00,,,,0.00,,,,,,0.00,0.0,Unknown,Unknown
17-172,"Tea, herbal, infusion",Literature sources,PAC,,"Reviewed 2013. Cutrufelli and Matthews (1986) Composition of foods: beverages, raw, processed and prepared. Agriculture Handbook No. 8-14, UK Department of Agriculture, Washington DC",,99.7,0.00,0.0,Tr,0.2,1,3,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Tr,,,,,,,,Tr,,,,Tr,,,,,,0.00,0.0,Unknown,Unknown
17-169,"Tea, infusion, average, with semi-skimmed milk",225ml infusion with 35g semi-skimmed milk,PAC,,"Miscelleanous Foods Supplement, 1994",,98.2,0.08,0.5,0.2,0.7,7,28,0.0,,0.7,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,,,0.10,,,,,,,,0.10,,,,0.00,,,,,,,1.0,Unknown,Unknown
17-168,"Tea, infusion, average, with whole milk",225ml infusion with 28g whole milk,PAC,,"Miscelleanous Foods Supplement, 1994",,98.2,0.06,0.4,0.4,0.5,8,32,0.0,,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,,,0.30,,,,,,,,0.10,,,,Tr,,,,,,,2.0,Unknown,Unknown
