Food_Code,Food_Name,Description,Food_Group,Previous,Main data references,Footnote,Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Energy (kJ) (kJ),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g FA (g),Satd FA /100g fd (g),n-6 poly /100g FA (g),n-6 poly /100g food (g),n-3 poly /100g FA (g),n-3 poly /100g food (g),cis-Mono FA /100g FA (g),cis-Mono FA /100g Food (g),Mono FA/ 100g FA (g),Mono FA /100g food (g),cis-Polyu FA /100g FA (g),cis-Poly FA /100g Food (g),Poly FA /100g FA (g),Poly FA /100g food (g),Sat FA excl Br /100g FA (g),Sat FA excl Br /100g food (g),Branched chain FA /100g FA (g),Branched chain FA /100g food (g),Trans FAs /100g FA (g),Trans FAs /100g food (g),Cholesterol (mg),Food_Category,Super_Category
17-844,"Barley water, diluted",Calculated from 50g concentrate to 200ml water,PCC,17-186 ,"Miscellaneous Foods Supplement, 1994; and industry data, 2013",,95.0,0.01,0.1,Tr,4.7,18,77,0.4,,4.3,N,0.0,N,N,N,0.0,0.0,Tr,Tr,,Tr,,,,,,,,Tr,,,,Tr,,,,,,0.00,0.0,Unknown,Unknown
17-743,"Barley water, undiluted",Orange and lemon flavours,PCC,17-185 ,"Miscellaneous Foods Supplement, 1994; and industry data, 2013",,75.2,0.05,0.3,Tr,23.7,90,384,2.2,,21.5,N,0.0,N,N,N,0.0,0.0,Tr,Tr,,Tr,,,,,,,,Tr,,,,Tr,,,,,,0.00,0.0,Unknown,Unknown
17-845,"Blackcurrant juice drink/squash, diluted",Calculated from 38g concentrate to 250ml water,PCC,17-188 ,"LFRA, Nutritional analysis of soft drinks, 1993; and industry data, 2013",,93.1,0.00,0.0,0.0,7.2,27,115,Tr,,7.2,1.2,0.0,1.0,4.8,0.2,0.0,0.0,0.0,0.0,,0.00,,,,,,,,0.00,,,,0.00,,,,,,0.00,0.0,Unknown,Unknown
17-737,"Blackcurrant juice drink/squash, undiluted",Including Ribena and own brands,PCC,17-187 ,"LFRA, Nutritional analysis of soft drinks, 1993; and industry data, 2013",,47.5,0.02,0.1,0.0,54.2,204,869,Tr,,54.2,8.8,0.0,7.8,36.3,1.3,0.0,0.0,0.0,0.0,,0.00,,,,,,,,0.00,,,,0.00,,,,,,0.00,0.0,Unknown,Unknown
17-742,"Fruit juice drink, no added sugar, ready to drink","Typically less than 3% sugar, as purchased. 10 samples, 2 brands",PCC,17-196 ,"LFRA, Nutritional analysis of soft drinks, 1993; and industry data, 2013",,96.6,0.03,0.2,Tr,0.9,4,18,0.0,,0.9,0.3,0.0,0.3,0.3,Tr,0.0,0.0,Tr,Tr,,Tr,,,,,,,,Tr,,,,Tr,,,,,,Tr,0.0,Unknown,Unknown
17-847,"Fruit juice drink/squash, diluted",Calculated from 50g concentrate to 200ml water,PCC,17-190 ,"LFRA, Nutritional analysis of soft drinks, 1993; and industry data, 2013",,98.2,0.00,0.0,Tr,1.8,7,29,0.0,Tr,1.8,0.7,0.0,0.7,0.2,0.1,0.0,0.0,Tr,Tr,,Tr,,,,,,,,Tr,,,,Tr,,,,,,Tr,0.0,Unknown,Unknown
17-846,"Fruit juice drink/squash, no sugar added, diluted",Calculated from 50g concentrate to 200ml water,PCC,17-192 ,"LFRA, Nutritional analysis of soft drinks, 1993; and industry data, 2013",,99.5,0.00,0.0,Tr,0.3,1,5,0.0,,0.3,0.1,0.0,0.1,0.0,Tr,0.0,0.0,Tr,Tr,,Tr,,,,,,,,Tr,,,,Tr,,,,,,Tr,0.0,Unknown,Unknown
17-739,"Fruit juice drink/squash, no sugar added, undiluted","10 samples, 2 brands; lemon, orange and mixed fruit flavours, typicall less than 3% sugar",PCC,17-191 ,"LFRA, Nutritional analysis of soft drinks, 1993; and industry data, 2013",,97.3,0.02,0.1,Tr,1.4,6,25,0.0,,1.4,0.5,0.0,0.7,0.2,Tr,0.0,0.0,Tr,Tr,,Tr,,,,,,,,Tr,,,,Tr,,,,,,Tr,0.0,Unknown,Unknown
17-741,"Fruit juice drink/squash, ready to drink","Lemon, orange, apple and mixed fruit flavours, as purchased",PCC,17-195 ,"LFRA, Nutritional analysis of soft drinks, 1993",,89.5,0.02,0.1,Tr,9.8,37,159,0.0,,9.8,2.7,0.0,3.7,3.4,Tr,0.0,0.0,Tr,Tr,,Tr,,,,,,,,Tr,,,,Tr,,,,,,Tr,0.0,Unknown,Unknown
17-738,"Fruit juice drink/squash, undiluted","Lemon, orange, apple and mixed fruit flavours",PCC,17-189 ,"LFRA, Nutritional analysis of soft drinks, 1993; and industry data, 2013",,91.0,0.02,0.1,Tr,8.9,34,144,0.0,Tr,8.9,3.7,0.0,3.7,1.2,0.3,0.0,0.0,Tr,Tr,,Tr,,,,,,,,Tr,,,,Tr,,,,,,Tr,0.0,Unknown,Unknown
