Food_Code,Food_Name,Description,Food_Group,Previous,Main data references,Footnote,Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Energy (kJ) (kJ),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g FA (g),Satd FA /100g fd (g),n-6 poly /100g FA (g),n-6 poly /100g food (g),n-3 poly /100g FA (g),n-3 poly /100g food (g),cis-Mono FA /100g FA (g),cis-Mono FA /100g Food (g),Mono FA/ 100g FA (g),Mono FA /100g food (g),cis-Polyu FA /100g FA (g),cis-Poly FA /100g Food (g),Poly FA /100g FA (g),Poly FA /100g food (g),Sat FA excl Br /100g FA (g),Sat FA excl Br /100g food (g),Branched chain FA /100g FA (g),Branched chain FA /100g food (g),Trans FAs /100g FA (g),Trans FAs /100g food (g),Cholesterol (mg),Food_Category,Super_Category
17-506,"Beer, bitter, average (<4% ABV)","<4% ABV. 5 samples from different brewers; canned, draught and bottled, including Boddingtons, John Smith, Greene King IPA, Tetley's and Caffrey's",QA,17-207 ,"Reviewed 2013. LGC, Alcoholic beverages, soft drinks and tea and coffee survey, 1983-1984; folate data from LGC, Individual folates in foodstuffs, 1996. Vitamin K1 Bolton-Smith et al Br.J. Nutr. 83, 2000.",,93.9,0.05,0.3,Tr,2.2,30,124,0.0,,2.2,0.0,0.0,0.0,0.0,2.2,0.0,2.9,Tr,Tr,,Tr,,,,,,,,Tr,,,,Tr,,,,,,0.00,0.0,Unknown,Unknown
17-208,"Beer, bitter, best, premium","Mixed sample from different brewers, ABV 4-5%, including Fullers London Pride, Spitfire, Green King Abbot",QA,,"Reviewed 2013. LGC, Alcoholic beverages, soft drinks and tea and coffee survey, 1983-1984",,93.0,0.05,0.3,Tr,2.2,33,139,0.0,,2.2,0.3,0.0,0.0,0.0,1.9,0.0,3.4,Tr,Tr,,Tr,,,,,,,,Tr,,,,Tr,,,,,,0.00,0.0,Unknown,Unknown
17-748,"Beer, bitter, strong (>5% ABV)",">5% ABV, including Old Speckled Hen, Hobgoblin, Old Peculier, Leffe and Marston's Old Empire",QA,,"Estimated from beer, bitter, best, premium, 2013",,93.0,0.05,0.3,Tr,2.2,42,175,0.0,,2.2,0.3,0.0,0.0,0.0,1.9,0.0,4.7,Tr,Tr,,Tr,,,,,,,,Tr,,,,Tr,,,,,,0.00,0.0,Unknown,Unknown
17-212,"Lager, alcohol-free","10 samples, including Kaliber, Beck's Blue, Equator, Bitburger Drive, Cobra Zero and Holsten Pils Alcohol Free",QA,,"Reviewed 2013. LFRA, Nutritional analysis of soft drinks, 1993",,96.3,0.06,0.4,Tr,1.5,7,31,0.0,,1.2,0.6,0.0,0.4,Tr,0.2,0.0,Tr,Tr,Tr,,Tr,,,,,,,,Tr,,,,Tr,,,,,,0.00,0.0,Unknown,Unknown
17-676,"Lager, extra strong","Approx. 9% ABV, including Carlsberg Special Brew, Skol Super, Tennent's Super and Kestrel Super",QA,17-214 ,"Estimated from premium lager (analytical data 1994) and industry data, 2013",,88.7,0.05,0.3,Tr,2.4,60,249,0.0,,2.4,1.0,0.0,0.0,0.0,1.4,0.0,7.1,Tr,Tr,,Tr,,,,,,,,Tr,,,,Tr,,,,,,0.00,0.0,Unknown,Unknown
17-750,"Lager, low alcohol","2-3% ABV. 10 samples, including  Bavaria Permium, Carling Zest, Carling C2, Beck's Premier Light and own brand",QA,17-213 ,"Estimated from standard lager and industry data, 2013",,97.0,0.05,0.3,Tr,0.5,16,67,0.0,,0.5,0.3,0.0,0.1,0.0,0.1,0.0,1.9,Tr,Tr,,Tr,,,,,,,,Tr,,,,Tr,,,,,,0.00,0.0,Unknown,Unknown
17-751,"Lager, premium","Approx. 5% ABV, 10 samples including Bitburger Pils, San Miguel, Stella Artois, Bud, Kronenbourg, Grolsch, Beck's and Carlsberg Export",QA,17-211 ,"Estimated from standard lager and industry data, 2013",,93.0,0.05,0.3,Tr,Tr,29,118,0.0,,Tr,Tr,0.0,0.0,0.0,0.0,0.0,3.9,Tr,Tr,,Tr,,,,,,,,Tr,,,,Tr,,,,,,0.00,0.0,Unknown,Unknown
17-749,"Lager, standard","<4.5% ABV, canned and draught, including Skol, Hofmeister, Tennents, Carling Black Label, Stella Artois and Foster's",QA, ,"Miscellaneous Foods Supplement, 1994; and industry data, 2013. Vitamin K1 from Bolton-Smith et al Br.J. Nutr. 83, 2000",,93.0,0.05,0.3,Tr,Tr,24,98,0.0,,Tr,Tr,0.0,0.0,0.0,0.0,0.0,3.2,Tr,Tr,,Tr,,,,,,,,Tr,,,,Tr,,,,,,0.00,0.0,Unknown,Unknown
17-760,"Shandy, 50% lager, homemade",Calculated from standard lager and standard lemonade,QA,17-218 ,Updated 2014,,93.4,0.03,0.2,Tr,2.9,23,96,0.0,,2.9,0.8,0.0,0.7,1.4,0.1,0.0,1.6,Tr,Tr,,Tr,,,,,,,,Tr,,,,Tr,,,,,,0.00,0.0,Unknown,Unknown
17-821,"Shandy, bottled or canned","<1% ABV, typically 10-12% beer or lager. 10 cans, 4 brands",QA,17-217 ,"Reviewed 2013. LGC, Alcoholic beverages, soft drinks and tea and coffee, 1983-1984",,94.0,Tr,Tr,Tr,5.0,24,100,0.0,,5.0,1.6,0.0,1.7,1.7,0.0,0.0,0.7,Tr,Tr,,Tr,,,,,,,,Tr,,,,Tr,,,,,,0.00,0.0,Unknown,Unknown
