Food_Code,Food_Name,Description,Food_Group,Previous,Main data references,Footnote,Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Energy (kJ) (kJ),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g FA (g),Satd FA /100g fd (g),n-6 poly /100g FA (g),n-6 poly /100g food (g),n-3 poly /100g FA (g),n-3 poly /100g food (g),cis-Mono FA /100g FA (g),cis-Mono FA /100g Food (g),Mono FA/ 100g FA (g),Mono FA /100g food (g),cis-Polyu FA /100g FA (g),cis-Poly FA /100g Food (g),Poly FA /100g FA (g),Poly FA /100g food (g),Sat FA excl Br /100g FA (g),Sat FA excl Br /100g food (g),Branched chain FA /100g FA (g),Branched chain FA /100g food (g),Trans FAs /100g FA (g),Trans FAs /100g food (g),Cholesterol (mg),Food_Category,Super_Category
17-687,Chocolate nut spread,"8 samples, 5 brands",SC,17-070 ,"LFRA, Nutrient analysis of miscellaneous foods, 1992; and industry data, 2013. Fatty acids from Fatty Acid Supplement, 1998",,Tr,0.99,6.2,33.0,60.5,549,2294,0.8,,59.7,Tr,0.0,Tr,56.7,0.0,3.0,0.0,0.8,3.0,29.61,9.34,16.70,5.27,0.40,0.13,53.30,16.82,53.30,16.82,17.10,5.40,17.10,5.40,29.60,9.34,0.00,0.00,Tr,Tr,2.0,Unknown,Unknown
17-659,Chocolate spread,"7 samples, 5 brands",SC,17-069 ,"DH, Nutrient analysis of a range of processed foods with particular reference to trans fatty acids, 2011",,1.0,0.52,3.3,37.7,59.4,575,2402,Tr,,59.4,Tr,Tr,Tr,49.5,Tr,10.0,0.0,1.0,2.0,22.57,8.13,15.85,5.71,5.32,1.92,55.21,19.90,55.30,19.93,21.16,7.63,21.16,7.63,22.51,8.11,0.06,0.02,0.09,0.03,8.9,Unknown,Unknown
17-049,"Glucose liquid, BP",1 sample,SC,50-1000 ,"MW4, 1978. Values reviewed for Miscellaneous Foods Supplement, 1994",,20.4,Tr,Tr,0.0,84.7,318,1355,N,,40.2,N,0.0,0.0,0.0,N,0.0,0.0,0.0,,,0.00,,,,,,,,0.00,,,,0.00,,,,,,0.00,0.0,Unknown,Unknown
17-050,Honey,8 samples; assorted types,SC,50-1001 ,"Reviewed 2013. LFRA, Nutrient analysis of miscellaneous foods, 1992",,17.5,0.06,0.4,0.0,76.4,288,1229,0.0,,76.4,34.6,0.0,41.8,Tr,Tr,0.0,0.0,0.0,0.0,,0.00,,,,,,,,0.00,,,,0.00,,,,,,0.00,0.0,Unknown,Unknown
17-051,Honey and comb,"2 samples, honey and comb together",SC,50-1002 ,"MW4, 1978. Values reviewed for Miscellaneous Foods Supplement, 1994",,20.2,0.09,0.6,4.6,74.4,281,1201,0.0,,74.4,34.2,0.0,40.2,0.0,0.0,0.0,0.0,0.0,,,0.00,,,,,,,,0.00,,,,0.00,,,,,,0.00,0.0,Unknown,Unknown
17-689,"Ice cream sauce, topping, strawberry and chocolate flavours","8 samples, 3 brands; strawberry and chocolate flavours",SC,17-053 ,Proximates and Na from label data. Inorganics and vitamins from 17-053,,26.7,0.06,0.4,0.2,72.7,276,1177,N,N,62.3,28.0,0.0,28.0,6.2,0.0,0.0,0.0,N,N,,Tr,,,,,,,,Tr,,,,Tr,,,,,,Tr,0.0,Unknown,Unknown
17-583,"Icing, glace, homemade",Recipe,SC,17-056 ,Updated 2014,,15.3,Tr,Tr,0.0,88.9,333,1422,0.9,,88.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0,,,0.00,,,,,,,,0.00,,,,0.00,,,,,,0.00,0.0,Unknown,Unknown
17-805,"Icing, Royal, homemade",Recipe,SC,17-584 ,Updated 2014,,9.6,0.18,1.1,Tr,93.4,354,1513,1.0,,92.4,Tr,,Tr,92.4,0.0,0.0,,Tr,Tr,,Tr,,,,,,,,Tr,,,,Tr,,,,,,Tr,0.0,Unknown,Unknown
17-073,"Jam, fruit with edible seeds","10 samples, 5 flavours",SC,50-1004 ,"Reviewed 2013. LGC, Analysis of assorted foods, 1994. Vitamin K1 from Bolton-Smith et al, Br.J. Nutr 83, 2000",,29.8,0.10,0.6,0.0,69.0,261,1114,0.0,,69.0,27.4,0.0,14.9,18.7,8.0,0.0,0.0,N,N,,0.00,,,,,,,,0.00,,,,0.00,,,,,,0.00,0.0,Unknown,Unknown
17-075,"Jam, reduced sugar","9 samples, 5 brands; assorted flavours",SC,50-1006 ,"LFRA, Nutrient analysis of miscellaneous foods, 1992",,65.3,0.08,0.5,0.1,31.9,123,523,0.0,,31.9,10.4,0.0,15.0,6.5,0.0,0.0,0.0,0.8,1.7,,Tr,,,,,,,,Tr,,,,Tr,,,,,,Tr,0.0,Unknown,Unknown
17-688,"Jam, stone fruit","8 samples, 4 flavours",SC,17-074 ,"LGC, Analysis of assorted foods, 1994; and industry data, 2013",,29.6,0.06,0.4,0.0,69.3,261,1116,0.0,,69.3,27.5,0.0,14.9,18.8,8.0,0.0,0.0,N,1.0,,0.00,,,,,,,,0.00,,,,0.00,,,,,,0.00,0.0,Unknown,Unknown
17-762,Lemon curd,"10 jars, 4 brands",SC,17-490 ,"MW4, 1978; and industry data, 2013. Fatty acids from Fatty Acid Supplement, 1998",,35.9,0.09,0.6,4.9,58.4,266,1126,5.9,,52.5,21.4,,9.9,15.6,5.6,0.0,0.0,0.2,N,,1.52,20.00,0.94,3.30,0.15,43.12,2.02,43.12,2.02,24.55,1.15,24.55,1.15,32.50,1.52,0.00,0.00,Tr,Tr,21.0,Unknown,Unknown
17-078,Marmalade,4 brands,SC,50-1008 ,"Reviewed 2013. LGC, Analysis of assorted foods, 1994",,28.0,0.01,0.1,0.0,69.5,261,1114,0.0,,69.5,27.6,0.0,15.0,18.8,8.0,0.0,0.0,0.3,0.5,,0.00,,,,,,,,0.00,,,,0.00,,,,,,0.00,0.0,Unknown,Unknown
