Food_Code,Food_Name,Description,Food_Group,Previous,Main data references,Footnote,Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Energy (kJ) (kJ),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g FA (g),Satd FA /100g fd (g),n-6 poly /100g FA (g),n-6 poly /100g food (g),n-3 poly /100g FA (g),n-3 poly /100g food (g),cis-Mono FA /100g FA (g),cis-Mono FA /100g Food (g),Mono FA/ 100g FA (g),Mono FA /100g food (g),cis-Polyu FA /100g FA (g),cis-Poly FA /100g Food (g),Poly FA /100g FA (g),Poly FA /100g food (g),Sat FA excl Br /100g FA (g),Sat FA excl Br /100g food (g),Branched chain FA /100g FA (g),Branched chain FA /100g food (g),Trans FAs /100g FA (g),Trans FAs /100g food (g),Cholesterol (mg),Food_Category,Super_Category
17-766,Bounty bar and own brand equivalents,Manufacturer's data (Mars). milk chocolate,SEA,17-546 ,"Data from manufacturer (Mars). Total carbohydrate and its components, starch and sugars, are expressed as their monosaccharide equivalents. Fatty acid data is available in obsoleted  17-082  but from a sample with slightly different fatty acid proportions",,8.6,0.59,3.7,26.3,61.0,480,2012,10.6,,50.4,3.2,0.0,0.1,41.7,3.0,2.4,0.0,3.2,3.2,,20.50,,,,,,,,4.80,,,,0.80,,,,,,0.10,4.0,Unknown,Unknown
17-649,"Caramel bars and sweets, chocolate covered","10 samples, 6 brands, including Cadbury's Caramel, Curly Wurly, Rolo, Galaxy Caramel, Toffee Poppets and own brands",SEA,,"DH, Nutrient analysis of a range of processed foods with particular reference to trans fatty acids, 2013",,4.8,0.66,4.2,23.6,70.2,493,2068,Tr,14.3,56.0,4.7,Tr,Tr,39.6,4.2,7.5,0.0,0.3,0.7,61.78,13.78,4.51,1.01,0.33,0.07,33.26,7.42,33.71,7.52,4.84,1.08,4.84,1.08,61.39,13.69,0.39,0.09,0.46,0.10,12.6,Unknown,Unknown
17-658,Chocolate covered bar with caramel and cereal,"6 samples, 6 products, including Balisto, Lion Bar, Picnic and Crispy Caramel",SEA,17-550 ,"DH, Nutrient analysis of a range of processed foods with particular reference to trans fatty acids, 2013",,5.0,0.81,5.2,25.8,66.2,501,2102,11.6,8.2,46.4,2.1,Tr,Tr,32.9,2.0,9.4,,0.8,1.9,65.93,16.26,4.24,1.05,0.21,0.05,28.60,7.05,28.97,7.14,4.45,1.10,4.45,1.10,65.76,16.22,0.17,0.04,0.37,0.09,9.3,Unknown,Unknown
17-657,Chocolate covered caramel and biscuit fingers,"9 samples, 7 products, including Twix and equivalent (or 'similar') products",SEA,,"DH, Nutrient analysis of a range of processed foods with particular reference to trans fatty acids, 2013",,3.6,0.79,5.0,23.6,70.0,495,2079,12.2,12.4,45.4,4.5,Tr,Tr,31.6,3.5,5.8,0.0,1.5,2.5,60.64,13.52,5.70,1.27,0.23,0.05,33.57,7.49,33.81,7.54,5.93,1.32,5.93,1.32,60.51,13.49,0.13,0.03,0.24,0.05,9.5,Unknown,Unknown
17-650,"Chocolate, dark, with crème or mint fondant centres","10 samples, 8 products, including After Eights and equivalent (or 'similar') products",SEA,,"DH, Nutrient analysis of a range of processed foods with particular reference to trans fatty acids, 2013",,5.4,0.58,3.7,16.3,71.9,431,1816,Tr,9.0,62.9,4.0,Tr,2.4,56.5,Tr,Tr,0.0,1.9,4.7,63.65,9.80,3.26,0.50,0.23,0.04,33.12,5.10,33.21,5.12,3.48,0.54,3.48,0.54,63.65,9.80,Tr,Tr,0.10,0.01,3.3,Unknown,Unknown
17-690,"Chocolate, fancy and filled",10 samples of different brands,SEA,17-088 ,"Reviewed 2013. LGC, Nutritional analysis of foods for pre-school children, 1992; and Fatty Acids Supplement, 1998 (17-088)",,6.1,0.78,4.9,21.3,62.9,447,1878,0.2,,60.0,5.4,0.0,3.1,45.7,2.2,3.6,0.0,1.3,N,55.50,11.30,4.70,0.95,0.20,0.04,38.80,7.90,,8.00,4.91,1.00,4.91,1.00,55.50,11.24,0.20,0.04,0.49,0.10,11.0,Unknown,Unknown
17-648,"Chocolate, milk","11 samples, 11 products",SEA,,"DH, Nutrient analysis of a range of processed foods with particular reference to trans fatty acids, 2013",,1.6,1.15,7.3,31.1,56.0,519,2171,Tr,,56.0,Tr,Tr,Tr,46.8,Tr,9.2,0.0,1.3,2.3,63.67,18.71,3.49,1.03,0.35,0.10,32.13,9.44,32.66,9.60,3.84,1.13,3.84,1.13,63.25,18.59,0.41,0.12,0.53,0.16,22.1,Unknown,Unknown
17-491,"Chocolate, plain","6 bars, 3 brands; 36-50% cocoa solids",SEA,17-090 50-1016  ,"Reviewed 2013. LGC, Nutritional analysis of foods for pre-school children, 1992; and Fatty Acid Supplement, 1998; selenium from 'Analysis of foods for Selenium' 1994. Vitamin K1 from Bolton-Smith et al, Br.J. Nutr 83, 2000",,0.6,0.80,5.0,28.0,63.5,510,2137,0.9,,62.6,Tr,0.0,Tr,62.4,Tr,0.2,0.0,2.5,N,,16.80,3.60,0.96,0.30,0.08,33.30,8.91,,9.00,3.90,1.04,,1.00,62.60,16.76,0.00,0.00,0.20,0.05,6.0,Unknown,Unknown
17-091,"Chocolate, white","14 samples, 5 brands; buttons and bars",SEA,50-1017 ,"Reviewed 2013. LGC, Analytical survey of confectionery items, 1992",,0.6,1.28,8.0,30.9,58.3,529,2212,Tr,,58.3,Tr,0.0,Tr,47.6,Tr,10.7,0.0,N,N,,18.40,,,,,,,,10.00,,,,1.10,,,,,,N,N,Unknown,Unknown
17-763,Creme egg,10 samples,SEA,17-544 ,"LGC, Dairy products and eggs, 1989; and industry data, 2013 (Fatty acid fractions available in obsoleted 17-092, not integrated as proportions are different to new manufacturer's data)",,6.7,0.64,4.0,15.9,71.0,425,1792,Tr,,58.0,3.6,,1.8,45.7,2.0,4.9,0.0,0.5,N,,9.70,,,,,,,,N,,,,N,,,,,,N,10.0,Unknown,Unknown
