Food_Code,Food_Name,Description,Food_Group,Previous,Main data references,Footnote,Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Energy (kJ) (kJ),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g FA (g),Satd FA /100g fd (g),n-6 poly /100g FA (g),n-6 poly /100g food (g),n-3 poly /100g FA (g),n-3 poly /100g food (g),cis-Mono FA /100g FA (g),cis-Mono FA /100g Food (g),Mono FA/ 100g FA (g),Mono FA /100g food (g),cis-Polyu FA /100g FA (g),cis-Poly FA /100g Food (g),Poly FA /100g FA (g),Poly FA /100g food (g),Sat FA excl Br /100g FA (g),Sat FA excl Br /100g food (g),Branched chain FA /100g FA (g),Branched chain FA /100g food (g),Trans FAs /100g FA (g),Trans FAs /100g food (g),Cholesterol (mg),Food_Category,Super_Category
17-786,"Coconut ice, homemade",Recipe,SEC,17-589 ,Updated 2014,,17.2,0.31,1.8,12.3,67.1,369,1559,0.0,,67.1,Tr,,0.2,66.0,0.0,0.9,0.0,2.6,N,,10.54,,,,,,,,0.76,,,,0.29,,,,,,0.01,1.2,Unknown,Unknown
17-107,Fruit gums/jellies,"11 samples, 10 brands; assorted flavours",SEC,50-1026 ,"Reviewed 2013. LGC, Nutritional analysis of foods for pre-school children, 1992",,14.0,1.04,6.5,0.0,79.5,324,1383,1.9,,58.7,6.3,0.0,Tr,46.4,6.0,Tr,0.0,N,N,,0.00,,,,,,,,0.00,,,,0.00,,,,,,0.00,0.0,Unknown,Unknown
17-824,Fruit pastilles,6 samples of different brands; assorted flavours,SEC,17-108 ,"Reviewed 2013. LGC, Nutritional analysis of foods for pre-school children, 1992",,9.1,0.45,2.8,0.0,84.2,327,1395,3.4,,59.3,6.5,0.0,2.1,45.4,5.3,Tr,0.0,N,N,,0.00,,,,,,,,0.00,,,,0.00,,,,,,0.00,0.0,Unknown,Unknown
17-683,"Fudge, homemade",Recipe,SEC,17-518 ,Updated 2013,,5.8,0.54,3.4,13.1,80.8,435,1836,0.0,,80.8,0.0,,0.0,75.7,0.0,5.0,0.0,0.0,0.0,,8.29,,,,,,,,3.42,,,,0.43,,,,,,N,37.3,Unknown,Unknown
17-798,"Halva, carrot, homemade",Recipe,SEC,17-590 ,Updated 2014,,31.9,0.76,4.8,16.6,44.0,354,1478,0.4,,43.3,2.6,,2.2,33.8,0.0,4.9,,2.9,4.7,,7.38,,,,,,,,6.34,,,,1.86,,,,,,0.08,6.2,Unknown,Unknown
17-799,"Halva, semolina, homemade",Recipe,SEC,17-591 ,Updated 2014,,33.9,0.40,2.2,16.7,49.1,342,1436,11.4,,37.6,Tr,,Tr,37.6,0.0,0.0,,0.5,N,,7.00,,,,,,,,6.74,,,,1.84,,,,,,0.01,0.0,Unknown,Unknown
17-777,Liquorice allsorts,"7 samples, 4 brands",SEC,17-112 ,"Reviewed 2013. LGC, Nutritional analysis of foods for pre-school children, 1992; fatty acids from 17-446",,8.4,0.59,3.7,5.2,76.7,349,1483,9.4,,62.4,5.9,0.0,2.5,51.1,2.9,Tr,0.0,2.0,N,,3.60,3.10,0.15,0.40,0.02,24.14,1.20,24.14,1.20,4.02,0.20,4.02,0.20,72.60,3.61,0.00,0.00,Tr,Tr,0.0,Unknown,Unknown
17-114,Marshmallows,7 samples of different brands,SEC,,"Reviewed 2013. LGC, Nutritional analysis of foods for pre-school children, 1992",,17.4,0.62,3.9,0.0,83.1,327,1396,4.5,14.1,64.5,12.1,0.0,0.7,41.5,10.2,Tr,0.0,0.0,0.0,,0.00,,,,,,,,0.00,,,,0.00,,,,,,0.00,0.0,Unknown,Unknown
17-814,"Nougat, homemade",Recipe,SEC,17-592 ,Updated 2014,,4.5,0.91,5.2,10.2,80.0,413,1747,0.4,,79.6,3.2,,3.8,72.6,Tr,0.0,,0.9,1.1,,1.61,,,,,,,,4.86,,,,3.00,,,,,,0.00,68.0,Unknown,Unknown
17-116,"Peanut brittle, homemade",Recipe,SEC,,"Miscellaneous Foods Supplement, 1994",,1.7,1.38,8.6,19.0,73.8,483,2031,2.1,,71.8,3.8,0.0,3.8,64.2,0.0,0.0,0.0,2.0,,,5.30,,,,,,,,7.90,,,,4.80,,,,,,,11.0,Unknown,Unknown
17-830,"Peppermint creams, homemade",Recipe,SEC,17-587 ,Updated 2014,,6.7,0.11,0.7,Tr,96.9,366,1562,1.0,,95.9,Tr,,Tr,95.9,0.0,0.0,,Tr,Tr,,Tr,,,,,,,,Tr,,,,Tr,,,,,,Tr,0.0,Unknown,Unknown
17-117,Peppermints,Several samples of 6 different brands,SEC,50-1029 ,"Reviewed 2013. MW3, 1960",,0.2,0.08,0.5,0.7,102.7,393,1678,0.0,,102.7,1.0,0.0,0.0,101.7,0.0,0.0,0.0,0.0,0.0,,N,,,,,,,,N,,,,N,,,,,,N,0.0,Unknown,Unknown
17-101,"Sweets, boiled",6 samples,SEC,50-1025 ,"Reviewed 2013. MW3, 1960",,16.6,Tr,Tr,Tr,87.1,327,1394,0.4,,86.7,8.5,0.0,1.4,67.5,9.3,0.0,0.0,0.0,0.0,,0.00,,,,,,,,0.00,,,,0.00,,,,,,0.00,0.0,Unknown,Unknown
