Food_Code,Food_Name,Description,Food_Group,Previous,Main data references,Footnote,Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Energy (kJ) (kJ),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g FA (g),Satd FA /100g fd (g),n-6 poly /100g FA (g),n-6 poly /100g food (g),n-3 poly /100g FA (g),n-3 poly /100g food (g),cis-Mono FA /100g FA (g),cis-Mono FA /100g Food (g),Mono FA/ 100g FA (g),Mono FA /100g food (g),cis-Polyu FA /100g FA (g),cis-Poly FA /100g Food (g),Poly FA /100g FA (g),Poly FA /100g food (g),Sat FA excl Br /100g FA (g),Sat FA excl Br /100g food (g),Branched chain FA /100g FA (g),Branched chain FA /100g food (g),Trans FAs /100g FA (g),Trans FAs /100g food (g),Cholesterol (mg),Food_Category,Super_Category
17-764,Bombay mix,"20 samples; savoury mix of gram flour, assorted peas, lentils, nuts and seeds",SN,14-807 ,"LGC, Survey on the Nutritional Composition of savoury snack and nuts, 1993; and industry data, 2013. Fatty Acid Supplement, 1998 (14-807)",,3.5,3.01,18.8,32.9,35.1,503,2099,32.8,,2.3,0.1,,0.1,2.2,0.0,0.0,0.0,6.2,8.8,12.56,3.95,30.95,9.72,4.92,1.55,51.92,16.33,51.92,16.33,35.42,11.14,35.42,11.14,12.53,3.94,0.04,0.01,Tr,Tr,0.0,Unknown,Unknown
17-645,Corn snacks,"6 samples, 4 products, including Wotsits, Monster Munch and own label",SN,17-125 ,"DH, Nutrient analysis of a range of processed foods with particular reference to trans fatty acids, 2013",,1.3,0.95,6.0,30.4,60.8,526,2199,55.3,,5.5,Tr,Tr,Tr,0.6,Tr,4.9,0.0,1.4,1.3,9.49,2.76,18.03,5.24,7.61,2.21,63.13,18.35,63.28,18.39,25.65,7.45,25.65,7.45,9.42,2.74,0.07,0.02,0.15,0.04,0.0,Unknown,Unknown
17-691,"Popcorn, candied",Estimated from 2013 label data,SN,17-130 ,"Industry data, 2013",,4.2,1.10,6.9,23.8,60.7,469,1969,45.7,,15.0,Tr,0.0,Tr,15.0,0.0,0.0,0.0,N,9.5,,N,,,,,,,,N,,,,N,,,,,,N,0.0,Unknown,Unknown
17-692,"Popcorn, salted, retail",Estimated from label data,SN,17-131 ,"Industry data, 2013",,4.3,1.44,9.0,23.5,59.3,470,1971,58.7,,0.6,Tr,0.0,Tr,0.6,0.0,0.0,0.0,N,9.3,,N,,,,,,,,N,,,,N,,,,,,N,0.0,Unknown,Unknown
17-132,Pork scratchings,"19 samples, 4 brands",SN,17-477 ,"Reviewed 2013. LGC, Survey of the nutritional composition of savoury snacks and nuts, 1993; fatty acids from Fatty Acid Supplement, 1998",,2.1,7.66,47.9,46.0,0.2,606,2520,Tr,,0.2,0.2,0.0,Tr,Tr,0.0,0.0,0.0,0.3,N,,16.58,7.30,3.21,0.6,0.26,54.00,23.75,,23.93,7.90,3.47,,3.69,37.70,16.58,0.00,0.00,0.40,0.18,129.2,Unknown,Unknown
17-849,Pot savouries,"6 samples including assorted flavours of noodles, rice and chilli",SN,17-143 ,"Miscellaneous Foods Supplement, 1994; and industry data, 2013",,8.9,1.86,11.6,10.9,58.8,365,1541,46.9,3.7,8.2,1.3,0.0,1.9,3.9,0.8,0.3,0.0,N,N,,N,,,,,,,,N,,,,N,,,,,,N,0.0,Unknown,Unknown
17-682,"Pot savouries, made up",85g product made up with 215ml water,SN,17-144 ,"Miscellaneous Foods Supplement, 1994; and industry data, 2013",,74.2,0.53,3.3,3.1,16.7,103,437,13.3,1.1,2.3,0.4,0.0,0.5,1.1,0.2,0.1,0.0,N,N,,N,,,,,,,,N,,,,N,,,,,,N,0.0,Unknown,Unknown
17-693,"Potato crisps, low fat","20 samples of different brands, plain and flavoured, not baked",SN,17-496 ,"LGC, Survey of the nutritional composition of savoury snacks and nuts, 1993; and Fatty Acids Supplement, 1998 with selenium estimated from 'potato based snacks',  'Analysis of foods for Selenium' 1994",,1.1,1.06,6.6,21.5,63.5,458,1924,62.0,,1.5,0.2,0.0,Tr,0.8,0.0,0.5,0.0,5.9,N,6.72,1.85,6.61,1.82,0.18,0.05,60.76,16.73,60.84,16.75,6.79,1.87,6.79,1.87,6.72,1.85,0.04,0.01,0.07,0.02,0.0,Unknown,Unknown
17-643,Potato rings,"10 samples, 7 products, including Hula Hoops and own brand",SN,17-142 ,"DH, Nutrient analysis of a range of processed foods with particular reference to trans fatty acids, 2013",,2.0,0.57,3.6,22.4,70.5,480,2018,70.2,,0.3,Tr,Tr,Tr,0.3,Tr,Tr,0.0,1.7,2.6,8.96,1.92,9.29,1.99,1.21,0.26,79.91,17.11,80.00,17.13,10.50,2.25,10.50,2.25,8.91,1.91,0.05,0.01,0.11,0.02,0.0,Unknown,Unknown
17-644,Tortilla chips fried in sunflower oil,"7 samples, 6 products, assorted flavours, fried in high oleic sunflower oil, including Doritos and own brands",SN,17-497 ,"DH, Nutrient analysis of a range of processed foods with particular reference to trans fatty acids, 2013",,1.3,1.16,7.2,27.4,60.8,504,2110,58.3,,2.5,0.2,Tr,0.2,1.1,Tr,1.0,0.0,5.7,5.9,11.02,2.89,11.53,3.02,0.26,0.07,76.41,20.01,76.70,20.09,11.79,3.09,11.79,3.09,10.97,2.87,0.04,0.01,0.29,0.08,0.0,Unknown,Unknown
17-694,Twiglets,"20 samples, savoury wholewheat sticks",SN,17-150 ,"LGC, Survey of the composition of savoury snacks and nuts, 1993; industry data, 2013; and Fatty Acid Supplement, 1998",,3.2,2.16,12.3,11.8,63.3,393,1659,62.7,,0.6,Tr,0.0,Tr,0.6,0.0,Tr,0.0,10.3,12.4,,1.60,,,,,,,,N,,,,N,,,,,,Tr,0.0,Unknown,Unknown
