Food_Code,Food_Name,Description,Food_Group,Previous,Main data references,Footnote,Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Energy (kJ) (kJ),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g FA (g),Satd FA /100g fd (g),n-6 poly /100g FA (g),n-6 poly /100g food (g),n-3 poly /100g FA (g),n-3 poly /100g food (g),cis-Mono FA /100g FA (g),cis-Mono FA /100g Food (g),Mono FA/ 100g FA (g),Mono FA /100g food (g),cis-Polyu FA /100g FA (g),cis-Poly FA /100g Food (g),Poly FA /100g FA (g),Poly FA /100g food (g),Sat FA excl Br /100g FA (g),Sat FA excl Br /100g food (g),Branched chain FA /100g FA (g),Branched chain FA /100g food (g),Trans FAs /100g FA (g),Trans FAs /100g food (g),Cholesterol (mg),Food_Category,Super_Category
17-770,"Bouillabaisse, homemade",Recipe,WAA,17-597 ,Updated 2014,,75.0,1.80,11.3,10.5,2.0,139,579,0.1,,1.7,0.6,,0.5,0.4,0.0,0.0,,0.4,N,,1.34,,,,,,,,6.42,,,,0.88,,,,,,0.00,N,Unknown,Unknown
17-835,"Scotch broth, homemade",Recipe,WAA,17-606 ,Updated 2014,,84.2,1.09,6.8,3.5,4.0,74,310,2.2,,1.6,0.6,,0.5,0.6,Tr,0.0,,0.9,N,,1.60,,,,,,,,1.33,,,,0.22,,,,,,0.27,20.7,Unknown,Unknown
17-776,"Soup, carrot and orange, homemade",Recipe,WAA,17-555 ,Updated 2014,,94.5,0.05,0.3,0.5,3.8,20,83,0.0,0.3,3.5,1.1,Tr,0.9,1.4,0.0,0.0,0.0,1.0,1.7,,0.22,,,,,,,,0.12,,,,0.05,,,,,,0.01,0.8,Unknown,Unknown
17-794,"Soup, French onion, homemade",Recipe,WAA,17-598 ,Updated 2014,,89.7,0.14,0.9,2.2,5.0,41,169,Tr,,3.7,1.3,,1.0,1.5,0.0,0.0,,0.9,1.3,,0.19,,,,,,,,1.22,,,,0.64,,,,,,Tr,Tr,Unknown,Unknown
17-795,"Soup, gazpacho, homemade",Recipe,WAA,17-599 ,Updated 2014,,90.4,0.13,0.8,3.6,2.9,46,192,0.1,,2.5,1.1,,1.2,0.2,0.0,0.0,,0.7,N,,0.50,,,,,,,,2.53,,,,0.31,,,,,,Tr,0.0,Unknown,Unknown
17-796,"Soup, goulash, homemade",Recipe,WAA,17-600 ,Updated 2014,,74.5,1.24,7.7,5.8,7.2,106,444,4.7,,1.9,0.8,,0.7,0.4,0.0,0.0,,0.9,1.2,,1.10,,,,,,,,3.07,,,,1.29,,,,,,0.06,18.8,Unknown,Unknown
17-808,"Soup, lentil, homemade",Recipe,WAA,17-601 ,Updated 2014,,71.8,0.95,5.9,4.8,14.6,121,510,11.5,,1.7,0.5,,0.5,0.8,0.0,0.0,,1.4,N,,2.81,,,,,,,,1.16,,,,0.29,,,,,,0.15,11.3,Unknown,Unknown
17-810,"Soup, minestrone, homemade",Recipe,WAA,17-602 ,Updated 2014,,85.3,0.35,2.1,2.3,7.6,60,250,6.0,,1.4,0.5,,0.5,0.4,0.1,0.0,,0.9,N,,0.64,,,,,,,,0.80,,,,0.35,,,,,,0.01,1.9,Unknown,Unknown
17-813,"Soup, mulligatawny, homemade",Recipe,WAA,17-603 ,Updated 2014,,80.9,0.31,1.9,6.4,8.1,90,374,4.8,,2.9,1.1,,1.1,0.6,0.0,0.1,,0.9,0.8,,3.68,,,,,,,,1.73,,,,0.34,,,,,,0.19,15.7,Unknown,Unknown
17-829,"Soup, pea and ham, homemade",Recipe,WAA,17-604 ,Updated 2014,,81.8,0.65,4.1,2.2,9.8,73,308,7.8,,1.5,0.4,,0.3,0.7,Tr,Tr,,1.4,N,,1.07,,,,,,,,0.48,,,,0.27,,,,,,0.05,5.8,Unknown,Unknown
17-831,"Soup, potato and leek, homemade",Recipe,WAA,17-605 ,Updated 2014,,88.3,0.25,1.5,2.2,6.2,56,235,4.7,,1.5,0.2,,0.2,0.2,0.0,0.8,0.0,0.8,N,,1.32,,,,,,,,0.52,,,,0.13,,,,,,0.07,5.5,Unknown,Unknown
17-684,"Soup, vegetable, homemade",Recipe,WAA,17-607 ,Updated 2013,,89.0,0.15,1.0,4.2,3.7,55,230,1.5,0.3,1.8,0.5,0.0,0.5,0.8,0.0,0.0,0.0,0.9,N,,2.41,,,,,,,,0.98,,,,0.18,,,,,,0.13,9.7,Unknown,Unknown
