Food_Code,Food_Name,Description,Food_Group,Previous,Main data references,Footnote,Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Energy (kJ) (kJ),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g FA (g),Satd FA /100g fd (g),n-6 poly /100g FA (g),n-6 poly /100g food (g),n-3 poly /100g FA (g),n-3 poly /100g food (g),cis-Mono FA /100g FA (g),cis-Mono FA /100g Food (g),Mono FA/ 100g FA (g),Mono FA /100g food (g),cis-Polyu FA /100g FA (g),cis-Poly FA /100g Food (g),Poly FA /100g FA (g),Poly FA /100g food (g),Sat FA excl Br /100g FA (g),Sat FA excl Br /100g food (g),Branched chain FA /100g FA (g),Branched chain FA /100g food (g),Trans FAs /100g FA (g),Trans FAs /100g food (g),Cholesterol (mg),Food_Category,Super_Category
17-851,"Apple sauce, homemade",Recipe,WC,17-608 ,Updated 2014,,77.5,0.04,0.3,0.2,20.2,79,336,Tr,,20.2,1.6,,4.8,13.7,0.0,0.0,0.0,1.3,1.4,,0.05,,,,,,,,0.02,,,,0.11,,,,,,Tr,0.0,Unknown,Unknown
17-769,"Barbecue sauce, homemade",Recipe,WC,17-609  ,Updated 2014,,48.3,0.43,2.7,21.0,26.1,300,1251,0.1,,21.5,1.8,,2.0,17.1,0.0,0.1,,1.1,1.7,,12.45,,,,,,,,5.91,,,,0.98,,,,,,0.68,50.7,Unknown,Unknown
17-719,Chilli sauce,"8 samples; assorted types, including garlic chilli sauce",WC,17-294 ,"LFRA, Nutrient analysis of miscellaneous foods, 1992; and industry data, 2013",,82.1,0.21,1.3,0.8,7.3,40,169,0.4,,6.9,3.1,0.0,3.8,Tr,0.0,0.0,0.0,1.1,2.2,,Tr,,,,,,,,Tr,,,,Tr,,,,,,0.00,0.0,Unknown,Unknown
17-720,Curry paste,"20 samples, 3 brands",WC,17-297 ,"LFRA, Nutrient analysis of miscellaneous foods, 1992; and industry data, 2013",,49.9,0.75,4.7,21.3,11.3,253,1049,4.3,,7.0,N,0.0,N,N,0.0,0.0,0.0,N,6.8,,N,,,,,,,,N,,,,N,,,,,,N,0.0,Unknown,Unknown
17-787,"Dressing, French, homemade",Recipe,WC,17-579 ,Updated 2014,,24.5,0.02,0.1,74.9,0.2,680,2794,0.0,,0.2,0.1,,0.1,0.0,0.0,0.0,,0.0,0.0,,10.73,,,,,,,,54.75,,,,6.15,,,,,,Tr,0.0,Unknown,Unknown
17-788,"Dressing, oil and lemon, homemade",Recipe,WC,17-611 ,Updated 2014,,22.1,0.02,0.1,72.4,3.4,652,2683,Tr,,3.4,0.1,,0.2,3.1,0.0,0.0,,0.0,0.1,,4.79,,,,,,,,42.97,,,,21.24,,,,,,Tr,0.0,Unknown,Unknown
17-789,"Dressing, yogurt, homemade",Recipe,WC,17-612 ,Updated 2014,,82.4,0.83,5.3,2.7,7.1,72,301,Tr,,7.0,Tr,,0.1,Tr,0.0,4.2,0.0,Tr,0.1,,1.73,,,,,,,,0.72,,,,0.09,,,,,,0.10,9.9,Unknown,Unknown
17-797,"Guacamole, homemade",Recipe,WC,17-580 ,Updated 2014,,80.0,0.22,1.4,12.7,2.2,128,529,Tr,,1.3,0.6,,0.6,0.1,0.0,0.0,,2.5,N,,2.67,,,,,,,,7.87,,,,1.44,,,,,,Tr,0.0,Unknown,Unknown
17-800,"Hollandaise sauce, homemade",Recipe,WC,17-610 ,Updated 2014,,13.4,0.81,5.1,77.9,0.9,717,2948,Tr,,0.5,Tr,,Tr,Tr,0.0,0.5,,Tr,0.1,,46.36,,,,,,,,20.91,,,,3.75,,,,,,2.44,518.9,Unknown,Unknown
17-809,"Mayonnaise, homemade",Recipe,WC,17-570 ,Updated 2014,,13.2,0.27,1.7,84.2,0.1,786,3232,0.0,,0.1,Tr,,Tr,Tr,0.0,0.0,,Tr,Tr,,12.20,,,,,,,,61.14,,,,7.01,,,,,,0.00,44.0,Unknown,Unknown
