Food_Code,Food_Name,Description,Food_Group,Previous,Main data references,Footnote,Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Energy (kJ) (kJ),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g FA (g),Satd FA /100g fd (g),n-6 poly /100g FA (g),n-6 poly /100g food (g),n-3 poly /100g FA (g),n-3 poly /100g food (g),cis-Mono FA /100g FA (g),cis-Mono FA /100g Food (g),Mono FA/ 100g FA (g),Mono FA /100g food (g),cis-Polyu FA /100g FA (g),cis-Poly FA /100g Food (g),Poly FA /100g FA (g),Poly FA /100g food (g),Sat FA excl Br /100g FA (g),Sat FA excl Br /100g food (g),Branched chain FA /100g FA (g),Branched chain FA /100g food (g),Trans FAs /100g FA (g),Trans FAs /100g food (g),Cholesterol (mg),Food_Category,Super_Category
17-664,"Bread sauce, made with semi-skimmed milk, HOMEMADE",Recipe,WCD,17-520 ,Updated 2013,,76.6,0.65,4.0,2.5,15.6,97,411,9.8,0.4,5.4,0.6,Tr,0.5,0.5,0.5,3.2,0.0,N,N,,1.43,,,,,,,,0.55,,,,0.17,,,,,,0.09,6.9,Unknown,Unknown
17-771,"Bread sauce, made with skimmed milk, homemade",Recipe,WCD,17-567 ,Updated 2014,,78.0,0.69,4.2,1.4,15.5,88,372,10.0,,5.1,0.6,,0.4,0.5,Tr,3.3,,0.6,0.5,,0.41,,,,,,,,0.49,,,,0.17,,,,,,Tr,2.7,Unknown,Unknown
17-772,"Bread sauce, made with whole milk, homemade",Recipe,WCD,17-519 ,Updated 2014,,75.8,0.67,4.1,3.7,15.4,108,455,10.0,,5.0,0.5,Tr,0.4,0.5,Tr,3.1,,0.6,0.5,,1.90,,,,,,,,1.10,,,,0.24,,,,,,0.09,8.4,Unknown,Unknown
17-665,"Cheese sauce, made with semi-skimmed milk, homemade",Recipe,WCD,17-522 ,Updated 2013,,68.3,1.29,8.2,12.8,9.0,182,757,4.8,,4.2,Tr,,Tr,0.0,0.0,4.1,0.0,0.2,0.7,,8.01,,,,,,,,3.33,,,,0.38,,,,,,0.49,35.5,Unknown,Unknown
17-773,"Cheese sauce, made with skimmed milk, homemade",Recipe,WCD,17-568 ,Updated 2014,,69.9,1.31,8.2,11.6,9.1,172,716,4.9,,4.3,Tr,,Tr,0.0,0.0,4.2,0.0,0.2,0.2,,7.23,,,,,,,,3.04,,,,0.39,,,,,,0.44,33.7,Unknown,Unknown
17-775,"Cheese sauce, made with whole milk, homemade",Recipe,WCD,17-521 ,Updated 2014,,67.1,1.29,8.2,14.6,8.9,197,822,4.9,,4.1,Tr,,Tr,0.0,0.0,4.0,0.0,0.2,0.2,,9.12,,,,,,,,3.83,,,,0.46,,,,,,0.55,41.0,Unknown,Unknown
17-666,"Cheese sauce, packet mix, made up with semi-skimmed milk, homemade",Recipe,WCD,17-524 ,Updated 2013,,77.6,0.92,5.8,5.2,9.7,106,447,4.5,,5.3,Tr,0.0,Tr,0.0,Tr,5.2,,N,0.2,,3.26,,,,,,,,N,,,,N,,,,,,N,N,Unknown,Unknown
17-780,"Cheese sauce, packet mix, made up with skimmed milk, homemade",Recipe,WCD,17-569 ,Updated 2014,,80.2,0.89,5.6,2.4,9.2,79,333,3.9,,5.3,Tr,0.0,Tr,0.0,Tr,5.3,,N,,,N,,,,,,,,N,,,,N,,,,,,Tr,N,Unknown,Unknown
17-781,"Cheese sauce, packet mix, made up with whole milk, homemade",Recipe,WCD,17-523 ,Updated 2014,,77.1,0.87,5.5,5.7,9.0,108,452,3.9,,5.1,Tr,0.0,Tr,0.0,Tr,5.1,,N,,,N,,,,,,,,N,,,,N,,,,,,0.13,N,Unknown,Unknown
17-815,"Onion sauce, made with semi-skimmed milk, homemade",Recipe,WCD,17-526 ,Updated 2014,,82.4,0.48,3.0,4.7,9.0,88,370,3.8,,4.8,0.6,,0.4,0.5,0.0,3.2,,0.6,1.0,,1.88,,,,,,,,1.84,,,,0.62,,,,,,0.05,4.5,Unknown,Unknown
17-816,"Onion sauce, made with skimmed milk, homemade",Recipe,WCD,17-571 ,Updated 2014,,83.3,0.49,3.1,3.8,9.0,80,335,3.8,,4.8,0.6,,0.4,0.5,0.0,3.2,,0.6,1.0,,1.25,,,,,,,,1.61,,,,0.62,,,,,,0.01,3.0,Unknown,Unknown
17-817,"Onion sauce, made with whole milk, homemade",Recipe,WCD,17-525 ,Updated 2014,,82.6,0.52,3.3,5.5,7.8,91,382,2.6,,4.8,0.4,,0.3,0.4,0.0,3.7,,0.4,0.7,,2.68,,,,,,,,1.88,,,,0.50,,,,,,0.11,10.2,Unknown,Unknown
17-667,"White sauce, savoury, made with semi-skimmed milk, homemade",Recipe,WCD,17-528 ,Updated 2014,,75.8,0.71,4.4,8.0,11.1,131,548,5.9,,5.1,Tr,,Tr,0.0,0.0,5.1,0.0,0.3,0.3,,5.04,,,,,,,,2.00,,,,0.23,,,,,,0.29,22.1,Unknown,Unknown
17-778,"White sauce, savoury, made with skimmed milk, homemade",Recipe,WCD,17-573 ,Updated 2014,,77.2,0.72,4.5,6.5,11.1,118,493,5.9,,5.2,Tr,,Tr,0.0,0.0,5.1,0.0,0.3,0.3,,4.03,,,,,,,,1.63,,,,0.23,,,,,,0.21,19.7,Unknown,Unknown
17-779,"White sauce, savoury, made with whole milk, homemade",Recipe,WCD,17-527 ,Updated 2014,,72.5,0.70,4.4,10.8,11.6,158,660,6.7,,4.9,Tr,,Tr,0.0,0.0,4.8,0.0,0.3,0.3,,6.80,,,,,,,,2.78,,,,0.35,,,,,,0.38,30.4,Unknown,Unknown
17-841,"White sauce, sweet, made with semi-skimmed milk, homemade",Recipe,WCD,17-530 ,Updated 2014,,70.4,0.64,4.0,6.7,18.6,146,615,5.5,,13.2,Tr,,Tr,8.6,0.0,4.6,,0.2,0.3,,2.74,,,,,,,,2.68,,,,0.82,,,,,,0.08,6.5,Unknown,Unknown
17-842,"White sauce, sweet, made with skimmed milk, homemade",Recipe,WCD,17-574 ,Updated 2014,,71.6,0.65,4.1,5.3,18.7,134,565,5.5,,13.3,Tr,,Tr,8.6,0.0,4.7,,0.2,0.3,,1.81,,,,,,,,2.34,,,,0.82,,,,,,0.01,4.3,Unknown,Unknown
17-843,"White sauce, sweet, made with whole milk, homemade",Recipe,WCD,,Updated 2014,,68.5,0.63,4.0,8.6,18.6,163,684,5.5,,13.1,Tr,,Tr,8.6,0.0,4.5,,0.2,0.3,,3.94,,,,,,,,3.23,,,,0.91,,,,,,0.14,12.5,Unknown,Unknown
