Food_Code,Food_Name,Description,Food_Group,Previous,Main data references,Footnote,Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Energy (kJ) (kJ),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g FA (g),Satd FA /100g fd (g),n-6 poly /100g FA (g),n-6 poly /100g food (g),n-3 poly /100g FA (g),n-3 poly /100g food (g),cis-Mono FA /100g FA (g),cis-Mono FA /100g Food (g),Mono FA/ 100g FA (g),Mono FA /100g food (g),cis-Polyu FA /100g FA (g),cis-Poly FA /100g Food (g),Poly FA /100g FA (g),Poly FA /100g food (g),Sat FA excl Br /100g FA (g),Sat FA excl Br /100g food (g),Branched chain FA /100g FA (g),Branched chain FA /100g food (g),Trans FAs /100g FA (g),Trans FAs /100g food (g),Cholesterol (mg),Food_Category,Super_Category
17-784,"Chutney, apple, homemade",Recipe,WCG,17-531 ,Updated 2014,,47.7,0.13,0.8,0.2,49.2,190,810,0.1,,48.4,4.3,,5.7,38.4,0.0,0.0,,1.3,0.7,,Tr,,,,,,,,0.02,,,,0.07,,,,,,0.00,0.0,Unknown,Unknown
17-345,"Chutney, tomato","9 samples, 5 brands",WCG,,"Reviewed 2013. LFRA, Nutrient analysis of miscellaneous foods, 1992",,63.8,0.19,1.2,0.2,31.0,128,542,2.9,,28.1,13.6,0.0,14.2,0.3,0.0,0.0,0.0,1.3,1.4,,Tr,,,,,,,,Tr,,,,0.10,,,,,,N,0.0,Unknown,Unknown
17-299,"Dips, sour-cream based, assorted flavours","7 samples, 4 brands;",WCG,,"Reviewed 2013. RHM Technology, Nutrient analysis of selected foods, 1995",,54.1,0.46,2.9,37.0,4.0,360,1482,Tr,,2.0,0.9,0.0,0.7,0.4,Tr,Tr,0.0,N,N,,N,,,,,,,,N,,,,N,,,,,,N,60.0,Unknown,Unknown
17-677,"Dips, sour-cream based, reduced fat",Label data,WCG,,"Industry data, 2013",,74.0,0.61,3.9,15.2,7.3,180,746,4.0,,3.4,N,N,N,Tr,Tr,N,0.0,0.1,0.1,,4.40,,,,,,,,N,,,,N,,,,,,N,N,Unknown,Unknown
17-715,"Dressing, blue cheese","7 samples, 2 brands",WCG,17-300 ,"LFRA, Nutrient analysis of miscellaneous foods, 1992; and industry data, 2013. Fatty acids calculated from Fatty Acid Supplement, 1998 and phytosterols from Fatty Acid Supplement, 1998",,51.0,0.31,2.0,35.9,9.8,368,1519,2.1,,7.7,4.0,0.0,3.5,0.2,0.0,Tr,0.0,N,1.3,19.20,6.59,48.00,16.48,9.90,3.40,N,N,22.89,7.85,N,N,57.90,19.87,19.20,6.59,0.00,0.00,N,N,31.8,Unknown,Unknown
17-701,"Dressing, French","8 samples, 6 brands",WCG,17-509 ,"LFRA, Nutrient analysis of miscellaneous foods, 1992; and industry data, 2013",,55.3,0.05,0.3,32.2,11.7,335,1384,5.0,,6.7,N,,N,N,0.0,0.0,0.0,N,0.5,,N,,,,,,,,N,,,,N,,,,,,N,0.0,Unknown,Unknown
17-716,"Dressing, French, fat free",Manufacturer's data (Kraft),WCG,17-538 ,"Industry data, 2013;  minerals and vitamins as Miscellaneous Foods (1994), 17-301",,N,0.02,0.1,Tr,8.7,33,141,0.1,,8.6,N,,N,N,0.0,0.0,0.0,0.3,0.5,,Tr,,,,,,,,Tr,,,,Tr,,,,,,Tr,0.0,Unknown,Unknown
17-717,"Dressing, thousand island","7 samples, 4 brands",WCG,17-306 ,"LFRA, Nutrient analysis of miscellaneous foods, 1992; industry data, 2013; and fatty acids calculated from Fatty Acid Supplement. 1998 and phytosterols from Fatty Acid Supplement, 1998",,66.6,0.11,0.7,16.4,15.9,210,873,2.5,,13.4,N,0.0,N,N,0.0,0.0,0.0,0.4,0.4,,2.04,36.60,5.74,9.20,1.44,N,N,,6.38,N,N,,6.96,13.00,2.04,0.00,0.00,N,N,N,Unknown,Unknown
17-679,"Mayonnaise, reduced fat","12 samples, 8 brands",WCG,17-511 ,"RHM Technology, Nutrient analysis of selected foods, 1995; and Fatty Acid Supplement, 1998",,59.5,0.16,1.0,28.1,8.2,288,1188,3.6,,4.6,1.1,0.0,1.0,2.5,0.0,0.0,0.0,0.0,0.0,,2.12,,,,,,,,17.11,,,,7.49,,,,,,0.01,21.7,Unknown,Unknown
17-654,"Mayonnaise, standard, retail","11 samples,7 products",WCG,17-510 ,"DH, Nutrient analysis of a range of processed foods with particular reference to trans fatty acids, 2013",,19.3,0.17,1.1,74.8,2.4,686,2824,Tr,,2.4,0.3,Tr,0.4,1.7,Tr,Tr,,0.0,0.0,7.90,5.65,19.72,14.10,8.15,5.83,63.65,45.51,63.70,45.55,27.87,19.93,27.87,19.93,7.84,5.60,0.06,0.05,0.05,0.04,57.2,Unknown,Unknown
