Food_Code,Food_Name,Description,Food_Group,Previous,Main data references,Footnote,Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Energy (kJ) (kJ),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g FA (g),Satd FA /100g fd (g),n-6 poly /100g FA (g),n-6 poly /100g food (g),n-3 poly /100g FA (g),n-3 poly /100g food (g),cis-Mono FA /100g FA (g),cis-Mono FA /100g Food (g),Mono FA/ 100g FA (g),Mono FA /100g food (g),cis-Polyu FA /100g FA (g),cis-Poly FA /100g Food (g),Poly FA /100g FA (g),Poly FA /100g food (g),Sat FA excl Br /100g FA (g),Sat FA excl Br /100g food (g),Branched chain FA /100g FA (g),Branched chain FA /100g food (g),Trans FAs /100g FA (g),Trans FAs /100g food (g),Cholesterol (mg),Food_Category,Super_Category
17-705,Barbecue sauce,Literature sources (1980),WCN,17-289 ,"Miscellaneous Foods Supplement, 1994; and industry data, 2013",,61.6,0.16,1.0,0.1,36.1,140,598,6.2,,29.9,N,0.0,N,N,0.0,0.0,0.0,0.5,1.2,,0.00,,,,,,,,0.00,,,,0.10,,,,,,N,0.0,Unknown,Unknown
17-706,Brown fruity sauce,"10 bottles, 4 brands",WCN,17-293 ,"LFRA, Nutrient analysis of miscellaneous foods, 1992; and industry data, 2013",,68.2,0.19,1.2,0.1,22.2,98,418,2.6,,19.6,7.3,0.0,8.3,4.0,0.0,0.0,0.0,0.7,N,,Tr,,,,,,,,Tr,,,,Tr,,,,,,0.00,0.0,Unknown,Unknown
17-678,"Brown sauce, reduced salt/sugar",Estimated from brown sauce and label data,WCN,,"LFRA, Nutrient analysis of miscellaneous foods, 1992; and industry data, 2013",,79.2,0.11,0.7,0.1,20,88,374,5.8,,14.1,5.2,0.0,5.9,3.0,0.0,0.0,0.0,0.7,N,,Tr,,,,,,,,Tr,,,,Tr,,,,,,0.00,0.0,Unknown,Unknown
17-314,Horseradish sauce,"8 samples, 5 brands; creamed and plain samples",WCN,50-1168  ,"Reviewed 2013. LFRA, Nutrient analysis of miscellaneous foods, 1992",,64.0,0.40,2.5,8.4,17.9,153,640,3.0,,15.0,4.0,0.0,3.6,7.4,0.0,0.0,0.0,2.5,2.5,,1.10,30.30,2.43,8.20,0.66,46.40,3.73,,3.80,37.20,2.99,,3.20,13.60,1.09,0.10,0.01,1.90,0.15,14.0,Unknown,Unknown
17-707,Mint sauce,"8 samples, 4 brands",WCN,17-319 ,"LFRA, Nutrient analysis of miscellaneous foods, 1992; and industry data, 2013",,68.7,0.26,1.6,Tr,21.5,101,432,0.0,,21.5,4.9,0.0,4.8,11.8,0.0,0.0,0.0,N,N,,Tr,,,,,,,,Tr,,,,Tr,,,,,,Tr,0.0,Unknown,Unknown
17-702,Piccalilli,"9 samples, 4 brands; mild, saucy and sweet varieties",WCN,17-347 ,"Miscellaneous Foods Supplement, 1994; and industry data, 2013",,79.1,0.16,1.0,0.5,17.6,84,360,2.8,,14.8,6.5,0.0,6.8,1.5,0.0,0.0,0.0,1.0,N,,0.10,,,,,,,,0.10,,,,0.30,,,,,,N,0.0,Unknown,Unknown
17-708,"Relish, corn/cucumber/onion","9 samples, 5 brands",WCN,17-353 ,"LFRA, Nutrient analysis of miscellaneous foods, 1992; and industry data, 2013",,60.6,0.16,1.0,0.3,36.6,144,614,7.7,,28.9,9.0,0.0,9.4,10.5,0.0,0.0,0.0,1.2,1.5,,Tr,,,,,,,,0.10,,,,0.20,,,,,,N,0.0,Unknown,Unknown
17-354,"Relish, tomato based","9 samples, 4 brands, including chilli and burger relish",WCN,,"Reviewed 2013. LFRA, Nutrient analysis of miscellaneous foods, 1992",,68.4,0.19,1.2,0.1,27.6,114,485,2.5,,25.1,6.5,0.0,6.8,11.8,0.0,0.0,0.0,1.3,N,,Tr,,,,,,,,Tr,,,,Tr,,,,,,Tr,0.0,Unknown,Unknown
17-336,"Sauce, sweet and sour, take-away","7 samples purchased from Chinese restaurants, sundry-style dipping sauce",WCN,,"LFRA, Nutrient analysis of miscellaneous foods, 1992",,65.3,0.03,0.2,3.4,32.8,157,666,5.3,,27.5,9.5,0.0,9.7,8.3,0.0,0.0,0.0,N,N,,N,,,,,,,,N,,,,N,,,,,,N,0.0,Unknown,Unknown
17-721,"Soy sauce, light and dark varieties","8 samples, 4 brands",WCN,17-334 ,"LFRA, Nutrient analysis of miscellaneous foods, 1992; and industry data, 2013",,65.4,0.48,3.0,Tr,17.9,79,337,1.5,,16.4,4.8,0.0,2.0,9.6,0.0,0.0,0.0,0.0,Tr,,0.00,,,,,,,,0.00,,,,0.00,,,,,,0.00,0.0,Unknown,Unknown
