Food_Code,Food_Name,Description,Food_Group,Previous,Main data references,Footnote,Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Energy (kJ) (kJ),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g FA (g),Satd FA /100g fd (g),n-6 poly /100g FA (g),n-6 poly /100g food (g),n-3 poly /100g FA (g),n-3 poly /100g food (g),cis-Mono FA /100g FA (g),cis-Mono FA /100g Food (g),Mono FA/ 100g FA (g),Mono FA /100g food (g),cis-Polyu FA /100g FA (g),cis-Poly FA /100g Food (g),Poly FA /100g FA (g),Poly FA /100g food (g),Sat FA excl Br /100g FA (g),Sat FA excl Br /100g food (g),Branched chain FA /100g FA (g),Branched chain FA /100g food (g),Trans FAs /100g FA (g),Trans FAs /100g food (g),Cholesterol (mg),Food_Category,Super_Category
17-355,Baking powder,6 samples of the same brand,WY,50-1174 ,"Reviewed 2013. MW4, 1978",,6.3,0.91,5.2,0.0,37.8,163,693,37.8,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.00,,,,,,,,0.00,,,,0.00,,,,,,0.00,0.0,Unknown,Unknown
17-514,Beef extract,Mixed sample including Bovril and own brands,WY,17-361 50-1175 ,"Reviewed 2013. LFRA, Nutritional analysis of soft drinks, 1993; folate data from LGC 'Individual folates in foodstuffs' 1996",,39.0,6.64,40.4,0.6,3.2,179,760,2.8,,0.4,0.2,0.0,0.2,Tr,0.0,0.0,0.0,0.0,0.0,,N,,,,,,,,N,,,,N,,,,,,N,N,Unknown,Unknown
17-356,Bicarbonate of soda,As sodium bicarbonate,WY,,"Miscellaneous Foods Supplement, 1994",,0.0,0.00,0.0,0.0,0.0,0,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.00,,,,,,,,0.00,,,,0.00,,,,,,,0.0,Unknown,Unknown
17-358,Cream of tartar,As potassium tartrate,WY,,"Miscellaneous Foods Supplement, 1994",,0.0,0.00,0.0,0.0,0.0,239,1005,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.00,,,,,,,,0.00,,,,0.00,,,,,,,0.0,Unknown,Unknown
17-360,Gelatine,Literature sources,WY,50-1176 ,"Reviewed 2013. Lewis and English (1990) Composition of foods, Australia. Volume 5, nuts and legumes, beverages, miscellaneous foods. Department of Community Services and Health, Canberra",,13.0,15.20,84.4,0.0,0.0,338,1435,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.00,,,,,,,,0.00,,,,0.00,,,,,,0.00,0.0,Unknown,Unknown
17-724,Gravy instant granules,"7 samples, 3 brands",WY,17-310 ,"LFRA, Nutrient analysis of miscellaneous foods, 1992; and industry data, 2013",,4.0,0.70,4.4,16.1,65.2,407,1714,N,N,5.3,N,0.0,N,N,0.0,0.0,0.0,N,1.6,,10.66,,,,,,,,N,,,,N,,,,,,N,N,Unknown,Unknown
17-725,"Gravy instant granules, made up with water",Calculated from 23.5g granules to 300ml water,WY,17-311 ,"LFRA, Nutrient analysis of miscellaneous foods, 1992; and industry data, 2013",,93.0,0.05,0.3,1.2,4.7,30,125,N,N,0.4,N,0.0,N,N,0.0,0.0,0.0,N,0.1,,0.77,,,,,,,,N,,,,N,,,,,,N,N,Unknown,Unknown
17-362,Mustard powder,2 brands,WY,50-843 13-866 13-838 ,"Reviewed 2013. Miscellaneous Foods, 1994 and Vegetables, Herbs and Spices Supplement, 1991 (13-838). Fatty acid data from FA 13-866 not integrated because total fat content and fatty acid fractions are very different to this sample.",,5.0,4.62,28.9,28.7,20.7,452,1884,N,,N,N,0.0,N,N,0.0,0.0,0.0,N,N,,1.50,,,,,,,,19.80,,,,5.40,,,,,,0.00,0.0,Unknown,Unknown
17-363,"Mustard, powder, made up",Made up with an equal volume of water,WY,,"Miscellaneous Foods Supplement, 1994",,52.5,2.31,14.5,14.4,10.4,226,942,N,,N,N,0.0,N,N,0.0,0.0,0.0,N,,,0.80,,,,,,,,9.90,,,,2.70,,,,,,,0.0,Unknown,Unknown
17-364,"Mustard, smooth","10 samples, 7 types including English and French",WY,50-1180 ,"Reviewed 2013. LFRA, Nutrient analysis of miscellaneous foods, 1992",,63.7,1.14,7.1,8.2,9.7,139,579,1.9,,7.8,3.4,0.0,2.9,1.5,0.0,0.0,0.0,N,N,,0.50,,,,,,,,5.80,,,,1.60,,,,,,N,0.0,Unknown,Unknown
17-365,"Mustard, wholegrain","9 samples, 5 brands",WY,50-1181 ,"Reviewed 2013. LFRA, Nutrient analysis of miscellaneous foods, 1992",,65.0,1.31,8.2,10.2,4.2,140,584,0.3,,3.9,2.0,0.0,1.9,Tr,0.0,0.0,0.0,4.9,N,,0.60,,,,,,,,7.20,,,,1.90,,,,,,N,0.0,Unknown,Unknown
17-367,Salt,"2 samples, table salt",WY,50-1184 ,"Reviewed 2013. LGC, Analysis of assorted foods, 1994",,Tr,0.00,0.0,0.0,0.0,0,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.00,,,,,,,,0.00,,,,0.00,,,,,,0.00,0.0,Unknown,Unknown
17-515,"Stock cubes, beef","10 samples, 6 brands including Bovril, Oxo and own brands",WY,17-368 17-476 50-1182 ,"Reviewed 2013. RHM Technology, Nutrient analysis of selected foods, 1995; and Fatty Acid Supplement, 1998 (17-478)",,6.1,2.85,16.8,9.2,N,N,N,N,,N,N,0.0,N,N,0.0,0.0,0.0,0.0,0.0,,3.51,13.07,1.14,2.86,0.25,36.18,3.15,,3.28,14.48,1.26,,1.39,40.38,3.51,1.53,0.13,2.96,0.26,Tr,Unknown,Unknown
17-726,"Stock cubes, chicken","7 samples, 4 brands including Oxo",WY,17-369 ,"LFRA, Nutrient analysis of miscellaneous foods, 1992; and industry data, 2013",,5.8,2.50,15.4,15.4,N,N,N,N,,N,N,0.0,N,N,0.0,0.0,0.0,N,0.6,,N,,,,,,,,N,,,,N,,,,,,N,Tr,Unknown,Unknown
17-774,"Stock cubes, chicken, made up with water",Calcualted from 7g stock cube to 190ml water,WY,,"LFRA, Nutrient analysis of miscellaneous foods, 1992; and industry data, 2013",,96.7,0.09,0.5,0.5,N,N,N,N,,N,N,0.0,N,N,0.0,0.0,0.0,N,0.0,,N,,,,,,,,N,,,,N,,,,,,N,Tr,Unknown,Unknown
17-727,"Stock cubes, vegetable","8 samples, 4 brands including Oxo",WY,17-370 ,"LFRA, Nutrient analysis of miscellaneous foods, 1992; and industry data, 2013",,5.7,2.16,13.5,17.3,N,N,N,N,,N,N,0.0,N,N,0.0,N,0.0,N,1.8,,N,,,,,,,,N,,,,N,,,,,,N,0.0,Unknown,Unknown
17-680,Stock gel,"Including stock pots, stock melts and squeezy tubes",WY,,"Industry data, 2013",,43.7,1.07,6.7,3.6,27.8,163,692,22.1,,5.7,N,0.0,N,N,0.0,0.0,,N,1.8,,1.74,,,,,,,,N,,,,N,,,,,,N,N,Unknown,Unknown
17-681,"Stock, chicken, ready made, retail",Label data,WY,,"Industry data, 2013",,97.3,0.37,2.3,0.2,0.2,12,50,0.1,,0.1,N,0.0,N,N,0.0,0.0,,N,0.3,,0.10,,,,,,,,N,,,,N,,,,,,N,N,Unknown,Unknown
