,Food Code,Food Name,Group,Super Group
0,11-001,Arrowroot,AA,Cereals and cereal products
1,13-145,"Ackee, canned, drained",DG,Vegetables
2,13-146,"Agar, dried",DG,Vegetables
3,13-148,"Alfalfa sprouts, raw",DG,Vegetables
4,13-149,"Amaranth leaves, raw",DG,Vegetables
5,13-151,"Arrowhead, raw",DG,Vegetables
6,13-153,"Artichoke, globe, raw",DG,Vegetables
7,13-157,"Asparagus, raw",DG,Vegetables
8,13-161,"Aubergine, raw",DG,Vegetables
9,15-001,"Aubergine, stuffed with lentils and vegetables",DR,Vegetables
10,15-662,"Aubergine, stuffed with rice",DR,Vegetables
11,15-663,"Aubergine, stuffed with vegetables, cheese topping",DR,Vegetables
12,14-363,"Apples, cooking, raw, flesh only, weighed with skin and core",F,Fruit
13,14-001,Amla,FA,Fruit
14,14-025,"Apricots, raw, flesh and skin",FA,Fruit
15,14-392,"Apricots, ready-to-eat, semi-dried",FA,Fruit
16,14-040,"Avocado, Fuerte, flesh only, weighed with skin and stone",FA,Fruit
17,14-387,"Avocado, Hass, flesh only, weighed with skin and stone",FA,Fruit
18,14-331,"Apple juice, clear, ambient and chilled",FC,Fruit
19,14-870,"Almonds, flaked and ground",GA,Nuts and Seeds
20,14-897,"Almonds, toasted",GA,Nuts and Seeds
21,14-896,"Almonds, whole kernels",GA,Nuts and Seeds
22,13-801,"Allspice, ground",H,Herbs and Spices
23,13-802,Anise seeds,H,Herbs and Spices
24,13-803,Asafoetida,H,Herbs and Spices
25,16-001,"Ayr, raw",JA,Fish and Fish Products
26,16-448,"Anchovies, canned in oil, drained",JC,Fish and Fish Products
27,14-272,"Apple juice concentrate, unsweetened, commerical",PE,Beverages
28,17-851,"Apple sauce, homemade",WC,"Soups, sauces and miscellaneous foods"
0,11-002,"Barley, pearl, raw",AA,Cereals and cereal products
1,11-906,"Bran, wheat",AA,Cereals and cereal products
2,11-006,"Buckwheat, groats",AA,Cereals and cereal products
3,11-1144,"Bread rolls, brown, crusty",AF,Cereals and cereal products
4,11-1006,"Bread rolls, white, soft",AF,Cereals and cereal products
5,11-971,"Bread, brown, average",AF,Cereals and cereal products
6,11-969,"Bread, ciabatta",AF,Cereals and cereal products
7,11-937,"Bread, garlic and herb, retail",AF,Cereals and cereal products
8,11-910,"Bread, naan, peshwari naan, takeaway and retail",AF,Cereals and cereal products
9,11-973,"Bread, naan, retail",AF,Cereals and cereal products
10,11-974,"Bread, pitta, white",AF,Cereals and cereal products
11,11-947,"Bread, seeded",AF,Cereals and cereal products
12,11-1145,"Bread, white, average",AF,Cereals and cereal products
13,11-977,"Bread, white, farmhouse or split tin",AF,Cereals and cereal products
14,11-978,"Bread, white, French stick",AF,Cereals and cereal products
15,11-980,"Bread, white, sliced",AF,Cereals and cereal products
16,11-1001,"Bread, white, toasted",AF,Cereals and cereal products
17,11-981,"Bread, wholemeal, average",AF,Cereals and cereal products
18,11-983,"Bread rolls, brown, soft",AG,Cereals and cereal products
19,11-984,"Bread rolls, malted wheat",AG,Cereals and cereal products
20,11-985,"Bread rolls, white, crusty",AG,Cereals and cereal products
21,11-986,"Bread rolls, wholemeal",AG,Cereals and cereal products
