,Food Code,Food Name,Group,Super Group,Sale format(s),VJ comments
0,11-001,Arrowroot,AA,Cereals and cereal products,,
1,13-145,"Ackee, canned, drained",DG,Vegetables,tin,
2,13-146,"Agar, dried",DG,Vegetables,,
3,13-148,"Alfalfa sprouts, raw",DG,Vegetables,,
4,13-149,"Amaranth leaves, raw",DG,Vegetables,,
5,13-151,"Arrowhead, raw",DG,Vegetables,,
6,13-153,"Artichoke, globe, raw",DG,Vegetables,"loose, individual",
7,13-157,"Asparagus, raw",DG,Vegetables,bunch,
8,13-161,"Aubergine, raw",DG,Vegetables,"loose, individual",
9,15-001,"Aubergine, stuffed with lentils and vegetables",DR,Vegetables,home-prepared,
10,15-662,"Aubergine, stuffed with rice",DR,Vegetables,home-prepared,
11,15-663,"Aubergine, stuffed with vegetables, cheese topping",DR,Vegetables,home-prepared,
12,14-363,"Apples, cooking, raw, flesh only, weighed with skin and core",F,Fruit,home-prepared,Would be good to include an eating apple variant too - cooking apples are much larger so this will affect the weight
13,14-001,Amla,FA,Fruit,,
14,14-025,"Apricots, raw, flesh and skin",FA,Fruit,punnet,
15,14-392,"Apricots, ready-to-eat, semi-dried",FA,Fruit,packet,
16,14-040,"Avocado, Fuerte, flesh only, weighed with skin and stone",FA,Fruit,"loose, individual",
17,14-387,"Avocado, Hass, flesh only, weighed with skin and stone",FA,Fruit,"loose, individual",
18,14-331,"Apple juice, clear, ambient and chilled",FC,Fruit,"carton, tetrapak, bottle",
19,14-870,"Almonds, flaked and ground",GA,Nuts and seeds,packet,
20,14-897,"Almonds, toasted",GA,Nuts and seeds,packet,
21,14-896,"Almonds, whole kernels",GA,Nuts and seeds,packet,
22,13-801,"Allspice, ground",H,Herbs and spices,spice jar,
23,13-802,Anise seeds,H,Herbs and spices,spice jar,
24,13-803,Asafoetida,H,Herbs and spices,,
25,16-001,"Ayr, raw",JA,Fish and fish products,,
26,16-448,"Anchovies, canned in oil, drained",JC,Fish and fish products,tin,
27,14-272,"Apple juice concentrate, unsweetened, commerical",PE,Beverages,"carton, tetrapak, bottle",
28,17-851,"Apple sauce, homemade",WC,"Soups, sauces and miscellaneous foods",jar,Suggest this should be a retail option if available
29,11-002,"Barley, pearl, raw",AA,Cereals and cereal products,packet,
30,11-906,"Bran, wheat",AA,Cereals and cereal products,cereal box,
31,11-006,"Buckwheat, groats",AA,Cereals and cereal products,packet,
32,11-1144,"Bread rolls, brown, crusty",AF,Cereals and cereal products,"loose, individual
multiple pack",
33,11-1006,"Bread rolls, white, soft",AF,Cereals and cereal products,"loose, individual
multiple pack",
34,11-971,"Bread, brown, average",AF,Cereals and cereal products,loaf,
35,11-969,"Bread, ciabatta",AF,Cereals and cereal products,"loose, individual
multiple pack",
36,11-937,"Bread, garlic and herb, retail",AF,Cereals and cereal products,"loose, individual
multiple pack",
37,11-910,"Bread, naan, peshwari naan, takeaway and retail",AF,Cereals and cereal products,"loose, individual
multiple pack",
38,11-973,"Bread, naan, retail",AF,Cereals and cereal products,"loose, individual
multiple pack",
39,11-974,"Bread, pitta, white",AF,Cereals and cereal products,"loose, individual
multiple pack",
40,11-947,"Bread, seeded",AF,Cereals and cereal products,loaf,
41,11-1145,"Bread, white, average",AF,Cereals and cereal products,loaf,There is some old legislation which specified that loaves of bread should be sold in 400g increments - most loaves are still 400/800g - you can find refs to the legislation
42,11-977,"Bread, white, farmhouse or split tin",AF,Cereals and cereal products,loaf,
