,Food Code,Food Name,Food sub-group codes,Food Group,Sales Format,Similarity Score_FPS,Weight_FPS,Portion Consumed_FPS,Similarity Score DoH,Pack Size11,Packaging DoH11,Purchase Date DoH11,Similarity Score PH15,Sample Weight PH15,Packaging PH15,Purchase Date PH15,Pack Size PH15
0,13-145,ackee,DG,Vegetables,Can,0.0,,,0.0,,,,0.0,,,,
1,13-146,agar,DG,Vegetables,Bag,0.2763685469128534,,,0.0,,,,0.0,,,,
2,13-148,alfalfa sprouts,DG,Vegetables,Bagged produce,0.0,,,0.0,,,,0.7071067811865476,29.4,Loose  ,19.10.15  ,Purchase Date:  
4,13-149,amaranth leaves,DG,Vegetables,Bagged produce,0.467891042207485,,,0.0,,,,0.0,,,,
6,14-016,apples eating,FA,Fruit,Loose produce,0.2228658258730896,,,1.0,128.4,Plastic ,14.11.2011 ,0.0,,,,
7,14-031,apricots,FA,Fruit,Canned,0.2885675763883316,,,0.0,,,,1.0,8.9,Plastic  ,28.01.16  ,500g  
9,13-153,artichoke globe,DG,Vegetables,Loose produce,0.0,,,0.0,,,,0.0,,,,
10,13-157,asparagus,DG,Vegetables,Bunched produce,0.0,,,0.0,,,,1.0,254.0,Plastic  ,26.08.15  ,250g  
11,13-161,aubergine,DG,Vegetables,Loose produce,0.0,,,0.0,,,,1.0,265.0,Loose  ,28.09.15  ,Purchase Date:  
20,13-070,beans butter,DB,Vegetables,Can,0.859017757864948,25g,1 portion pack,0.763698128297522,6.0,Plastic ,19.09.2011 ,0.5366830776327979,,,,
21,13-514,beans green,DB,Vegetables,Bagged produce,0.5486119495706148,210g/440g,can,1.0,6.0,Plastic ,19.09.2011 ,0.5366830776327979,,,,
26,13-164,beetroot,DG,Vegetables,Loose produce,0.0,,,0.0,,,,1.0,181.8,Plastic  ,28.09.15  ,300g  
34,14-388,blackberries,FA,Fruit,Punnet,0.0,,,0.0,,,,1.0,9.3,Plastic  ,26.08.15  ,350g  
35,14-053,blackcurrants,FA,Fruit,Punnet,0.0,,,0.0,,,,0.0,,,,
42,13-502,broccoli green,DG,Vegetables,Loose produce,0.4266274048481571,,,0.6455735193104358,890.8,Plastic ,17.10.2011 ,0.0,,,,
43,13-177,brussels sprouts,DG,Vegetables,Loose produce,0.0,,,0.0,,,,1.0000000000000002,29.4,Loose  ,19.10.15  ,Purchase Date:  
46,13-190,cabbage red,DG,Vegetables,Loose produce,0.4524438394892013,,,0.5400161252986518,,,,0.6284590868598239,100.0,Mixed material  ,26.10.15  ,500g  
51,13-496,carrots old,DG,Vegetables,Loose produce,0.4258824344885263,,,1.0,67.2,Plastic ,10.10.2011 ,0.0,,,,
52,13-512,cauliflower,DG,Vegetables,Loose produce,0.0,,,1.0,1123.0,Plastic ,17.10.2011 ,0.0,,,,
53,13-636,celery,DG,Vegetables,Loose produce,0.0,,,0.0,,,,1.0,,Plastic  ,26.08.15  ,350g  
79,13-627,courgette,DG,Vegetables,Loose produce,0.0,,,0.0,,,,0.0,,,,
86,14-087,mixed fruit,FA,Fruit,Packaged dried fruit,0.4987580540687493,,,0.447213595499958,,,,0.7071067811865476,95.8,Loose  ,19.10.15  ,Purchase Date:  
88,14-395,figs ready-to-eat semi-,FA,Fruit,Packaged dried fruit,1.0,125g,per pot,0.0,,,,1.0,14.3,Mixed material  ,27.01.16  ,250g  
97,13-245,gherkins,DG,Vegetables,Jar,0.0,,,0.0,,,,0.0,,,,
99,14-323,grapes red,FA,Fruit,Punnet,1.0,500g,pack,1.0000000000000002,400g ,Plastic ,14.11.2011 ,0.6284590868598239,100.0,Mixed material  ,26.10.15  ,500g  
108,13-624,leeks,DG,Vegetables,Loose produce,0.0,,,0.0,,,,1.0,271.7,Loose  ,19.10.15  ,Purchase Date:  
110,13-657,lentils red split,DB,Vegetables,Bag,0.3205140622833518,,,0.7071067811865476,400g ,Plastic ,14.11.2011 ,0.8199321156499115,500g  ,Mixed material  ,26.10.15  ,500g  
111,13-520,lettuce,DG,Vegetables,Loose produce,0.2280090711188562,,,0.7071067811865476,290.9,Plastic ,26.09.2011 ,0.0,,,,
116,13-279,matoki,DG,Vegetables,Bagged produce,0.0,,,0.0,,,,0.0,,,,
125,17-416,mushroom,DI,Vegetables,Bag,0.2763685469128534,,,0.0,,,,0.0,,,,
126,13-288,mushrooms chinese,DG,Vegetables,Bag,0.2389671287021318,,,1.0,23.7,Plastic ,03.10.2011 ,0.0,,,,
127,13-294,mushrooms shiitake,DG,Vegetables,Bag,0.21710027483244,,,1.0,23.7,Plastic ,03.10.2011 ,0.0,,,,
128,13-505,mushrooms white,DG,Vegetables,Closed cup/pack,0.3672157073363561,,,1.0,23.7,Plastic ,03.10.2011 ,0.0,,,,
140,13-499,onions,DG,Vegetables,Bunched produce,0.0,,,1.0,200.5,Netting ,10.10.2011 ,0.0,,,,
143,14-285,passion fruit juice,FC,Fruit,Carton,1.0,200g,individual carton,0.3339589500793469,,,,0.7071067811865476,95.8,Loose  ,19.10.15  ,Purchase Date:  
149,14-196,pears,FA,Fruit,Bag,0.2977711577420936,,,1.0,201.8,Plastic ,18.11.2011 ,0.0,,,,
150,13-527,peas frozen,DF,Vegetables,Frozen pack,0.393226860564509,,,1.0,900g ,Plastic ,27.01.2012 ,0.7071067811865476,462.9,Plastic  ,30.11.15  ,500g  
151,13-438,peas,DF,Vegetables,Punnet,0.0,,,0.7467549140718786,900g ,Plastic ,27.01.2012 ,0.0,,,,
155,14-396,pineapple,FA,Fruit,Can,0.2977711577420936,,,0.0,,,,1.0,,Plastic  ,28.09.15  ,400g  
159,13-489,potatoes old,DAM,Vegetables,Loose produce,1.0,75g,small,1.0,200.5,Plastic ,03.10.2011 ,0.0,,,,
161,14-391,prunes ready-to-eat semi-,FA,Fruit,Packaged dried fruit,1.0,125g,per pot,0.0,,,,1.0,7.5,Plastic  ,26.10.15  ,500g  
164,14-393,raisins,FA,Fruit,Bag,1.0,44g,packet,0.0,,,,1.0,0.7,Mixed material  ,26.10.15  ,500g  
169,13-522,rocket,DG,Vegetables,Bagged produce,0.0,,,0.0,,,,0.0,,,,
170,15-648,salad green,DR,Vegetables,Bottle,1.0,210g/440g,can,0.6455735193104358,890.8,Plastic ,17.10.2011 ,0.0,,,,
171,15-875,salad rice brown,DR,Vegetables,Bag,1.0,300g,1 packet made up,0.0,,,,0.0,,,,
176,15-658,sausages vegetarian baked/grilled,DR,Vegetables,Pack,1.0,171g,McDonald's Sausage and Egg McMuffin,0.0,,,,0.0,,,,
182,13-521,spinach baby,DG,Vegetables,Bagged produce,0.4235076328842576,,,1.0000000000000002,200g ,Plastic ,28.09.2011 ,0.7071067811865476,401.7,Plastic  ,09.11.15  ,190g  
183,17-417,spinach,DI,Vegetables,Box,0.2885675763883316,,,0.7071067811865476,200g ,Plastic ,28.09.2011 ,0.0,,,,
184,13-348,spring greens,DG,Vegetables,Loose produce,0.0,,,0.0,,,,0.0,,,,
185,13-355,squash butternut,DG,Vegetables,Fresh produce,0.0,,,0.0,,,,1.0000000000000002,1387.2,Loose  ,05.10.15  ,Purchase Date:  
