,Food Code,Food Name,Food sub-group codes,Food Group,Sale format(s),Weight,PurEqualCon,Portion Consumed,Source
0,17-208,"beer, bitter, best, premium",QA,Alcoholic beverages,"can, can multipack, bottle, bottle multipack",574g,Y,1 pint,FPS
1,17-224,"cider, sweet",QC,Alcoholic beverages,"can, can multipack, bottle, bottle multipack",300g,Y,,FPS
2,17-234,port,QF,Alcoholic beverages,bottle,161g,Y,"Hot wings, with bones, 5 pieces",FPS
3,17-236,"sherry, medium",QF,Alcoholic beverages,bottle,,,,
4,17-247,"spirits, 40% volume",QK,Alcoholic beverages,"bottle, miniature",29g,Y,1 miniature,FPS
5,17-239,"vermouth, dry",QG,Alcoholic beverages,bottle,50g/100g,Y,per bag,FPS
6,17-752,"wine, red",QE,Alcoholic beverages,"bottle, small bottle, box",180g,Y,I bottle,FPS
7,17-756,"wine, white, medium",QE,Alcoholic beverages,"bottle, small bottle, box",180g,Y,I bottle,FPS
8,14-272,"apple juice concentrate, unsweetened, commerical",PE,Beverages,"carton, tetrapak, bottle",130g,Y,,FPS
9,17-632,"coffee, cappuccino, latte",P,Beverages,,170g,Y,1 average vending machine cup,FPS
10,17-175,cola,PCA,Beverages,"can, ready to drink bottle, sharing bottle",11g,Y,"1 sachet, average",FPS
11,17-744,cranberry fruit juice drink,PE,Beverages,"carton, tetrapak, bottle",130g,Y,,FPS
12,17-498,"drinking chocolate, powder",PAA,Beverages,,11g,Y,"1 sachet, average",FPS
13,17-672,"energy drink, carbonated",PCA,Beverages,"can, ready to drink bottle, sharing bottle",130g,Y,,FPS
14,17-745,"grape juice, unsweetened",PE,Beverages,"carton, tetrapak, bottle",130g,Y,,FPS
15,17-731,"horlicks, powder",PAA,Beverages,,32g,Y,1 sachet,FPS
16,17-179,lemonade,PCA,Beverages,"can, ready to drink bottle, sharing bottle",20g,Y,1 individual carton,FPS
17,17-761,lucozade,PCA,Beverages,"ready to drink bottle, sharing bottle",170g,Y,"in sauce, purchased, frozen",FPS
18,17-751,"lager, premium",QA,Beverages,"can, multipack can, bottle, multipack bottle",574g,Y,1 pint,FPS
19,17-244,"liqueurs, high strength",QI,Beverages,"bottle, miniature",150g,Y,pots,FPS
20,17-733,"milk shake, powder",PAA,Beverages,,11g,Y,1 sachet,FPS
21,17-734,"ovaltine, powder",PAA,Beverages,,200g,Y,I small bottle,FPS
22,11-001,arrowroot,AA,Cereals and cereal products,,,,,
23,11-002,"barley, pearl, raw",AA,Cereals and cereal products,packet,180g,Y,I bottle,FPS
24,11-906,"bran, wheat",AA,Cereals and cereal products,cereal box,125g ,Y,pots,FPS
25,11-006,"buckwheat, groats",AA,Cereals and cereal products,packet,170g,Y,1 average vending machine cup,FPS
26,11-1144,"bread rolls, brown, crusty",AF,Cereals and cereal products,"loose, individual
multiple pack",330g,"Y, P","6 in pack, 55g",Confirmed on Ocado Website
27,11-1006,"bread rolls, white, soft",AF,Cereals and cereal products,"loose, individual
multiple pack",330g,"Y, P","6 in pack, 55g",Confirmed on Ocado Website
28,11-971,"bread, brown, average",AF,Cereals and cereal products,loaf,330g,"Y, P","6 in pack, 55g",Confirmed on Ocado Website
29,11-969,"bread, ciabatta",AF,Cereals and cereal products,"loose, individual
multiple pack",400g,Y,loaf,Ocado Website
30,11-937,"bread, garlic and herb, retail",AF,Cereals and cereal products,"loose, individual
multiple pack",400g,Y,loaf,Ocado Website
31,11-910,"bread, naan, peshwari naan, takeaway and retail",AF,Cereals and cereal products,"loose, individual
multiple pack",400g,Y,loaf,Ocado Website
32,11-973,"bread, naan, retail",AF,Cereals and cereal products,"loose, individual
multiple pack",400g,Y,loaf,Ocado Website
33,11-974,"bread, pitta, white",AF,Cereals and cereal products,"loose, individual
multiple pack",330g,"Y, P","6 in pack, 55g",Confirmed on Ocado Website
34,11-947,"bread, seeded",AF,Cereals and cereal products,loaf,400g,Y,loaf,Ocado Website
35,11-1145,"bread, white, average",AF,Cereals and cereal products,loaf,330g,"Y, P","6 in pack, 55g",Confirmed on Ocado Website
36,11-977,"bread, white, farmhouse or split tin",AF,Cereals and cereal products,loaf,330g,"Y, P","6 in pack, 55g",Confirmed on Ocado Website
37,11-978,"bread, white, french stick",AF,Cereals and cereal products,baguette,11g,Y,1 sachet,FPS
38,11-980,"bread, white, sliced",AF,Cereals and cereal products,loaf,330g,"Y, P","6 in pack, 55g",Confirmed on Ocado Website
39,11-981,"bread, wholemeal, average",AF,Cereals and cereal products,loaf,330g,"Y, P","6 in pack, 55g",Confirmed on Ocado Website
40,11-983,"bread rolls, brown, soft",AG,Cereals and cereal products,"loose, individual
multiple pack",330g,"Y, P","6 in pack, 55g",Confirmed on Ocado Website
41,11-984,"bread rolls, malted wheat",AG,Cereals and cereal products,"loose, individual
multiple pack",400g,Y,loaf,Ocado Website
42,11-985,"bread rolls, white, crusty",AG,Cereals and cereal products,"loose, individual
multiple pack",330g,"Y, P","6 in pack, 55g",Confirmed on Ocado Website
43,11-986,"bread rolls, wholemeal",AG,Cereals and cereal products,"loose, individual
multiple pack",400g,Y,loaf,Ocado Website
44,11-763,"breakfast cereal, bran flakes, fortified",AI,Cereals and cereal products,cereal box,150g,Y,1 small carton (5 fi. oz),FPS
45,11-742,"breakfast cereal, cornflakes, fortified",AI,Cereals and cereal products,cereal box,150g,Y,1 small carton (5 fi. oz),FPS
46,11-779,"breakfast cereal, fruit and fibre type, fortified",AI,Cereals and cereal products,cereal box,200g,Y,individual carton,FPS
47,11-755,"breakfast cereal, honey loops and hoops, including honey and nut cheerios, fortified",AI,Cereals and cereal products,cereal box,100g,Y,,FPS
48,11-792,"breakfast cereal, instant hot oat, plain, raw, fortified",AI,Cereals and cereal products,cereal box,11g,Y,"1 sachet, average",FPS
49,11-753,"breakfast cereal, rice, chocolate flavoured, fortified",AI,Cereals and cereal products,cereal box,11g,Y,"1 sachet, average",FPS
50,11-778,"breakfast cereal, shredded wheat, honey nut, nestle",AI,Cereals and cereal products,cereal box,100g,Y,,FPS
51,11-773,"breakfast cereal, wheat biscuits, weetabix type, fortified",AI,Cereals and cereal products,cereal box,191g,Y,Cup drinks,FPS
52,11-821,"biscuits, cheese flavoured",AM,Cereals and cereal products,wrapper or box,116g,Y,average,FPS
53,11-815,"biscuits, cookies, chocolate chip, standard",AM,Cereals and cereal products,wrapper or box,11g,Y,"1 sachet, average",FPS
54,11-799,"biscuits, digestive, plain",AM,Cereals and cereal products,wrapper or box,266g,Y,,Ocado Website
55,11-809,"biscuits, fully coated with chocolate",AM,Cereals and cereal products,wrapper or box,11g,Y,"1 sachet, average",FPS
56,11-801,"biscuits, plain, reduced fat",AM,Cereals and cereal products,wrapper or box,32g,Y,1 sachet,FPS
57,11-826,"breadsticks, plain",AM,Cereals and cereal products,box,266g,Y,,Ocado Website
58,,"banana bread, retail",AN,Cereals and cereal products,loaf,400g,Y,loaf,Ocado Website
59,,"brownies, chocolate, retail",AN,Cereals and cereal products,,11g,Y,"1 sachet, average",FPS
60,,"brownies, chocolate, baking mix",AN,Cereals and cereal products,packet,11g,Y,"1 sachet, average",FPS
61,11-970,"bagels, plain",AP,Cereals and cereal products,"loose, individual
multiple pack",266g,Y,,Ocado Website
62,,bread and butter pudding,AS,Cereals and cereal products,,175g,Y,,Ocado Website
63,11-011,"cornmeal, sifted",AA,Cereals and cereal products,packet,170g,Y,1 average vending machine cup,FPS
64,11-988,croissants,AG,Cereals and cereal products,,60g,Y,,FPS
