,Food Code,Food Name,Food sub-group codes,Food Group,Sale format(s),Similarity Score,Weight,PurEqualCon,Portion Consumed,Source
0,17-208,"beer, bitter, best, premium",QA,Alcoholic beverages,"can, can multipack, bottle, bottle multipack",0.7071067811865476,574g,Y,1 pint,
1,17-224,"cider, sweet",QC,Alcoholic beverages,"can, can multipack, bottle, bottle multipack",0.6098644521912389,25g,Y,,
2,17-234,port,QF,Alcoholic beverages,bottle,0.0,,,,
3,17-236,"sherry, medium",QF,Alcoholic beverages,bottle,0.0,,,,
4,17-247,"spirits, 40% volume",QK,Alcoholic beverages,"bottle, miniature",1.0,29g,Y,1 miniature,
5,17-239,"vermouth, dry",QG,Alcoholic beverages,bottle,0.6402642031530209,50g/100g,Y,per bag,
6,17-752,"wine, red",QE,Alcoholic beverages,"bottle, small bottle, box",1.0,200g,Y,I small bottle,
7,17-756,"wine, white, medium",QE,Alcoholic beverages,"bottle, small bottle, box",0.7204988586676786,200g,Y,I small bottle,
8,14-272,"apple juice concentrate, unsweetened, commerical",PE,Beverages,"carton, tetrapak, bottle",0.41387434389952055,,,,
9,17-632,"coffee, cappuccino, latte",P,Beverages,,1.0,170g,Y,1 average vending machine cup,
10,17-175,cola,PCA,Beverages,"can, ready to drink bottle, sharing bottle",0.0,,,,
11,17-744,cranberry fruit juice drink,PE,Beverages,"carton, tetrapak, bottle",0.756560852301581,200g,Y,individual carton,
12,17-498,"drinking chocolate, powder",PAA,Beverages,,0.45649711662349796,,,,
13,17-672,"energy drink, carbonated",PCA,Beverages,"can, ready to drink bottle, sharing bottle",0.8762322260281621,250ml,Y,slim can,
14,17-745,"grape juice, unsweetened",PE,Beverages,"carton, tetrapak, bottle",0.5802435801003337,12g,"Y, P",1 sachet,
15,17-731,"horlicks, powder",PAA,Beverages,,0.5948046737362449,32g,Y,1 sachet,
16,17-179,lemonade,PCA,Beverages,"can, ready to drink bottle, sharing bottle",0.0,,,,
17,17-761,lucozade,PCA,Beverages,"ready to drink bottle, sharing bottle",0.0,,,,
18,17-751,"lager, premium",QA,Beverages,"can, multipack can, bottle, multipack bottle",0.7071067811865476,574g,Y,1 pint,
19,17-244,"liqueurs, high strength",QI,Beverages,"bottle, miniature",0.9022530331020885,150g,Y,pots,
20,17-733,"milk shake, powder",PAA,Beverages,,1.0,585g,Y,1 pint,
21,17-734,"ovaltine, powder",PAA,Beverages,,0.0,,,,
22,11-001,arrowroot,AA,Cereals and cereal products,,0.0,,,,
23,11-002,"barley, pearl, raw",AA,Cereals and cereal products,packet,0.5937818449203375,180g,Y,I bottle,
24,11-906,"bran, wheat",AA,Cereals and cereal products,cereal box,0.0,,,,
25,11-006,"buckwheat, groats",AA,Cereals and cereal products,packet,0.0,,,,
26,11-1144,"bread rolls, brown, crusty",AF,Cereals and cereal products,"loose, individual
multiple pack",0.576727063128621,20g,Y,1 portion pack,
27,11-1006,"bread rolls, white, soft",AF,Cereals and cereal products,"loose, individual
multiple pack",0.4528892783796397,,,,
28,11-971,"bread, brown, average",AF,Cereals and cereal products,loaf,0.5015932469883077,360g,"Y, P","6 in pack, 60g",
29,11-969,"bread, ciabatta",AF,Cereals and cereal products,"loose, individual
multiple pack",0.6880126944052741,20g,Y,1 slice,
30,11-937,"bread, garlic and herb, retail",AF,Cereals and cereal products,"loose, individual
multiple pack",0.7414124137951081,20g,Y,1 slice,
31,11-910,"bread, naan, peshwari naan, takeaway and retail",AF,Cereals and cereal products,"loose, individual
multiple pack",0.6927610070124688,160g,Y,,
32,11-973,"bread, naan, retail",AF,Cereals and cereal products,"loose, individual
multiple pack",0.74505177427139,160g,Y,,
33,11-974,"bread, pitta, white",AF,Cereals and cereal products,"loose, individual
multiple pack",0.46523602824983473,,,,
34,11-947,"bread, seeded",AF,Cereals and cereal products,loaf,0.6880126944052741,20g,Y,1 slice,
35,11-1145,"bread, white, average",AF,Cereals and cereal products,loaf,0.4896494427550495,360g,"Y, P","6 in pack, 60g",
36,11-977,"bread, white, farmhouse or split tin",AF,Cereals and cereal products,loaf,0.3822768421070135,,,,
37,11-978,"bread, white, french stick",AF,Cereals and cereal products,baguette,0.31847759375227447,,,,
38,11-980,"bread, white, sliced",AF,Cereals and cereal products,loaf,0.38274375587700127,,,,
39,11-981,"bread, wholemeal, average",AF,Cereals and cereal products,loaf,0.45551068432279707,,,,
40,11-983,"bread rolls, brown, soft",AG,Cereals and cereal products,"loose, individual
multiple pack",0.4534921843546891,,,,
41,11-984,"bread rolls, malted wheat",AG,Cereals and cereal products,"loose, individual
multiple pack",0.6880126944052741,20g,Y,1 slice,
42,11-985,"bread rolls, white, crusty",AG,Cereals and cereal products,"loose, individual
multiple pack",0.46523602824983473,,,,
43,11-986,"bread rolls, wholemeal",AG,Cereals and cereal products,"loose, individual
multiple pack",0.6880126944052741,20g,Y,1 slice,
44,11-763,"breakfast cereal, bran flakes, fortified",AI,Cereals and cereal products,cereal box,0.0,,,,
45,11-742,"breakfast cereal, cornflakes, fortified",AI,Cereals and cereal products,cereal box,0.0,,,,
46,11-779,"breakfast cereal, fruit and fibre type, fortified",AI,Cereals and cereal products,cereal box,0.486772860346225,50g,Y,bar,
47,11-755,"breakfast cereal, honey loops and hoops, including honey and nut cheerios, fortified",AI,Cereals and cereal products,cereal box,0.3901439990108702,,,,
48,11-792,"breakfast cereal, instant hot oat, plain, raw, fortified",AI,Cereals and cereal products,cereal box,0.4401974516128666,,,,
49,11-753,"breakfast cereal, rice, chocolate flavoured, fortified",AI,Cereals and cereal products,cereal box,0.6321651629223713,300g,Y,1 packet made up,
50,11-778,"breakfast cereal, shredded wheat, honey nut, nestle",AI,Cereals and cereal products,cereal box,0.41388921939100554,,,,
51,11-773,"breakfast cereal, wheat biscuits, weetabix type, fortified",AI,Cereals and cereal products,cereal box,0.0,,,,
52,11-821,"biscuits, cheese flavoured",AM,Cereals and cereal products,wrapper or box,0.6865099205215273,214g,Y,"Crazy Milk, individual carton",Ocado Website
53,11-815,"biscuits, cookies, chocolate chip, standard",AM,Cereals and cereal products,wrapper or box,0.6497133270592733,40g,Y,bag,
54,11-799,"biscuits, digestive, plain",AM,Cereals and cereal products,wrapper or box,0.7226945835012721,266g,Y,,
55,11-809,"biscuits, fully coated with chocolate",AM,Cereals and cereal products,wrapper or box,0.4648627780938982,,,,
56,11-801,"biscuits, plain, reduced fat",AM,Cereals and cereal products,wrapper or box,0.40442931491995016,,,,
57,11-826,"breadsticks, plain",AM,Cereals and cereal products,box,0.7027630100176375,45g,Y,,
58,,"banana bread, retail",AN,Cereals and cereal products,loaf,0.4428925214565823,,,,
59,,"brownies, chocolate, retail",AN,Cereals and cereal products,,0.44048709250797513,,,,
60,,"brownies, chocolate, baking mix",AN,Cereals and cereal products,packet,0.5994064200867445,100g,Y,per bag,
61,11-970,"bagels, plain",AP,Cereals and cereal products,"loose, individual
multiple pack",0.7027630100176375,45g,Y,,
62,,bread and butter pudding,AS,Cereals and cereal products,,0.3976404045863924,,,,
63,11-011,"cornmeal, sifted",AA,Cereals and cereal products,packet,0.0,,,,
64,11-988,croissants,AG,Cereals and cereal products,,0.0,,,,
65,11-820,cream crackers,AM,Cereals and cereal products,wrapper or box,0.6536038210478662,150g,Y,1 small carton (5 fi. oz),
66,11-839,"cakes, fancy iced, individual, retail",AN,Cereals and cereal products,,0.5593337979318262,30g,"Y, P",per bag,
67,11-1020,"crumble, fruit, retail",AS,Cereals and cereal products,,0.4627620861553933,,,,
68,11-850,"doughnuts, ring, iced",AP,Cereals and cereal products,,0.7071067811865476,30g,"Y, P",per bag,
69,11-849,"doughnuts, with jam",AP,Cereals and cereal products,,0.427640119104488,,,,
70,,"dumplings,",AT,Cereals and cereal products,,0.0,,,,
71,,"biscuit, gingerbread",AN,Cereals and cereal products,,0.545005621080401,61g,Y,,
72,,"hot cross buns, ",AP,Cereals and cereal products,packet,0.4417049644939082,,,,
73,11-739,jaffa cakes,AM,Cereals and cereal products,wrapper or box,0.0,,,,
74,11-846,"jam tarts, retail",AS,Cereals and cereal products,,0.3859253296400772,,,,
75,,"macaroni cheese, retail",AD,Cereals and cereal products,,0.7126821453277129,430g,Y,large can,Tesco Website
76,11-780,"muesli, swiss style, unfortified",AI,Cereals and cereal products,cereal box,0.6750706767476486,150g,Y,,
77,11-737,"muffins, american, chocolate, retail",AN,Cereals and cereal products,,0.44048709250797513,,,,
78,11-848,"mince pies, retail",AS,Cereals and cereal products,,0.5419943295068606,140g,Y,individual pie,
79,11-719,"noodles, egg, dried, raw",AD,Cereals and cereal products,,0.4715007054935516,280g,Y,"1 packet, made up",
80,11-823,"oatcakes, plain, retail",AM,Cereals and cereal products,wrapper or box,0.4565269399720201,,,,
81,11-936,"pizza, cheese and tomato, retail",A,Cereals and cereal products,,0.49624242807191243,116g,Y,average,
82,11-788,"porridge oats, unfortified",A,Cereals and cereal products,,0.0,,,,
83,11-726,"pasta, egg, fresh, raw",AD,Cereals and cereal products,,0.4262226505526912,,,,
84,11-718,"pasta, wholewheat, spaghetti, dried, raw",AD,Cereals and cereal products,,0.5132298057201279,425g,Y,large can,
85,11-735,"pasta, spaghetti, canned, in tomato sauce",AD,Cereals and cereal products,tin,0.5930929092910918,425g,Y,large can,
86,,"papadums, retail",AF,Cereals and cereal products,,0.5439839155777908,190g,Y,,
87,11-853,"pastry, shortcrust, retail, cooked",AO,Cereals and cereal products,,0.3328058762668199,,,,
88,11-844,"pastries, chocolate eclairs, cream filled, retail",AP,Cereals and cereal products,,0.6118341203053437,46g,Y,tube,
89,,pancakes,AS,Cereals and cereal products,,0.0,,,,
90,11-544,"scotch pancakes, retail",AS,Cereals and cereal products,,0.5439839155777908,190g,Y,,
91,11-921,"pie, apple, pastry, double crust, retail",AS,Cereals and cereal products,,0.3385752204786134,,,,
92,11-847,"pie, fruit, individual, retail",AS,Cereals and cereal products,,0.5369543932784537,480g,Y,large,
