,Food Code,Food Name,Food sub-group codes,Food Group,Sale format(s),Source,Similarity Score,Weight,PurEqualCon,Portion Consumed
0,17-208,beer bitter best premium,QA,Alcoholic beverages,"can, can multipack, bottle, bottle multipack",,0.60179913,333g,Y,small can
1,17-224,cider sweet,QC,Alcoholic beverages,"can, can multipack, bottle, bottle multipack",,0,,,
2,17-234,port,QF,Alcoholic beverages,bottle,,0,,,
3,17-236,sherry medium,QF,Alcoholic beverages,bottle,,0.792070194,200g,Y,medium
4,17-247,spirits 40% volume,QK,Alcoholic beverages,"bottle, miniature",,0.707106781,29g,Y,1 miniature
5,17-239,vermouth dry,QG,Alcoholic beverages,bottle,,0.585808251,,,
6,17-752,wine red,QE,Alcoholic beverages,"bottle, small bottle, box",,0.711738917,750ml,Y,1 average bottle
7,17-756,wine white medium,QE,Alcoholic beverages,"bottle, small bottle, box",,0.436784423,,,
8,14-272,apple juice concentrate unsweetened commerical,PE,Beverages,"carton, tetrapak, bottle",,0.382359964,,,
9,17-632,coffee cappuccino latte,P,Beverages,,,0.537875534,,,
10,17-175,cola,PCA,Beverages,"can, ready to drink bottle, sharing bottle",,0,,,
11,17-744,cranberry fruit juice drink,PE,Beverages,"carton, tetrapak, bottle",,0.491516141,,,
12,17-498,drinking chocolate powder,PAA,Beverages,,,0.536800808,,,
13,17-672,energy drink carbonated,PCA,Beverages,"can, ready to drink bottle, sharing bottle",,0.746239174,330ml,Y,standard can
14,17-745,grape juice unsweetened,PE,Beverages,"carton, tetrapak, bottle",,0.533119355,,,
15,17-731,horlicks powder,PAA,Beverages,,,0.534963322,,,
16,17-179,lemonade,PCA,Beverages,"can, ready to drink bottle, sharing bottle",,0,,,
17,17-761,lucozade,PCA,Beverages,"ready to drink bottle, sharing bottle",,0,,,
18,17-751,lager premium,QA,Beverages,"can, multipack can, bottle, multipack bottle",,0.60179913,333g,Y,small can
19,17-244,liqueurs high strength,QI,Beverages,"bottle, miniature",,0.8017021,150g,Y,pots
20,17-733,milk shake powder,PAA,Beverages,,,0.595809262,,,
21,17-734,ovaltine powder,PAA,Beverages,,,0,,,
22,11-001,arrowroot,AA,Cereals and cereal products,,,0,,,
23,11-002,barley pearl,AA,Cereals and cereal products,packet,,0.653897539,180g,Y,I bottle
24,11-906,bran wheat,AA,Cereals and cereal products,cereal box,,0,,,
25,11-006,buckwheat groats,AA,Cereals and cereal products,packet,,0,,,
26,11-1144,bread rolls brown crusty,AF,Cereals and cereal products,"loose, individual
multiple pack",,0.437122973,,,
27,11-1006,bread rolls white soft,AF,Cereals and cereal products,"loose, individual
multiple pack",,0.385388461,,,
28,11-971,bread brown average,AF,Cereals and cereal products,loaf,,0.406249003,,,
29,11-969,bread ciabatta,AF,Cereals and cereal products,"loose, individual
multiple pack",,0.546808896,,,
30,11-937,bread garlic and herb,AF,Cereals and cereal products,"loose, individual
multiple pack",,0.66582184,20g,Y,1 slice
31,11-910,bread naan peshwari naan takeaway and,AF,Cereals and cereal products,"loose, individual
multiple pack",,0.675200351,260g,"Y, P",2 in a pack
32,11-973,bread naan,AF,Cereals and cereal products,"loose, individual
multiple pack",,0.747909276,260g,"Y, P",2 in a pack
33,11-974,bread pitta white,AF,Cereals and cereal products,"loose, individual
multiple pack",,0.372316196,,,
34,11-947,bread seeded,AF,Cereals and cereal products,loaf,,0.546808896,,,
35,11-1145,bread white average,AF,Cereals and cereal products,loaf,,0.346019525,,,
36,11-977,bread white farmhouse or split tin,AF,Cereals and cereal products,loaf,,0.324142016,,,
37,11-978,bread white french stick,AF,Cereals and cereal products,baguette,,0.331416808,,,
38,11-980,bread white sliced,AF,Cereals and cereal products,loaf,,0.287840536,,,
39,11-981,bread wholemeal average,AF,Cereals and cereal products,loaf,,0.472316365,,,
40,11-983,bread rolls brown soft,AG,Cereals and cereal products,"loose, individual
multiple pack",,0.385388461,,,
41,11-984,bread rolls malted wheat,AG,Cereals and cereal products,"loose, individual
multiple pack",,0.546808896,,,
42,11-985,bread rolls white crusty,AG,Cereals and cereal products,"loose, individual
multiple pack",,0.372316196,,,
43,11-986,bread rolls wholemeal,AG,Cereals and cereal products,"loose, individual
multiple pack",,0.546808896,,,
44,11-763,breakfast cereal bran flakes fortified,AI,Cereals and cereal products,cereal box,,0,,,
45,11-742,breakfast cereal cornflakes fortified,AI,Cereals and cereal products,cereal box,,0,,,
46,11-779,breakfast cereal fruit and fibre type fortified,AI,Cereals and cereal products,cereal box,,0.489562303,,,
47,11-755,breakfast cereal honey loops and hoops including honey and nut cheerios fortified,AI,Cereals and cereal products,cereal box,,0.500714809,,,
48,11-792,breakfast cereal instant hot oat fortified,AI,Cereals and cereal products,cereal box,,0.360417227,,,
49,11-753,breakfast cereal rice chocolate flavoured fortified,AI,Cereals and cereal products,cereal box,,0.365058523,,,
50,11-778,breakfast cereal shredded wheat honey nut nestle,AI,Cereals and cereal products,cereal box,,0.576897229,,,
51,11-773,breakfast cereal wheat biscuits weetabix type fortified,AI,Cereals and cereal products,cereal box,,0,,,
52,11-821,biscuits cheese flavoured,AM,Cereals and cereal products,wrapper or box,,0.380363208,,,
53,11-815,biscuits cookies chocolate chip standard,AM,Cereals and cereal products,wrapper or box,,0.416170498,,,
54,11-799,biscuits digestive,AM,Cereals and cereal products,wrapper or box,,0,,,
55,11-809,biscuits fully coated with chocolate,AM,Cereals and cereal products,wrapper or box,,0.384664834,,,
56,11-801,biscuits reduced fat,AM,Cereals and cereal products,wrapper or box,,0.442571177,,,
57,11-826,breadsticks,AM,Cereals and cereal products,box,,0,,,
58,,banana bread,AN,Cereals and cereal products,loaf,,0.460124336,,,
59,,brownies chocolate,AN,Cereals and cereal products,,,0.536800808,,,
