,Food Code,Food Name,Food sub-group codes,Food Group,Sale format(s),Similarity Score,Product Weight,Source,Purchase Date,Pack Size
0,17-208,"beer, bitter, best, premium",QA,Alcoholic beverages,"can, can multipack, bottle, bottle multipack",0.7071067811865476,574g,FPS,,1 pint
1,17-224,"cider, sweet",QC,Alcoholic beverages,"can, can multipack, bottle, bottle multipack",0.6098644521912389,25g,FPS,,
2,17-234,port,QF,Alcoholic beverages,bottle,0.0,,,,
3,17-236,"sherry, medium",QF,Alcoholic beverages,bottle,0.0,,,,
4,17-247,"spirits, 40% volume",QK,Alcoholic beverages,"bottle, miniature",1.0,29g,FPS,,1 miniature
5,17-239,"vermouth, dry",QG,Alcoholic beverages,bottle,0.6402642031530209,50g/100g,FPS,,per bag
6,17-752,"wine, red",QE,Alcoholic beverages,"bottle, small bottle, box",1.0,200g,FPS,,I small bottle
7,17-756,"wine, white, medium",QE,Alcoholic beverages,"bottle, small bottle, box",0.7204988586676786,200g,FPS,,I small bottle
8,14-272,"apple juice concentrate, unsweetened, commerical",PE,Beverages,"carton, tetrapak, bottle",0.4138743438995205,,,,
9,17-632,"coffee, cappuccino, latte",P,Beverages,,1.0,170g,FPS,,1 average vending machine cup
10,17-175,cola,PCA,Beverages,"can, ready to drink bottle, sharing bottle",0.0,,,,
11,17-744,cranberry fruit juice drink,PE,Beverages,"carton, tetrapak, bottle",0.756560852301581,200g,FPS,,individual carton
12,17-498,"drinking chocolate, powder",PAA,Beverages,,0.4564971166234979,,,,
13,17-672,"energy drink, carbonated",PCA,Beverages,"can, ready to drink bottle, sharing bottle",0.8762322260281621,250ml,FPS,,slim can
14,17-745,"grape juice, unsweetened",PE,Beverages,"carton, tetrapak, bottle",0.5802435801003337,12g,FPS,,1 sachet
15,17-731,"horlicks, powder",PAA,Beverages,,0.5948046737362449,32g,FPS,,1 sachet
16,17-179,lemonade,PCA,Beverages,"can, ready to drink bottle, sharing bottle",0.0,,,,
17,17-761,lucozade,PCA,Beverages,"ready to drink bottle, sharing bottle",0.0,,,,
18,17-751,"lager, premium",QA,Beverages,"can, multipack can, bottle, multipack bottle",0.7071067811865476,574g,FPS,,1 pint
19,17-244,"liqueurs, high strength",QI,Beverages,"bottle, miniature",0.9022530331020884,150g,FPS,,pots
20,17-733,"milk shake, powder",PAA,Beverages,,1.0,585g,FPS,,1 pint
21,17-734,"ovaltine, powder",PAA,Beverages,,0.0,,,,
22,11-001,arrowroot,AA,Cereals and cereal products,,0.0,,,,
23,11-002,"barley, pearl, raw",AA,Cereals and cereal products,packet,0.5937818449203375,180g,FPS,,I bottle
