,Food Code,Food Name,Food sub-group codes,Food Group,Product Weight,Source,Similarity Score,Packaging,Purchase Date,Pack Size
0,13-145,ackee,DG,Vegetables,,,,Can,,
1,13-146,agar,DG,Vegetables,,,,Bag,,
2,13-148,alfalfa sprouts,DG,Vegetables,29.4,PH15,0.7071067811865476,Loose  ,19.10.15  ,Purchase Date:  
4,13-149,amaranth leaves,DG,Vegetables,,,,Bagged produce,,
6,14-016,apples eating,FA,Fruit,128.4,DoH11,1.0,Plastic ,14.11.2011 ,
7,14-031,apricots,FA,Fruit,8.9,PH15,1.0,Plastic  ,28.01.16  ,500g  
9,13-153,artichoke globe,DG,Vegetables,,,,Loose produce,,
10,13-157,asparagus,DG,Vegetables,16.6g,PH15,1.0,Plastic  ,26.08.15  ,250g  
11,13-161,aubergine,DG,Vegetables,265.0,PH15,1.0,Loose  ,28.09.15  ,Purchase Date:  
20,13-070,beans butter,DB,Vegetables,25g,FPS,0.859017757864948,"Plastic,1 portion pack",,
21,13-514,beans green,DB,Vegetables,210g/440g,FPS,1.0,Bagged produce,,
26,13-164,beetroot,DG,Vegetables,84.3g,PH15,1.0,Plastic  ,28.09.15  ,300g  
34,14-388,blackberries,FA,Fruit,7.0g,PH15,1.0,Plastic  ,26.08.15  ,350g  
35,14-053,blackcurrants,FA,Fruit,,,,Punnet,,
42,13-502,broccoli green,DG,Vegetables,890.8,DoH11,0.6455735193104358,Plastic ,17.10.2011 ,
43,13-177,brussels sprouts,DG,Vegetables,29.4,PH15,1.0000000000000002,Loose  ,19.10.15  ,Purchase Date:  
46,13-190,cabbage red,DG,Vegetables,100.0,PH15,0.6284590868598239,Mixed material  ,26.10.15  ,500g  
51,13-496,carrots old,DG,Vegetables,67.2,DoH11,1.0,Plastic ,10.10.2011 ,
52,13-512,cauliflower,DG,Vegetables,1123.0,DoH11,1.0,Plastic ,17.10.2011 ,
53,13-636,celery,DG,Vegetables,,,,Loose produce,,
79,13-627,courgette,DG,Vegetables,224.8g,,,Loose produce,,
86,14-087,mixed fruit,FA,Fruit,95.8,PH15,0.7071067811865476,Loose  ,19.10.15  ,Purchase Date:  
88,14-395,figs ready-to-eat semi-,FA,Fruit,14.3,PH15,1.0,Mixed material  ,27.01.16  ,250g  
97,13-245,gherkins,DG,Vegetables,,,,Jar,,
99,14-323,grapes red,FA,Fruit,100.0,PH15,0.6284590868598239,Mixed material  ,26.10.15  ,500g  
108,13-624,leeks,DG,Vegetables,271.7,PH15,1.0,Loose  ,19.10.15  ,Purchase Date:  
110,13-657,lentils red split,DB,Vegetables,500g  ,PH15,0.8199321156499115,Mixed material  ,26.10.15  ,500g  
111,13-520,lettuce,DG,Vegetables,290.9,DoH11,0.7071067811865476,Plastic ,26.09.2011 ,
116,13-279,matoki,DG,Vegetables,,,,Bagged produce,,
125,17-416,mushroom,DI,Vegetables,,,,Bag,,
126,13-288,mushrooms chinese,DG,Vegetables,23.7,DoH11,1.0,Plastic ,03.10.2011 ,
127,13-294,mushrooms shiitake,DG,Vegetables,23.7,DoH11,1.0,Plastic ,03.10.2011 ,
128,13-505,mushrooms white,DG,Vegetables,23.7,DoH11,1.0,Plastic ,03.10.2011 ,
140,13-499,onions,DG,Vegetables,200.5,DoH11,1.0,Netting ,10.10.2011 ,
143,14-285,passion fruit juice,FC,Fruit,200g,FPS,1.0,Individual carton,,Purchase Date:  
149,14-196,pears,FA,Fruit,201.8,DoH11,1.0,Plastic ,18.11.2011 ,
150,13-527,peas frozen,DF,Vegetables,462.9,PH15,0.7071067811865476,Plastic  ,30.11.15  ,500g  
151,13-438,peas,DF,Vegetables,900.0,DoH11,0.7467549140718786,Plastic ,27.01.2012 ,
155,14-396,pineapple,FA,Fruit,1198.4g,,,Can,,
