,Composite Sample Number,Composite Sample Name,Sub-sample Number,Sub-sample Name,Brand,Sample Weight,Purchase Date,Place of Purchase,Display Until Date,Best Before Date,Batch Number,Packaging,Sample Condition As Purchased,Post Purchase Storage,Match,Pack size
0,1.0,potatoes old,1.1,"Tesco , Eastern Counties , white potatoes ",Tesco ,200.5,03.10.2011 ,"Tesco, Harford Bridges, Norwich ",05-Oct,,,Plastic ,Ambient ,Ambient ,1.0,2.5kg 
1,1.0,potatoes old,nan,"Tesco , Eastern Counties , Desiree potatoes ",Tesco ,Purchase Date: 17.10.2011 ,03.10.2011 ,"Tesco, Harford Bridges, Norwich ",06-Oct,,GV1 11:58 L2 ,Plastic ,Ambient ,Ambient ,1.0,2.5kg 
2,1.0,potatoes old,nan,"Asda , Maris Piper p otatoes ",Asda ,Purchase Date: 17.10.2011 ,03.10.2011 ,"Asda, Norwich ",04-Oct,07-Oct,QVL43021C39176879  Site code: 790317 ,Plastic ,Ambient ,Ambient ,1.0,2.5kg 
3,,potatoes old,1.4,"Asda , Desiree p otatoes ",Asda ,160.0,03.10.2011 ,"Asda, Norwich ",05-Oct,08-Oct,QVL 10906E39176268 site code: 790195 ,Plastic ,Ambient ,Ambient ,1.0,2.5kg 
4,1.0,potatoes old,1.5,"Sainsbury’s , British King Edward potatoes ",Sainsbury’s ,222.5,03.10.2011 ,"Sainsbury’s, Longwater , Norwich ",05-Oct,07-Oct,A0283 B Line D 5 2001 ,Plastic ,Ambient ,Ambient ,1.0,2.5kg 
5,1.0,potatoes old,1.6,"Morrisons , white potatoes ",Morrisons ,224.3,03.10.2011 ,"Morriso ns, Norwich ",05-Oct,07-Oct,3104 RD1 -POT5B27311 8S 13:5C ,Plastic ,Ambient ,Ambient ,1.0,2.5kg 
6,1.0,potatoes old,nan,"Waitrose , Maris Piper potatoes ",Waitrose ,Purchase Date: 17.10.2011 ,03.10.2011 ,"Waitrose, Wymondham ",07-Oct,Batch Number: Supplier 236A HC PL5  10:39 r 236A ,Supplier 236A HC PL5  10:39 r 236A ,Plastic ,Ambient ,Ambient ,1.0,2.5kg 
7,1.0,potatoes old,1.8,British white potatoes ,Aldi ,214.9,03.10.2011 ,"Aldi, Norwich ",Best Before Date: ,Batch Number: 3906 33L11052609  348 ,3906 33L11052609  348 ,Plastic ,Ambient ,Ambient ,1.0,
8,1.0,potatoes old,1.9,"Tesco , Market Value potatoes ",Tesco Market Value ,253.0,03.10.2011 ,"Tesco, Harford Bridges , Norwich ",,Batch Number: GV1 23:26  L3 ,GV1 23:26  L3 ,Plastic ,Ambient ,Ambient ,1.0,5kg 
9,1.0,potatoes old  fl esh,1.1,"Market , old potatoes ",Pack size: ,200.5,03.10.2011 ,"Independent  market s tall, Norwich ",Best Before Date: ,Batch Number: ,Packaging : Paper ,,Ambient ,Ambient ,1.0,2.5kg 
10,1.0,potatoes old,1.11,Garden of Elveden w hite potatoes ,Garden of Elveden ,173.8,03.10.201 1 ,"Makro , Norwich ",Best Before Date: ,Batch Number: Supplier:24333 Art No:368824 Code:273 ,Supplier:24333 Art No:368824 Code:273 ,Plastic ,Ambient ,Ambient ,1.0,10 x 2kg 
11,1.0,potatoes old,1.12,"Tesco , British King Edward potatoes ",Tesco ,158.2,16.01.2012 ,"Tesco, Blue Boar Road , Norwich ",19-Jan,21-Jan,GV1  20:07  L3 ,Plastic ,Ambient ,Ambient ,1.0,2.5kg 
