,Composite Sample Number,Composite Sample Name,Sub_sampleNumber,Sub-sample Name,Sample Weight,Purchase Date,Place of Purchase,Packaging,Pack size
0,47.0,"apricots, ready to eat, semi -dried  ",47.1,Tesco Whole Foods ready to eat apricots  ,8.9,28.01.16  ,"Tesco, Harford Bridges, Norwich  ",Plastic  ,500g  
1,47.0,"apricots, ready to eat, semi -dried  ",47.2,Tesco ready to eat apricots  ,6.3,30.11.15  ,"Tesco, Harford Bridges, Norwich  ",Plastic  ,500g  
2,47.0,"apricots, ready to eat, semi -dried  ",47.3,Asda Good & Balanced apricots  ,4.8,09.11.15  ,"Asda, Boundary Road, Norwich  ",Plastic  ,250g  
3,47.0,"apricots, ready to eat, semi -dried  ",47.4,Sainsbury’s apricots  ,9.1,16.11.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Plastic  ,500g  
4,47.0,"apricots, ready to eat, semi -dried  ",47.5,Morrisons Wholefoods soft apricots  ,5.4,30.11.15  ,"Morrisons, Albion Way, Norwich  ",Plastic  ,500g  
5,47.0,"apricots, ready to eat, semi -dried  ",47.6,Marks & Spencer soft apricots  ,425g  ,03.02.16  ,"Marks & Spencer, Longwater Retail Park, Norwich  ",Plastic  ,425g  
6,47.0,"apricots, ready to eat, semi -dried  ",47.7,Neal’s Yard Wholefoods ready to eat apricots  ,9.0,18.01.16  ,Holland and Barrett delivery  ,Plastic  ,250g  
7,47.0,"apricots, ready to eat, semi -dried  ",47.8,Whitworths soft apricots  ,7.5,26.10.15  ,"Tesco, Harford Bridges, Norwich  ",Plastic  ,140g  
8,47.0,"apricots, ready to eat, semi -dried  ",47.9,Whitworths snack on golden Malatya apricots  ,8.8,30.11.15  ,Sainsbury’s online delivery  ,Plastic  ,140g  
9,47.0,"apricots, ready to eat, semi -dried  ",47.1,Whitworths snack on golden Malatya apricots  ,8.9,05.01.16  ,"Tesco, Harford Bridges, Norwich  ",Plastic  ,500g  
10,23.0,"asparagus, fresh, steamed  ",23.1,Tesco asparagus bundle  ,254.0,26.08.15  ,"Tesco, Harford Bridges, Norwich  ",Plastic  ,250g  
11,23.0,"asparagus, fresh, steamed  ",23.2,Tesco asparagus tips  ,,26.08.15  ,"Tesco, Harford Bridges, Norwich  ",Plastic  ,125g  
12,23.0,"asparagus, fresh, steamed  ",23.3,Asda Grower’s Selection asparagus  ,272.0,26.08.15  ,"Asda, Boundary Road, Norwich  ",Plastic  ,250g  
13,23.0,"asparagus, fresh, steamed  ",23.4,Sainsbury’s fine asparagus  ,121.5,05.07.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Plastic  ,100g  
14,23.0,"asparagus, fresh, steamed  ",23.5,Morrisons asparagus  ,283.0,26.08.15  ,"Morrisons, Albion Way, Norwich  ",Plastic  ,250g  
