Page,Sample_Number,Sample_Name,Pack_Size
666,31,"Sweet potato, boiled, flesh only",1kg  
667,31,M&S sweet potatoes,
669,31,Lidl sweet potatoes,
671,31,Morrisons sweet potatoes,
673,31,The Co -operative sweet potatoes,
675,31,Greengrocer sweet potatoes,
676,31,"Sweet potato, boiled, flesh  only",6kg   net
677,31,Bidvest Foodservice sweet potatoes,L2
678,32,"Sweet potato, wedges, baked  in rapeseed oil , flesh and",1kg  
679,32,Tesco sweet potatoes,
680,32,"Sweet potato, wedges, baked in rapeseed oil , flesh and",1kg  
683,32,Asda Grower’s Selection sweet potatoes,
685,32,Sainsbury’s sweet potato,
687,32,Morrisons sweet potato,
700,33,"Broad beans, fresh, boiled",500g 
701,33,Tesco British broad beans,
705,33,Tesco broad beans,
707,33,Asda Grower’s Selection broad beans,
709,33,Sainsbury’s broad beans,
711,33,Morrisons broad beans,
713,33,Essential Waitrose broad beans,
715,33,Asda Grower’s Selection British broad beans,
717,33,M&S British broad beans,
721,33,Market broad beans,
722,34,"Curly kale, fresh, boiled",206g 
723,34,Tesco British curly kale,
725,34,Tesco British curly  kale,
727,34,Asda Grower’s Selection British unwashed sliced curly,
729,34,Sainsbury’s curly leaf kale,
731,34,Morrisons prepared kale,
733,34,M&S kale,
735,34,Oaklands British curly kale,
739,34,The Co-operative Loved by Us British sliced curly kale,
741,34,Farm Shop curly kale,
743,34,Swithenbank cabbage curly kale,
744,35,"Swede, fresh, boiled",Min. 400g 
745,35,Tesco British small swede,
747,35,Tesco British large swede,
749,35,Asda Grower’s Selection diced swede,
751,35,Sainsbury’s swede,
753,35,Morrisons swede,
755,35,Simply M&S British swede,
757,35,Lidl swede,
761,35,The Co -operative Loved by Us British swede,
763,35,Farm Shop Swede,
765,35,Bidvest Foodservice swede,
766,36,"Aubergine, boiled, flesh an d skin",Purchase Date:
767,36,Tesco aubergine,
768,36,"Aubergine, boiled, flesh and skin",Purchase Date:
771,36,Asda aubergine,
773,36,Sainsbury’s aubergine,
775,36,Morrisons aubergine,
777,36,Waitrose aubergine,
779,36,Lidl aubergine,
781,36,Sainsbury’s Basics aubergine,
783,36,The Co -operative Loved by Us aubergine,
784,36,"Aubergine, flesh and skin, boiled",Purchase Date:
785,36,Greengrocer’s aubergine,
787,36,Farm Fresh aubergine,
788,37,"Aubergine, roasted  in rapeseed oil , flesh and skin",Purchase Date:
790,37,"Aubergine, roasted in rapeseed oil , flesh and skin",Purchase Date:
810,38,"Okra, boiled",175g 
811,38,Tesco okra,
815,38,Asda okra,
817,38,Sainsbury’s okra,
819,38,Morrisons okra,
821,38,Waitrose okra,
831,38,Zenith okra,
832,39,"Watercress, raw",85g 
833,39,Tesco Wessex watercress,
835,39,Tesco watercress,
837,39,Asda Grower’s Selection watercress,
839,39,Sainsbury’s baby leaf watercress,
841,39,Morrisons watercress,
843,39,Waitrose hot & peppery watercress,
851,39,Hairspring watercress,
853,39,Fresha water cress,
854,40,"Runner beans, fresh, boiled",255g 
855,40,Tesco British runner beans,
857,40,Tesco runner beans,
859,40,Asda Grower’s Selection runner beans,
861,40,Sainsbury’s runner beans,
863,40,Morrisons runner beans,
865,40,Simply M&S runner beans,
867,40,Wood Farm runner beans,
871,40,The Co -operative Loved by Us runner beans,
873,40,Greengrocer runner beans,
876,41,"Yam, fresh, boiled",Purchase Date:
877,41,Tesco yam,
883,41,Spiceland Yam,
885,41,Foodland yam,
887,41,Aziz Cash & Carry yam,
889,41,Asian Bazaar yam,
891,41,Spice Land yam,
892,42,"Blackberries, raw",350g 
893,42,Tesco British blackberries,
895,42,Tesco British supersweet blackberries,
897,42,Asda Grower’s Selection blackberries,
899,42,Sainsbury’s blackberries,
901,42,Morrisons blackberries,
903,42,M&S blackberries,
905,42,Driscoll’s blackberries,
911,42,Market blackberries,
913,42,Bidvest Foodservice blackberries,
914,43,"Rhubarb, stewed without sugar",400g 
915,43,Tesco British rhubarb,
919,43,Asda Grower’s Selection British rhubarb,
921,43,Sainsbury’s British rhubarb,
925,43,Morrisons Yorkshire rhubarb,
927,43,Waitrose Cooks’ Ingredients particularly pink forced,
929,43,Swithenbank rhubarb,
933,43,Tesco rhubarb,
936,44,"Papaya, ripe, raw , flesh only",Purchase Date:
