,Composite Sample Number,Composite Sample Name,Sub-sample Number,Sub-sample Name,Brand,Sample Weight,Purchase Date,Place of Purchase,Display Until Date,Best Before Date,Batch Number,Packaging,Sample Condition As Purchased,Post Purchase Storage
307,15.0,"Brussels sprouts, boiled  ",15.1,Tesco Brussels sprouts  ,Tesco  ,29.4,19.10.15  ,"Tesco Extra, Blue Boar Road, Norwich  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,Chilled  
309,15.0,"Brussels sprouts, boiled  ",15.2,Tesco British peeled Brussels sprouts  ,Tesco  ,14.7,19.10.15  ,"Tesco Extra, Blue Boar Road, Norwich  ",Best before Date:  ,,SC:DR  ,Plastic  ,Chilled  ,Chilled  
311,15.0,"Brussels sprouts, boiled  ",15.3,Asda Grower’s Selection British sprouts  ,Asda Grower’s Selection  ,15.6,23.10.15  ,"Asda, Boundary Road, Norwich  ",Best before Date:  ,,SPRT 289 19 37 A 00362 AP1508557  ,Plastic  ,,Chilled  
313,15.0,"Brussels sprouts, boiled  ",15.4,Sainsbury’s Brussels sprouts  ,Sainsbury’s  ,16.0,19.10.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Best before Date:  ,,Packaging:  ,Loose  ,,Chilled  
315,15.0,"Brussels sprouts, boiled  ",15.5,Morrisons Brussels sprouts  ,Morrisons  ,22.7,19.10.15  ,"Morrisons, Albion Way, Norwich  ",Best before Date:  ,,1825/WRA  2725 FL53705594 T52691/1214  ,Plastic  ,Chilled  ,Chilled  
317,15.0,"Brussels sprouts, boiled  ",15.6,M&S British baby sprouts  ,Marks & Spencer  ,6.1,19.10.15  ,"Marks & Spencer, Sweet Briar Retail Park, Norwich  ",Best before Date:  ,,SC4146W  ,Plastic  ,Chilled  ,Chilled  
319,15.0,"Brussels sprouts, boiled  ",15.7,Wood Farm Brussels sprouts  ,Wood Farm  ,10.1,19.10.15  ,"Aldi, Larkman Lane, Norwich  ",Best before Date:  ,,L 4301 (4303c) S939 CEE ALR14073S3 25341201  ,Plastic  ,Chilled  ,Chilled  
321,15.0,"Brussels sprouts, boiled  ",15.8,Tesco British Brussels sprouts  ,Tesco  ,20.9,26.10.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,SC:DR  ,Plastic  ,Chilled  ,Chilled  
323,15.0,"Brussels sprouts, boiled  ",15.9,The Co -operative Loved by Us British Brussels sprouts  ,The Co -operative Loved by Us  ,9.4,26.10.15  ,"The Co -operative, Long Stratton , Norfolk  ",Best before Date:  ,,M233 SPRT 297 18:37 B 01213  ,Plastic  ,Chilled  ,Chilled  
325,,"Brussels sprouts, boiled  ",15.1,Farm Shop Brussels sprouts  ,Pack size:  ,29.4,13.10.15  ,"Independent Farm Shop, Mulbarton , Norfolk   ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,Chilled  
327,15.0,"Brussels sprouts, boiled  ",15.11,Farm Fresh Brussels sprouts  ,Farm Fresh  ,20.5,19.10.15  ,"Booker, Norwich  ",Best before Date:  ,,A22511 343  ,Plastic  ,Chilled  ,Chilled  
