,Composite Sample Number,Composite Sample Name,Sub-sample Number,Sub-sample Name,Brand,Sample Weight,Purchase Date,Place of Purchase,Display Until Date,Best Before Date,Batch Number,Packaging,Sample Condition As Purchased,Post Purchase Storage
577,28.0,"Butternut squash, boiled flesh only  ",28.1,Tesco roasting butternut squash  ,Tesco  ,1387.2,05.10.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,SC:AGS01  ,Loose  ,Ambient  ,21ºC controlled temperature room  
579,28.0,"Butternut squash, boiled flesh only  ",28.2,Tesco butternut squash  ,Tesco  ,1014.1,27.01.16  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,21ºC controlled temperature room  
581,28.0,"Butternut squash, boiled flesh only  ",28.3,Asda Grower’s Selection butternut squash  ,Asda Grower’s Selection  ,1101.1,05.10.15  ,"Asda, Boundary Road, Norwich  ",Best before Date:  ,,Site:909750 PO:442534 258 PLU643 ASP1510543  ,Loose  ,Ambient  ,21ºC controlled temperature room  
583,28.0,"Butternut squash, boiled flesh only  ",28.4,Sainsbury’s butternut squash  ,Sainsbury’s  ,1017.8,13.01.16  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Best before Date:  ,,B0090 B 009 6156 14 31 273  ,Loose  ,Ambient  ,21ºC controlled temperature room  
585,28.0,"Butternut squash, boiled flesh only  ",28.5,Morrisons butternut squash  ,Morrisons  ,588.9,19.10.15  ,"Morrisons, Albion Way, Norwich  ",Best before Date:  ,,1360/MWW  ,Loose  ,Ambient  ,21ºC controlled temperature room  
587,28.0,"Butternut squash, boiled flesh only  ",28.6,Essential Waitrose butternut squash  ,Essential Waitrose   ,1439.9,16.01.16  ,"Waitrose, Wymondham , Norfolk  ",31.01.16  ,,1687 Supplier: 111AGT 09:14  ,Loose  ,Ambient  ,21°C controlled temperature room  
589,28.0,"Butternut squash, boiled flesh only  ",28.7,Lidl butternut squash  ,Lidl ,967.9,05.10.15  ,"Lidl, Drayton Road, Norwich  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,21ºC controlled temperature room  
591,28.0,"Butternut squash, boiled flesh only  ",28.8,Sainsbury’s ready prepared butternut squash  ,Sainsbury’s  ,N/A,26.10.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Use By Date:  ,,B0090 B UP1 5 07:09 7355010  01.15  ,Plastic  ,Chilled  ,Chilled  
593,28.0,"Butternut squash, boiled flesh only  ",28.9,The Co -operative butternut squash  ,The Co -operative  ,660.2,05.01.16  ,"The Co -operative, Wymondham , Norfolk  ",Best before Date:  ,,M244 P8635/1/2  ,Loose  ,Ambient  ,21ºC controlled temperature room  
595,28.0,"Butternut squash, boiled flesh only  ",28.1,Market butternut squash  ,Pack size:  ,1387.2,08.10.15  ,,Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,21ºC controlled temperature room  
597,28.0,"Butternut squash, boiled flesh only  ",28.11,Farm Fresh butternut squash  ,Farm Fresh  ,767.8,05.10.15  ,"Booker, Norwich  ",Best before Date:  ,,257 A22511  ,Plastic  ,Chilled  ,Chilled  
