,Composite Sample Number,Composite Sample Name,Sub-sample Number,Sub-sample Name,Brand,Sample Weight,Purchase Date,Place of Purchase,Display Until Date,Best Before Date,Batch Number,Packaging,Sample Condition As Purchased,Post Purchase Storage
439,21.0,"Celery, raw  ",21.1,Tesco British celery sticks  ,Tesco  ,N/A,26.08.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,SC:GS01  ,Plastic  ,Chilled  ,Chilled  
441,21.0,"Celery, raw  ",21.2,Tesco celery sticks  ,Tesco  ,N/A,16.11.15  ,"Tesco Extra, Blue Boar Road, Norwich  ",Best before Date:  ,,SC:GS02  ,Plastic  ,Chilled  ,Chilled  
443,21.0,"Celery, raw  ",21.3,Asda Grower’s Selection British celery hearts  ,Asda Grower’s Selection  ,216.7,26.08.15  ,"Asda, Boundary Road, Norwich  ",Best before Date:  ,,Site:470021 ASP1418547  ,Plastic  ,Chilled  ,Chilled  
445,21.0,"Celery, raw  ",21.4,Sainsbury’s celery  ,Sainsbury’s  ,611.6,09.11.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Best before Date:  ,,G0630F 805353 09.14  ,Plastic  ,Chilled  ,Chilled  
447,21.0,"Celery, raw  ",21.5,Morrisons celery  ,Morrisons  ,679.7,26.08.15  ,"Morrisons, Albion Way, Norwich  ",Best before Date:  ,,6999BBT T50853/0415 2725  ,Plastic  ,Chilled  ,Chilled  
449,21.0,"Celery, raw  ",21.6,Simply M& S British celery  ,Simply M&S  ,506.4,26.08.15  ,"Marks & Spencer, Sweet Briar Retail Park, Norwich  ",Best before Date:  ,,SC1816   ,Plastic  ,Chilled  ,Chilled  
451,21.0,"Celery, raw  ",21.7,Oaklands British celery  ,Oaklands  ,528.2,26.08.15  ,"Lidl, Drayton Road, Norwich  ",Best before Date:  ,,W1922 E52257 3501  ,Plastic  ,Chilled  ,Chilled  
453,21.0,"Celery, raw  ",21.8,Tesco celery sticks  ,Tesco  ,N/A,16.11.15  ,"Tesco Extra, Blue Boar Road, Norwich  ",Best before Date:  ,,SC:GS02  ,Plastic  ,Chilled  ,Chilled  
455,21.0,"Celery, raw  ",21.9,The Co -operative Love by Us British celery  ,The Co -operative Love by Us  ,598.9,26.08.15  ,"The Co -operative, Earlham Green Lane, Norwich  ",Best before Date:  ,,Supplied by: M029(L) P12574/1/2  ,Plastic  ,Chilled  ,Chilled  
457,21.0,"Celery, raw  ",21.1,G’s celery  ,G’s ,N/A,28.08.15  ,"Independent market stall, Norwich Market  ",Best before Date:  ,,Packaging:  ,Plastic  ,Ambient  ,Chilled  
459,21.0,"Celery, raw  ",21.11,G’s celery  ,G’s ,448.0,24.08.15  ,Bidvest Foodservice delivery  ,Best before Date:  ,,Packaging:  ,Plastic  ,Ambient  ,Chilled  
