,Composite Sample Number,Composite Sample Name,Sub-sample Number,Sub-sample Name,Brand,Sample Weight,Purchase Date,Place of Purchase,Display Until Date,Best Before Date,Batch Number,Packaging,Sample Condition As Purchased,Post Purchase Storage
533,26.0,"Mange tout, fresh, boiled  ",26.1,Tesco mangetout  ,Tesco  ,390.0,05.10.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,SC:HM2e  ,Plastic  ,Chilled  ,Chilled  
535,26.0,"Mange tout, fresh, boiled  ",26.2,Sainsbury’s mange tout ,Sainsbury’s  ,319.1,07.12.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Best before Date:  ,,P0698D 1039405  ,Plastic  ,Chilled  ,Chilled  
537,26.0,"Mange tout, fresh, boiled  ",26.3,Asda Grower’s Selection mangetout  ,Asda Grower’s Selection  ,402.0,05.10.15  ,"Asda, Boundary Road, Norwich  ",Best before Date:  ,,Site: 550214 ASP1508372  ,Plastic  ,Chilled  ,Chilled  
539,26.0,"Mange tout, fresh, boiled  ",26.4,Sainsbury’s mange tout ,Sainsbury’s  ,417.0,05.10.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Best before Date:  ,,P0698D  1039405 09.14  ,Plastic  ,Chilled  ,Chilled  
541,26.0,"Mange tout, fresh, boiled  ",26.5,Morrisons trimmed mangetout  ,Morrisons  ,441.0,19.10.15  ,"Morrisons, Albion Way, Norwich  ",Best before Date:  ,,1360/MWW  ,Plastic  ,Chilled  ,Chilled  
543,26.0,"Mange tout, fresh, boiled  ",26.6,Waitrose trimmed mange tout peas  ,Waitrose  ,360.8,18.11.15  ,"Waitrose, Wymondham , Norfolk  ",22.11.15  ,,Supplier: 343SIS 11.14  ,Plastic  ,Chilled  ,Chilled  
545,26.0,"Mange tout, fresh, boiled  ",26.7,Oaklands fresh mangetout  ,Oaklands  ,402.0,05.10.15  ,"Lidl, Drayton Road, Norwich  ",Best before Date:  ,,GB005 –W4062 L4006 14:34  ,Plastic  ,Chilled  ,Chilled  
547,26.0,"Mange tout, fresh, boiled  ",26.8,Asda Grower’s Selection mangetout  ,Asda Grower’s Selection  ,341.4,16.11.15  ,"Asda, Boundary Road, Norwich  ",Best before Date:  ,,Site: 550527 ASP1508372  ,Plastic  ,Chilled  ,Chilled  
549,26.0,"Mange tout, fresh, boiled  ",26.9,The Co -operative Loved by Us trimmed mangetout  ,The Co -operative Loved by Us  ,306.9,30.11.15  ,"The Co -operative, Long Stratton , Norfolk  ",Best before Date:  ,,Supplied by: M262A  ,Plastic  ,Chilled  ,Chilled  
551,26.0,"Mange tout, fresh, boiled  ",26.1,Morrisons trimmed mangetout  ,Morrisons  ,390.0,16.12.15  ,"Morrisons, Albion Way, Norwich  ",Best before Date:  ,,1360/MWW T47579/0514  ,Plastic  ,Chilled  ,Chilled  
553,26.0,"Mange tout, fresh, boiled  ",26.11,Farm Fresh mangetout  ,Farm Fresh  ,405.0,05.10.15  ,"Booker, Norwich  ",Best before Date:  ,,2703 TEX 285  ,Plastic  ,Chilled  ,Chilled  
