,Composite Sample Number,Composite Sample Name,Sub-sample Number,Sub-sample Name,Brand,Sample Weight,Purchase Date,Place of Purchase,Display Until Date,Best Before Date,Batch Number,Packaging,Sample Condition As Purchased,Post Purchase Storage
731,,"Swede, fresh, boiled  ",35.1,Tesco British small swede  ,Tesco  ,528.6,26.10.15  ,"Tesco, Harford Bridges, Norwich  ",,,SC:DR DD2 (M)  ,Plastic  ,Ambient  ,Chilled  
733,35.0,"Swede, fresh, boiled  ",35.2,Tesco British large swede  ,Tesco  ,836.4,26.10.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,SC:DR LU (H)  ,Plastic  ,Ambient  ,Chilled  
735,35.0,"Swede, fresh, boiled  ",35.3,Asda Grower’s Selection diced swede  ,Asda  ,500g  ,26.10.15  ,"Asda, Boundary Road, Norwich  ",Best before Date:  ,,295 06:48 195 S ASP1512185  ,Plastic  ,Chilled  ,Chilled  
737,35.0,"Swede, fresh, boiled  ",35.4,Sainsbury’s swede  ,Sainsbury’s  ,846.5,26.10.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Best before Date:  ,,7572548 08.14  ,Plastic  ,Ambient  ,Chilled  
739,35.0,"Swede, fresh, boiled  ",35.5,Morrisons swede  ,Morrisons  ,787.7,02.11.15  ,"Morrisons, Albion Way, Norwich  ",Best before Date:  ,,8600 LA53705508 221332 TH1 VEG20 303 03:48 HK ,Plastic  ,Ambient  ,Chilled  
741,35.0,"Swede, fresh, boiled  ",35.6,Simply M&S British swede  ,Simply M&S  ,724.0,26.10.15  ,"Marks & Spencer, Sweet Briar Retail Park, Norwich  ",Best before Date:  ,,1945 M  ,Plastic  ,Chilled  ,Chilled  
743,35.0,"Swede, fresh, boiled  ",35.7,Lidl swede  ,Lidl ,878.5,26.10.15  ,"Lidl, Drayton Road, Norwich  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,Chilled  
745,35.0,"Swede, fresh, boiled  ",35.8,Asda Grower’s Selection diced swede  ,Asda  ,500g  ,02.11.15  ,"Asda, Boundary Road, Norwich  ",Use By Date:  ,,303 08:02 195 8 ASP1512185  ,Plastic  ,Chilled  ,Chilled  
747,35.0,"Swede, fresh, boiled  ",35.9,The Co -operative Loved by Us British swede  ,The Co -operative Loved by Us  ,644.0,26.10.15  ,"The Co -operative, Long Stratton , Norwich  ",Best before Date:  ,,M194 P5535/1/1  ,Plastic  ,Chilled  ,Chilled  
749,35.0,"Swede, fresh, boiled  ",35.1,Farm Shop swede  ,Pack size:  ,528.6,13.10.15  ,"Independent Farm Shop, Mulbarton , Norfolk  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,Chilled  
751,35.0,"Swede, fresh, boiled  ",35.11,Bidvest Foodservice swede  ,Bidvest Foodservice  ,1147.4,12.10.15  ,Bidvest Foodservice delivery  ,Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,Chilled  
