,Composite Sample Number,Composite Sample Name,Sub-sample Number,Sub-sample Name,Brand,Sample Weight,Purchase Date,Place of Purchase,Display Until Date,Best Before Date,Batch Number,Packaging,Sample Condition As Purchased,Post Purchase Storage
395,19.0,"Sweetcorn, baby, fresh, boiled  ",19.1,Tesco baby corn  ,Tesco  ,401.7,09.11.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,SC:HM2fd  ,Plastic  ,Chilled  ,Chilled  
397,19.0,"Sweetcorn, baby, fresh, boiled  ",19.2,Tesco baby corn  ,Tesco  ,414.9,09.11.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,SC HM28  ,Plastic  ,Chilled  ,Chilled  
399,19.0,"Sweetcorn, baby, fresh, boiled  ",19.3,Asda Grower’s Selection baby corn  ,Asda Grower’s Selection  ,379.5,09.11.15  ,"Asda, Boundary Road, Norwich  ",Best before Date:  ,,Site:550489  ASP1419792  ,Plastic  ,Chilled  ,Chilled  
401,19.0,"Sweetcorn, baby, fresh, boiled  ",19.4,Sainsbury’s babycorn  ,Sainsbury’s  ,340.8,30.11.15  ,"Sainsbury’s, Longwater Retail Park,  Norwich  ",Best before Date:  ,,P0698G 1043433 12.13  ,Plastic  ,Chilled  ,Chilled  
403,19.0,"Sweetcorn, baby, fresh, boiled  ",19.5,Morrisons baby corn  ,Morrisons  ,405.5,09.11.15  ,"Morrisons, Albion Way, Norwich  ",Best before Date:  ,,T360/MWW T48399/0614  ,Plastic  ,Chilled  ,Chilled  
405,19.0,"Sweetcorn, baby, fresh, boiled  ",19.6,Waitrose baby corn  ,Waitrose  ,374.8,18.11.15  ,"Waitrose, Wymondham , Norfolk   ",23.11.15  ,,Supplier 284GND 10.14  ,Plastic  ,Chilled  ,Chilled  
407,19.0,"Sweetcorn, baby, fresh, boiled  ",19.7,Wood Farm baby corn  ,Wood Farm  ,360.0,16.11.15  ,"Aldi, Sprowston Road, Norwich  ",Best before Date:  ,,Supplier code:03107/HQC Lot code:4606 (4701C)  ,Plastic  ,Chilled  ,Chilled  
409,19.0,"Sweetcorn, baby, fresh, boiled  ",19.8,Asda Grower’s Selection baby corn  ,Asda Grower’s Selection  ,375.0,30.11.15  ,"Asda, Boundary Road, Norwich  ",Best before Date:  ,,Site: 550515 ASP1419792  ,Plastic  ,Chilled  ,Chilled  
411,19.0,"Sweetcorn, baby, fresh, boiled  ",19.9,The Co -operative Loved by Us babycorn  ,The Co -operative Loved by Us  ,415.9,09.11.15  ,"The Co -operative, Long Stratton , Norfolk  ",Best before Date:  ,,Supplied by: M262B P6470/1/3 5000128471152  ,Plastic  ,Chilled  ,Chilled  
413,19.0,"Sweetcorn, baby, fresh, boiled  ",19.1,Morrisons baby corn  ,Morrisons  ,401.7,16.12.15  ,"Morrisons, Albion Way, Norwich  ",Best before Date:  ,,T360/MWW T48399/0614  ,Plastic  ,Chilled  ,Chilled  
415,19.0,"Sweetcorn, baby, fresh, boiled  ",19.11,Exotica baby corn  ,Exotica  ,410.0,12.10.15  ,Bidvest Foodservice delivery  ,Best before Date:  ,,Lot code: 1 -200-002-74012  ,Plastic  ,Chilled  ,Chilled  
