,Composite Sample Number,Composite Sample Name,Sub-sample Number,Sub-sample Name,Brand,Sample Weight,Purchase Date,Place of Purchase,Display Until Date,Best Before Date,Batch Number,Packaging,Sample Condition As Purchased,Post Purchase Storage
131,7.0,"Cherries, raw  ",7.1,Tesco cherries  ,Tesco  ,10.7,11.08.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,Supplier code: KQ33 PLU 4045   ,Plastic  ,Chilled  ,Chilled  
133,7.0,"Cherries, raw  ",7.2,Tesco British cherries  ,Tesco  ,14.9,11.08.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,SC: KG56  ,Plastic  ,Chilled  ,Chilled  
135,7.0,"Cherries, raw  ",7.3,Asda Grower’s Selection sweet & fragrant cherries  ,Asda Grower’s Selection  ,8.8,11.08.15  ,"Asda, Boundary Road, Norwich  ",Best before Date:  ,,Batch: L72541 Site: 427032 ASP1419288  ,Plastic  ,Chilled  ,Chilled  
137,7.0,"Cherries, raw  ",7.4,Sainsbury’s British cherries  ,Sainsbury’s  ,8.7,11.08.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Best before Date:  ,,A0433W 05:26 W2 11.14 7662145  ,Plastic  ,Chilled  ,Chilled  
139,7.0,"Cherries, raw  ",7.5,Morrisons cherries  ,Morrisons  ,9.6,11.08.15  ,"Morrisons, Albion Way, Norwich  ",Best before Date:  ,,1954/JOS T47513/0514 1954  ,Plastic  ,Chilled  ,Chilled  
141,7.0,"Cherries, raw  ",7.6,Waitrose  lusciously sweet & juicy cherries  ,Waitrose  ,7.6,18.11.15  ,"Waitrose, Wymondham  ",20.11.15  ,,Supplier: 347AAO L99646  ,Plastic  ,Chilled  ,Chilled  
143,7.0,"Cherries, raw  ",7.7,Lidl cherries  ,Lidl ,13.0,18.11.15  ,"Lidl, Drayton Road, Norwich  ",,,Packaging:  ,Loose  ,Chilled  ,Chilled  
145,7.0,"Cherries, raw  ",7.8,The Co -operative Loved by Us cherries  ,The Co-operative Loved by Us  ,7.6,12.08.15  ,"The Co -operative, Unthank Road, Norwich  ",Best before Date:  ,,Supplied by: M150/TS P6729F/2/2  ,Plastic  ,Chilled  ,Chilled  
147,7.0,"Cherries, raw  ",7.9,Sainsbury’s cherries  ,Sainsbury’s  ,9.0,16.11.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Best before Date:  ,,A0800 X2  ,Plastic  ,Chilled  ,Chilled  
149,7.0,"Cherries, raw ",7.1,Market cherries  ,Pack size:  ,10.7,12.08.15  ,"Independent market stall, Norwich M arket  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,Chilled  
151,7.0,"Cherries, raw  ",7.11,Morrisons cherries  ,Morrisons  ,8.4,09.11.15  ,"Morrisons, Albion Way, Norwich  ",Best before Date:  ,,1954/JOS T47513/0514  ,Plastic  ,Chilled  ,Chilled  
