,Composite Sample Number,Composite Sample Name,Sub-sample Number,Sub-sample Name,Brand,Sample Weight,Purchase Date,Place of Purchase,Display Until Date,Best Before Date,Batch Number,Packaging,Sample Condition As Purchased,Post Purchase Storage
87,5.0,"Mangoes , ripe, raw, flesh only  ",5.1,Tesco mango  ,Tesco  ,321.7,07.12.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,Supplier code: SC TR001  ,Plastic  ,Ambient  ,Chilled  
89,5.0,"Mangoes, ripe, raw, flesh only  ",5.2,Tesco mango chunks  ,Tesco  ,N/A,07.12.15  ,"Tesco, Harford Bridges, Norwich  ",Use By Date:  ,,03:42 KD01  ,Plastic  ,Chilled  ,Chilled  
91,5.0,"Mangoes, ripe, raw, flesh only  ",5.3,Asda Grower’s Selection giant mango  ,Asda Grower’s Selection  ,280.9,28.09.15  ,"Asda, Boundary Road, Norwich  ",Best before Date:  ,,909998  ASP1419466  ,Loose  ,Ambient  ,21ºC controlled temperature room  
93,5.0,"Mangoes, ripe, raw, flesh only  ",5.4,Sainsbury’s ripe & ready mangoes  ,Sainsbury’s  ,308.2,28.09.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Best before Date:  ,,F0224M 1291681 11.14  ,Plastic  ,Ambient  ,21ºC controlled temperature room  
95,5.0,"Mangoes, ripe, raw, flesh only  ",5.5,Morrisons mango  ,Morrisons  ,285.0,07.12.15  ,"Morrisons, Albion Way, Norwich  ",Best before Date:  ,,275964 TH1CON1339 05:56 ED LA53702020 ,Loose  ,Ambient  ,21ºC controlled temperature room  
97,5.0,"Mangoes, ripe, raw, flesh only  ",5.6,M&S large mango  ,Marks & Spencer  ,528.5,28.09.15  ,"Marks & Spencer, Sweet Briar Retail Park, Norwich  ",Best before Date:  ,,SC4808  ,Loose  ,Ambient  ,21ºC controlled temperature room  
101,5.0,"Mangoes, ripe, raw, flesh only  ",5.8,Asda Smart Price mangos  ,Asda Smart Price  ,385.5,28.09.15  ,"Asda, Boundary Road, Norwich  ",03.10.15  ,,PO.442956  ,Plastic  ,Ambient  ,21ºC controlled temperature room  
103,5.0,"Mangoes, ripe, raw, flesh only  ",5.9,The Co -operative Loved by Us mango chunks  ,The Co -operative Loved  by Us  ,N/A,07.12.15  ,"The Co -operative, Long Stratton  ",Best before Date:  ,,M252 Line F1 00:33 P14455/1/3  ,Plastic  ,Chilled  ,Chilled  
105,5.0,"Mangoes, ripe, raw, flesh only  ",5.1,Andalor Mango  ,Anadalor  ,321.7,13.10.15  ,"Independent farm shop, Mulbarton , Norfolk  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,21ºC controlled temperature room  
107,5.0,"Mangoes, ripe, raw, flesh only  ",5.11,Farm Fresh mango  ,Farm Fresh  ,456.9,28.09.15  ,"Booker, Norwich  ",Best before Date:  ,,#4051 3604 TEX 262  ,Plastic  ,Ambient  ,21ºC controlled temperature room  
