,Composite Sample Number,Composite Sample Name,Sub-sample Number,Sub-sample Name,Brand,Sample Weight,Purchase Date,Place of Purchase,Display Until Date,Best Before Date,Batch Number,Packaging,Sample Condition As Purchased,Post Purchase Storage
329,16.0,"Parsnips, boiled  ",16.1,Tesco parsnips  ,Tesco  ,148.7,02.11.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,Chilled  
331,16.0,"Parsnips, boiled  ",16.2,Tesco British parsnips  ,Tesco  ,116.8,02.11.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,SC:ABC  D7 08:55  ,Plastic  ,Ambient  ,Chilled  
333,16.0,"Parsnips, boiled  ",16.3,Asda Grower’s Selection British parsnips  ,Asda Grower’s Selection  ,85.8,02.11.15  ,"Asda, Boundary Road, Norwich  ",Best before Date:  ,,Batch:115 site:900322 ASP1508736  ,Plastic  ,Ambient  ,Chilled  
335,16.0,"Parsnips, boiled  ",16.4,Sainsbury’s parsnips  ,Sainsbury’s  ,132.1,02.11.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,Chilled  
337,16.0,"Parsnips, boiled  ",16.5,Morrisons parsnips  ,Morrisons  ,136.6,02.11.15  ,"Morrisons, Albion Way, Norwich  ",Best before Date:  ,,0796/HAM -303-15-08:48 -Etna 001 2725 T50866/0215  ,Plastic  ,Ambient  ,Chilled  
339,16.0,"Parsnips, boiled  ",16.6,M&S parsnips  ,Marks & Spencer  ,144.3,02.11.15  ,"Marks & Spencer, Sweet Briar Retail Park, Norwich  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,Chilled  
341,16.0,"Parsnips, boiled  ",16.7,Oaklands British parsnips  ,Oaklands  ,102.8,09.11.15  ,"Lidl, Drayton Road, Norwich  ",Best before Date:  ,,4504 09:45  W1133 6039 6A  ,Plastic  ,Ambient  ,Chilled  
343,16.0,"Parsnips, boiled  ",16.8,Sainsbury’s Basics parsnips  ,Sainsbury’s Basics  ,147.3,02.11.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Best before Date:  ,,I0062A 302 07:176B 7169946 10:13  ,Plastic  ,Ambient  ,Chilled  
345,16.0,"Parsnips, boiled  ",16.9,The Co -operative parsnips  ,The Co -operative  ,225.5,03.11.15  ,"The Co -operative, Wymondham  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,Chilled  
347,16.0,"Parsnips, boiled  ",16.1,Greengrocer parsnips  ,Pack size:  ,148.7,03.11.15  ,"Independent greengrocer, Norwich  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,Chilled  
349,16.0,"Parsnips, boiled  ",16.11,Farm Fresh parsnips  ,Farm Fresh  ,194.9,02.11.15  ,"Booker, Norwich  ",Best before Date:  ,,A22511 326  ,Plastic  ,Chilled  ,Chilled  
