,Composite Sample Number,Composite Sample Name,Sub-sample Number,Sub-sample Name,Brand,Sample Weight,Purchase Date,Place of Purchase,Display Until Date,Best Before Date,Batch Number,Packaging,Sample Condition As Purchased,Post Purchase Storage
65,4.0,"Pineapple, fresh, raw, flesh only  ",4.1,Tesco pineapple chunks  ,Tesco  ,N/A,28.09.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,L5 17:33 SC3660  ,Plastic  ,Chilled  ,Chilled  
67,4.0,"Pineapple, fresh, raw, flesh only  ",4.2,Tesco pineapple  ,Tesco  ,1265.6,28.09.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,SC: PGP E  ,Loose  ,Ambient  ,21ºC c ontrolled temperature room 
69,4.0,"Pineapple, fresh, raw, flesh only  ",4.3,Asda Grower’s Selection pineapple chunks  ,Asda Grower’s Selection  ,N/A,28.09.15  ,"Asda, Boundary Road, Norwich  ",Best before Date:  ,,175 P11  ,Plastic  ,Chilled  ,Chilled  
71,4.0,"Pineapple, fresh, raw, flesh only  ",4.4,Sainsbury’s pineapple slices  ,Sainsbury’s  ,N/A,28.09.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Best before Date:  ,,B1337A 7282199 09.14  ,Plastic  ,Chilled  ,Chilled  
73,4.0,"Pineapple, fresh, raw, flesh only  ",4.5,Morrisons pineapple  ,Morrisons  ,N/A,28.09.15  ,"Morrisons, Albion Way, Norwich  ",Best before Date:  ,,1424/3 1 16:17 1424 T44682/0114  ,Plastic  ,Chilled  ,Chilled  
75,4.0,"Pineapple, fresh, raw, flesh only  ",4.6,M&S perfectly ripe large golden pineapple  ,Marks & Spencer  ,1537.0,28.09.15  ,"Marks & Spencer, Sweet Briar Retail Park, Norwich  ",Best before Date:  ,,4929  ,Loose  ,Ambient  ,21ºC c ontrolled temperature room 
77,4.0,"Pineapple, fresh, raw, flesh only  ",4.7,Natura Farms gold pineapple  ,Lidl Natura Farms  ,1182.6,28.09.15  ,"Lidl, Drayton Road, Norwich  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,21ºC c ontrolled temperature room 
79,4.0,"Pineapple, fresh, raw, flesh  only ",4.8,Sainsbury’s basics pineapple  ,Sainsbury’s basics  ,885.1,05.10.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Best before Date:  ,,F0237C 1092585 09.14  ,Loose; tag - mixed material  ,Ambient  ,21ºC c ontrolled temperature room 
81,4.0,"Pineapple, fresh, raw, flesh only  ",4.9,The Co -operative Loved by Us pineapple  ,The Co -operative Loved by Us  ,1130.8,06.10.15  ,"Co-op, Wymondham  ",Best before Date:  ,,Supplied by: M206C  KEGE12  ,Loose; tag - cardboard  ,Ambient  ,21°C controlled temperature room  
83,4.0,"Pineapple, fresh, raw, flesh only  ",4.1,Del Monte Gold extra sweet pineapple  ,Del Monte  ,N/A,28.09.15  ,"Independent greengrocer, Norwich  ",Best before Date:  ,,10301465  ,Loose; tag - cardboard  ,Ambient  ,21ºC controlled temperature room  
85,4.0,"Pineapple, fresh, raw, flesh only  ",4.11,Del Monte Gold extra sweet pineapple  ,Del Monte  ,1229.9,24.08.15  ,Bidvest Foodservice delivery  ,Best before Date:  ,,10301465  ,Loose; tag - cardboard  ,Ambient  ,21ºC controlled temperature room  
