Food Code,Food Name,Description,Group,Previous,Main data references,Footnote,Energy (kJ),Energy (kcal),Fat (g),Saturates (g),Carbohydrate (g),Sugars (g),Starch (g),Fibre (g),Protein (g),Salt (g),Food_Category,Super_Category,FPS_Weight,FVS_Weight,Standardized_Weight
13-145,"Ackee, canned, drained",8 cans,DG,554,"MW4, 1978; and Vegetables, Herbs and Spices Supplement, 1991",,639,155,15.2,4.44,0.8,0.8,0,1.8,2.9,0.6,Uncategorized,Other,,,
13-146,"Agar, dried",Literature sources,DG,,"Wu Leung et al. (1972) Food composition table for use in East Asia, Food and Agriculature Organization and US Department of Health",,721,180,1.2,0.3,0,0,0,81.1,1.6,0.28,Uncategorized,Other,,,
13-147,"Agar, dried, soaked and drained",Literature sources,DG,,"Wu Leung et al. (1972) Food composition table for use in East Asia, Food and Agriculature Organization and US Department of Health",,127,32,0.1,0,0,0,0,15,0.2,0.03,Uncategorized,Other,,,
13-148,"Alfalfa sprouts, raw",Analytical and literature sources,DG,,"Vegetables, Herbs and Spices Supplement, 1991",,113,27,0.7,0.07,0.3,0.3,0,1.7,4.0,0.02,Uncategorized,Other,,,
13-801,"Allspice, ground",Literature sources,H,,"Marsh et al. (1977) Composition of foods: spices and herbs, raw, processed and prepared, Agriculture Handbook No. 8-2",,1536,366,8.7,2.5,55.1,55.1,0,21.6,6.1,0.19,Herbs and spices,Plant-based foods,,,
14-870,"Almonds, flaked and ground",10 samples,GA,14-801 14-855 50-972 ,"Reviewed 2013. LGC, Snacks and nuts, 1989-1991; and Fatty Acid Supplement, 1998 (14-855). Selenium from Analysis of foods for Selenium 1994",,2686,650,55.8,4.43,6.5,4,2.5,9.9,25.4,0.04,Uncategorized,Other,13.0,,13.0
14-897,"Almonds, toasted",Literature sources,GA,14-803,"USDA SR28, 2015",,2555,618,52.5,4.09,5.6,4.9,0.7,10.9,25.3,0.01,Uncategorized,Other,13.0,,13.0
14-898,"Almonds, weighed with shells",Calculated from 14-896,GA,14-883,"USDA SR28, 2015",,912,221,18.5,1.41,1.8,1.5,0.3,4.6,9.4,0,Uncategorized,Other,,,
14-896,"Almonds, whole kernels","Literature sources, Prunus dulcis",GA,,"USDA SR28, 2015",,2466,596,49.9,3.8,5,4.3,0.7,12.5,25.6,0,Uncategorized,Other,13.0,,13.0
13-150,"Amaranth leaves, boiled in unsalted water",Calculation from raw,DG,,"Wu Leung et al. (1972) Food composition table for use in East Asia, Food and Agriculature Organization and US Department of Health",,102,25,0.3,0.1,0.3,0.2,0.1,4.4,3.0,0.03,Oils and fats,Other,,,
13-149,"Amaranth leaves, raw",Literature sources,DG,,"Wu Leung et al. (1972) Food composition table for use in East Asia, Food and Agriculature Organization and US Department of Health",,111,27,0.3,0.1,0.3,0.2,0.1,4.4,3.5,0.03,Uncategorized,Other,,,
14-001,Amla,Literature sources,FA,,"Gopalan et al. (1980) Nutritive value of Indian foods, National Insitute of Nutrition, Indian Council of Medical Research",,143,35,0.1,0,4,3.4,0.6,7.8,0.5,0.01,Uncategorized,Other,,,
16-448,"Anchovies, canned in oil, drained","10 samples, 4 brands",JC,16-323 ,"Data from Fish and Fish Products Supplement, 1993 (16-168) except fatty acids and phytosterols  from RHM, fatty acids in foods, 1993",,798,191,10.0,1.6,0,0,0,0,25.2,14.68,Oils and fats,Other,,,
13-802,Anise seeds,Literature sources,H,,"Marsh et al. (1977) Composition of foods: spices and herbs, raw, processed and prepared, Agriculture Handbook No. 8-2",,1607,384,15.9,2.3,35.4,31.5,3.9,14.6,17.6,0.04,Nuts and seeds,Plant-based foods,,,
14-272,"Apple juice concentrate, unsweetened, commerical","10 samples, 68.6 Brix; imported commercial concentrate",PE,,"Fruit and Nuts Supplement, 1992",,1037,244,0.6,0.1,57,57,0,0,0.5,0.03,Sugars and confectionery,Processed foods,,,
14-331,"Apple juice, clear, ambient and chilled","10 samples, 9 brands, from concentrate",FC,14-271 ,"DH, Nutrient analysis of fruit and vegetables, 2013",,172,40,0.0,0,9.6,9.6,0,0,0.1,0.01,Non-alcoholic beverages,Beverages,,,
17-851,"Apple sauce, homemade",Recipe,WC,17-608 ,Updated 2014,,359,85,0.2,0.05,19.4,19.4,0,1.4,0.3,0.01,Uncategorized,Other,,,
