Food_Category,Standardized_Weight_count,Standardized_Weight_mean,Standardized_Weight_median,Standardized_Weight_min,Standardized_Weight_max,Standardized_Weight_std,Food Name_count,Coverage_Pct
Alcoholic beverages,0,,,,,,3,0.0
Bakery products,4,24.25,21.0,5.0,50.0,19.379972480200617,114,3.508771929824561
Cereals,0,,,,,,26,0.0
Fish and fish products,1,35.0,35.0,35.0,35.0,,46,2.1739130434782608
Fruit,3,45.0,25.0,15.0,95.0,43.58898943540674,95,3.1578947368421053
Herbs and spices,1,360.0,360.0,360.0,360.0,,5,20.0
Legumes,2,500.0,500.0,500.0,500.0,0.0,78,2.564102564102564
Meat and meat products,0,,,,,,125,0.0
Milk and milk products,3,30.0,25.0,25.0,40.0,8.660254037844387,138,2.1739130434782608
Non-alcoholic beverages,7,163.28571428571428,160.0,3.0,500.0,173.19229610052355,117,5.982905982905983
Nuts and seeds,6,285.1666666666667,202.5,16.0,1000.0,362.9768128498936,130,4.615384615384616
Oils and fats,5,51.2,60.0,16.0,60.0,19.67739820199815,412,1.2135922330097086
Prepared meals,3,416.6666666666667,500.0,250.0,500.0,144.33756729740642,30,10.0
Snack foods,0,,,,,,13,0.0
Sugars and confectionery,8,433.125,400.0,65.0,1000.0,257.30661948067217,106,7.547169811320755
Uncategorized,53,101.94339622641509,30.0,0.0,500.0,145.44922654874603,1328,3.990963855421686
Vegetables,2,230.0,230.0,230.0,230.0,0.0,121,1.6528925619834711
