Food Code_source,Food Name_source,Description_source,Group_source,Previous_source,Main data references_source,Footnote_source,Energy (kJ)_source,Energy (kcal)_source,Fat (g)_source,Saturates (g)_source,Carbohydrate (g)_source,Sugars (g)_source,Starch (g)_source,Fibre (g)_source,Protein (g)_source,Salt (g)_source,Food_Category_source,Super_Category_source,Page_target,Sample_Number_target,Sample_Name_target,Pack_Size_target,Weight_Value_target,Weight_Unit_target,Similarity_Score
13-636,"Celery, raw","11 samples, UK, including whole heads, hearts and sticks, stem only",DG,13-451,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",,48,12,0.1,0,1.4,1.4,0,1.5,0.5,0.19,Uncategorized,Other,452,21,"Celery, raw",350g,350.0,g,1.0
13-673,"Watercress, raw","11 samples, UK and imported",DG,13-653,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",,55,13,0.3,0.09,0,0,0,1.5,1.9,0.09,Non-alcoholic beverages,Beverages,832,39,"Watercress, raw",85g,85.0,g,1.0
14-393,"Raisins, dried","10 samples, 10 products, not including soft, ready-to-eat, or partially hydrated",FA,14-242,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",,1176,277,1.0,0.15,62.6,62.6,0,2.7,3.0,0.04,Uncategorized,Other,1018,48,"Raisins, dried",500g,500.0,g,1.0
14-375,"Raspberries, raw","11 samples, mixture of UK and imported",FA,14-244,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",,167,40,0.3,0.1,5.1,5.1,0,3.7,0.8,0,Uncategorized,Other,56,3,"Raspberries, raw",150g,150.0,g,1.0
14-388,"Blackberries, raw","11 samples, UK and imported",FA,14-048,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",,216,51,0.2,0,5.6,5.6,0,3.4,1.1,0,Uncategorized,Other,892,42,"Blackberries, raw",350g,350.0,g,1.0
13-635,"Sweetcorn, baby, stir-fried in rapeseed oil","Calculated from boiled. Fat and water analysed, 2017. 11 samples, fresh, all imported. Stir-fried in 1.5-4 tbsp oil for 3-5 minutes",DG,,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",,381,92,6.0,0.49,5.3,4.4,0.8,2.8,2.5,0,Nuts and seeds,Plant-based foods,430,20,"Sweetcorn, baby, fresh, stir -fried in rapeseed oil",190g,190.0,g,0.97
13-629,"Courgette, roasted in rapeseed oil","11 samples, mixture of UK and Spain, ends trimmed. Cut into chunks or slices, coated with 0.5-1 tbsp fat and roasted for 20 minutes",DG,,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",,170,41,1.9,0.16,3.5,3.4,0.1,0.8,2.0,0,Nuts and seeds,Plant-based foods,364,17,"Parsnips, roasted in rapeseed oil",Purchase Date:,,,0.97
14-391,"Prunes, ready-to-eat, semi-dried","10 samples, 9 products, including soft, ready-to-eat and partially rehydrated",FA,14-239,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",,781,184,0.3,0.06,36.5,36.5,0,5.2,2.3,0.01,Prepared meals,Processed foods,978,46,"Prunes, ready to eat, semi -dried",500g,500.0,g,0.96
14-395,"Figs, ready-to-eat, semi-dried","10 samples, 9 products",FA,14-095,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",,919,218,1.2,0.13,43.3,43.3,0,10,3.1,0.28,Prepared meals,Processed foods,1272,62,"Figs, ready to eat, semi -dried",250g,250.0,g,0.96
13-177,"Brussels sprouts, raw","Base trimmed, outer leaves removed",DG,50-746 ,"Reviewed 2013. IFR, The nutritional composition of retail vegetables in the UK, 1984-1987. Vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000",,214,51,1.4,0.3,4,3.1,0.7,4.1,3.5,0.02,Uncategorized,Other,320,15,"Brussels sprouts, boiled",Purchase Date:,,,0.96
