Product Name,Weight,Packaging Details,Country,Food Group,Food_Category,Super_Category,Weight_Value,Weight_Unit,Normalized_Weight,Normalized_Unit
italian tomato purée double concentrate,200g,"Metal,Tube,Other plastic-tube,Pp-tube",United Kingdom,Vegetables,Uncategorized,Other,200.0,g,200.0,g
italian chopped tomatoes,400g,Aluminium-tin,"Ireland,United Kingdom",Vegetables,Uncategorized,Other,400.0,g,400.0,g
chopped tomatoes,400g,Aluminium-can,"Germany, United Kingdom, en:ireland",Vegetables,Uncategorized,Other,400.0,g,400.0,g
chopped tomatoes,400g,en:steel-tin,"France,United Kingdom",Vegetables,Uncategorized,Other,400.0,g,400.0,g
italian chopped tomatoes in tomato juice,400g,Aluminium-tin,United Kingdom,Vegetables,Non-alcoholic beverages,Beverages,400.0,g,400.0,g
batchelors mushy original,300g,"Métal, Conserve, en:aluminium-tin","Frankreich, Schweiz, Vereinigtes Königreich, Germany",Vegetables,Uncategorized,Other,300.0,g,300.0,g
chopped tomatoes,400g,"Can, Aluminium-tin","France,United Kingdom",Vegetables,Uncategorized,Other,400.0,g,400.0,g
chunky chopped tomatoes,400g,en:steel-tin,United Kingdom,Vegetables,Uncategorized,Other,400.0,g,400.0,g
chopped tomatoes,400g,"en:card-box, en:steel-tin",en:United Kingdom,Vegetables,Uncategorized,Other,400.0,g,400.0,g
tomato basil,560 g,Composite-carton,United Kingdom,Vegetables,Uncategorized,Other,560.0,g,560.0,g
tomatoes - cherry tomatoes italian,400g,"de:Dose(n), en:steel-tin","Österreich, Frankreich, Germany",Vegetables,Uncategorized,Other,400.0,g,400.0,g
haricots verts extra fins,200 g,Canned,France,Vegetables,Uncategorized,Other,200.0,g,200.0,g
butter beans in water,400g,"Metal, Can, en:steel-tin, en:paper-sleeve",United Kingdom,Vegetables,Legumes,Plant-based foods,400.0,g,400.0,g
sun-dried tomatoes,100g,"Bag, en:mixed plastic film-pouch","Czechy,Francja,Niemcy,Polska,Słowacja,Hiszpania,Zjednoczone Królestwo",Vegetables,Uncategorized,Other,100.0,g,100.0,g
italian finely chopped tomatoes,400 g,"Paper-sleeve, Steel-tin","United Kingdom, en:ireland",Vegetables,Uncategorized,Other,400.0,g,400.0,g
chopped tomatoes in tomato juice,400g,Steel-tin,en:United Kingdom,Vegetables,Non-alcoholic beverages,Beverages,400.0,g,400.0,g
chopped tomatoes in tomato juice,400g,Métal,"France, Germany, en:romania",Vegetables,Non-alcoholic beverages,Beverages,400.0,g,400.0,g
jalapeños,350 g,"en:Metal,en:Glass,70 GL,en:Jar,en:Lid,40 FE","Bulgaria,Germany,Hungary,Poland,Spain",Vegetables,Uncategorized,Other,350.0,g,350.0,g
chopped tomatoes in tomato juice,400g,en:steel-tin,United Kingdom,Vegetables,Non-alcoholic beverages,Beverages,400.0,g,400.0,g
piquillo paprika,220g,Glas,"Spain, Germany",Vegetables,Uncategorized,Other,220.0,g,220.0,g
,750 g,"Canned, fr:Sachet en plastique",France,Vegetables,Uncategorized,Other,750.0,g,750.0,g
butter beans in water,400g,"Can, Food can",United Kingdom,Vegetables,Legumes,Plant-based foods,400.0,g,400.0,g
butter beans in water,400 g,Stück,"Germany,United Kingdom",Vegetables,Legumes,Plant-based foods,400.0,g,400.0,g
rosii cirio diced tomatoes,400g,"Can,Canned,Drink can,de:Buatta,de:Produkt,Aluminium-can,fr:Boîte en métal","Belgium, France, Germany, Switzerland, United Kingdom, United States, en:romania",Vegetables,Uncategorized,Other,400.0,g,400.0,g
peeled plum tomatoes in a rich tomato juice,400g,"Can, Steel-tin",United Kingdom,Vegetables,Non-alcoholic beverages,Beverages,400.0,g,400.0,g
peeled tomatoes,240g,Conserve,"Belgium,Germany,Switzerland,United Kingdom",Vegetables,Uncategorized,Other,240.0,g,240.0,g
chopped tomatoes,400g,"Canned, Aluminium-tin, Paper-sleeve",United Kingdom,Vegetables,Uncategorized,Other,400.0,g,400.0,g
sundried tomatoes italian antipasti,280g,"Lid, Glass-jar",en:United Kingdom,Vegetables,Uncategorized,Other,280.0,g,280.0,g
butter beans,400 g,Unknown Packaging,en:gb,Vegetables,Legumes,Plant-based foods,400.0,g,400.0,g
peeled plum tomatoes,400g,Unknown Packaging,en:gb,Vegetables,Uncategorized,Other,400.0,g,400.0,g
chopped tomatoes in tomato sauce,400 g (240 g drained),"Can, Steel-tin","Royaume-Uni, en:france",Vegetables,Uncategorized,Other,400.0,g,400.0,g
savoury chicken flavour rice,220 g,Unknown Packaging,en:United Kingdom,Vegetables,Uncategorized,Other,220.0,g,220.0,g
roasted red peppers in brine and vinegar,480g,en:glass-jar,United Kingdom,Vegetables,Uncategorized,Other,480.0,g,480.0,g
baby plum tomatoes,300 g,"en:ppFilm-film, en:pet-tray","United States, en:united-kingdom",Vegetables,Uncategorized,Other,300.0,g,300.0,g
polpa finely chopped tomatoes,"4 cans, 400g each",Unknown Packaging,en:United Kingdom,Vegetables,Uncategorized,Other,400.0,g,400.0,g
chopped tomatoes,400g,"Metal, Can, Food can, Aluminium-tin",United Kingdom,Vegetables,Uncategorized,Other,400.0,g,400.0,g
processed mushy peas with sugar and salt,300 g,en:steel-tin,United Kingdom,Vegetables,Sugars and confectionery,Processed foods,300.0,g,300.0,g
lemon herb basmati rice,250g,en:mixed plastic-packet,en:United Kingdom,Vegetables,Herbs and spices,Plant-based foods,250.0,g,250.0,g
tesco - the growers harvest - plum tomatoes,400g,Steel-tin,United Kingdom,Vegetables,Uncategorized,Other,400.0,g,400.0,g
mushy peas,300 g,,United Kingdom,Vegetables,Uncategorized,Other,300.0,g,300.0,g
kumato,255 g,"Plastic, Film, Tray","Jersey, en:united-kingdom",Vegetables,Uncategorized,Other,255.0,g,255.0,g
beetroot,500 g,Unknown Packaging,en:gb,Vegetables,Uncategorized,Other,500.0,g,500.0,g
,400 g,en:Metal,"Bulgaria, Czech Republic, France, en:romania",Vegetables,Uncategorized,Other,400.0,g,400.0,g
roasted mediterranean vegetable mix,600 g,"Plastique,Surgelé",France,Vegetables,Vegetables,Plant-based foods,600.0,g,600.0,g
italian peeled plum tomatoes,400 g,en:aluminium-tin,"France, United Kingdom",Vegetables,Uncategorized,Other,400.0,g,400.0,g
italian chopped tomatoes,"1.6 kg, 4 x 400g","Plastic,Can","United Kingdom,Ireland",Vegetables,Uncategorized,Other,1600.0,g,1600.0,g
british marrowfat peas,180 g,,United Kingdom,Vegetables,Oils and fats,Other,180.0,g,180.0,g
chunky chopped tomatoes,400 g,Unknown Packaging,en:gb,Vegetables,Uncategorized,Other,400.0,g,400.0,g
italian organic chopped tomatoes,400 g,"Metal, Can, Aluminium-can, Aluminium-tin",United Kingdom,Vegetables,Uncategorized,Other,400.0,g,400.0,g
butter beans,400 g e,"Metal, Canned, Aluminium-tin","France,United Kingdom",Vegetables,Legumes,Plant-based foods,400.0,g,400.0,g
cirio polpa chopped tomatoes,4 x 400 g,"Can, Card-sleeve, Steel-can",United Kingdom,Vegetables,Uncategorized,Other,400.0,g,400.0,g
butter beans,400g,"Can, Food can, Paper-sleeve, Steel-tin",United Kingdom,Vegetables,Legumes,Plant-based foods,400.0,g,400.0,g
italian plum tomatoes,400 g,"Metal,Can,Paper-sleeve,Steel-tin",United Kingdom,Vegetables,Uncategorized,Other,400.0,g,400.0,g
cooked beetroot,500g,Plastic,"United Kingdom,Ireland",Vegetables,Uncategorized,Other,500.0,g,500.0,g
queen butter beans,570 g,Unknown Packaging,Royaume-Uni,Vegetables,Legumes,Plant-based foods,570.0,g,570.0,g
chopped tomatoes,400 g,"Can, Aluminium-tin",United Kingdom,Vegetables,Uncategorized,Other,400.0,g,400.0,g
chopped italian tomatoes in tomato juice,400 g,Aluminium-tin,United Kingdom,Vegetables,Non-alcoholic beverages,Beverages,400.0,g,400.0,g
growers harvest basmati white rice,250 g,Unknown Packaging,en:United Kingdom,Vegetables,Uncategorized,Other,250.0,g,250.0,g
aubergines cuisinées à la provençale,660 g,"Metal, Canned",France,Vegetables,Uncategorized,Other,660.0,g,660.0,g
british mushy peas,300 g,"Steel-tin to recycle, label to recycle","France,United Kingdom,Ireland",Vegetables,Uncategorized,Other,300.0,g,300.0,g
roasted red peppers,450g,"Glass, Jar",United Kingdom,Vegetables,Uncategorized,Other,450.0,g,450.0,g
diced tomatoes green chilies original,10 oz (284 g),Steel-can,"United States, World",Vegetables,Uncategorized,Other,283.5,g,283.5,g
broccoli,375 g,en:ldpe-film,en:United Kingdom,Vegetables,Uncategorized,Other,375.0,g,375.0,g
so organic butter beans,380g,Cardboard,United Kingdom,Vegetables,Legumes,Plant-based foods,380.0,g,380.0,g
cherry tomatoes in rich tomatoe juice,400 g,Unknown Packaging,United Kingdom,Vegetables,Non-alcoholic beverages,Beverages,400.0,g,400.0,g
wholegrain golden vegetable rice,220g,Unknown Packaging,gb,Vegetables,Vegetables,Plant-based foods,220.0,g,220.0,g
artichoke antipasti,285g (160g),Unknown Packaging,en:United Kingdom,Vegetables,Uncategorized,Other,285.0,g,285.0,g
sweet piquante peppers,400g (140g),Unknown Packaging,en:gb,Vegetables,Sugars and confectionery,Processed foods,400.0,g,400.0,g
weißer knoblauch,200g,"Kunststoff,Papier,Etikett,Netz","Deutschland,Spanien,Vereinigtes Königreich",Vegetables,Uncategorized,Other,200.0,g,200.0,g
sweet potato and tenderstem broccoli,280g,Unknown Packaging,"Ireland,United Kingdom",Vegetables,Sugars and confectionery,Processed foods,280.0,g,280.0,g
mexican style stir fry veg mix,750 g,"Plástico,Bolsa,07 OTHER","Francia,Alemania,Italia,España,Reino Unido",Vegetables,Uncategorized,Other,750.0,g,750.0,g
italian chopped tomatoes,400g,"Metal, Can, Steel-tin","France,United Kingdom",Vegetables,Uncategorized,Other,400.0,g,400.0,g
cauliflower cheese,350g,"Plastic, Pp-tub, en:pet-sleeve, en:pp film-film","Ireland,United Kingdom,en:ireland",Vegetables,Uncategorized,Other,350.0,g,350.0,g
flame grilled italian artichokes,174g,Unknown Packaging,United Kingdom,Vegetables,Uncategorized,Other,174.0,g,174.0,g
organic tomato paste,6 oz,,"France, en:united-states",Vegetables,Uncategorized,Other,170.10000000000002,g,170.10000000000002,g
british carrots,1kg,"Ldpe-bag, Plastic bag",United Kingdom,Vegetables,Uncategorized,Other,1000.0,g,1000.0,g
spice sensation couscous,100 g,Unknown Packaging,"Australia, France, en:united-kingdom",Vegetables,Herbs and spices,Plant-based foods,100.0,g,100.0,g
butter beans,400g,Metal can,United Kingdom,Vegetables,Legumes,Plant-based foods,400.0,g,400.0,g
peeled plum tomateos,"Net weight 4x 400g, drained weight 4x 260g","Aluminium-tin, Card-sleeve",en:United Kingdom,Vegetables,Uncategorized,Other,400.0,g,400.0,g
chopped tomatoes,400 g,"Metal, en:steel-tin","United Kingdom,en:united-kingdom",Vegetables,Uncategorized,Other,400.0,g,400.0,g
chopped tomatoes with herbs,400 g,Unknown Packaging,"Ireland,United Kingdom",Vegetables,Herbs and spices,Plant-based foods,400.0,g,400.0,g
tilda kids sunshine vegetable rice,125 g,Unknown Packaging,en:gb,Vegetables,Vegetables,Plant-based foods,125.0,g,125.0,g
mexican style mix,450 g,Unknown Packaging,Romania,Vegetables,Uncategorized,Other,450.0,g,450.0,g
microwave pilau rice,250 g,Unknown Packaging,"Ireland, en:united-kingdom",Vegetables,Uncategorized,Other,250.0,g,250.0,g
mogette de vendée,265 g,bocal,en:france,Vegetables,Uncategorized,Other,265.0,g,265.0,g
italian tomato púree,200g,Unknown Packaging,en:United Kingdom,Vegetables,Uncategorized,Other,200.0,g,200.0,g
italian organic plum tomatoes,400g,"Can - metal, Steel-tin",United Kingdom,Vegetables,Uncategorized,Other,400.0,g,400.0,g
garden peas,290 g,Aluminium-can,United Kingdom,Vegetables,Uncategorized,Other,290.0,g,290.0,g
classic round tomatoes,400g,"Plastic, Film, Ldpe-packet",United Kingdom,Vegetables,Uncategorized,Other,400.0,g,400.0,g
san marzano peeled tomatoes,28 oz,Unknown Packaging,United States,Vegetables,Uncategorized,Other,793.8000000000001,g,793.8000000000001,g
organic tomato sauce,425g 5Oz,Can,United States,Vegetables,Uncategorized,Other,425.0,g,425.0,g
broccoli,500g,"Ldpe-film, Plastic film",United Kingdom,Vegetables,Uncategorized,Other,500.0,g,500.0,g
beetroot,710g,en:glass-jar,en:United Kingdom,Vegetables,Uncategorized,Other,710.0,g,710.0,g
bens original ready rice spanish style,250 g,,United States,Vegetables,Prepared meals,Processed foods,250.0,g,250.0,g
everyday essentials,400 g,Unknown Packaging,en:United Kingdom,Vegetables,Uncategorized,Other,400.0,g,400.0,g
british baby spinach,220g,en:mixed plastic-bag,"France, en:united-kingdom",Vegetables,Uncategorized,Other,220.0,g,220.0,g
organic italian chopped tomatoes,390 g,Cardboard,"France, Ireland, en:united-kingdom",Vegetables,Uncategorized,Other,390.0,g,390.0,g
baby plum tomatoes,325g,"Ldpe-packet, Pet-tray",en:United Kingdom,Vegetables,Uncategorized,Other,325.0,g,325.0,g
broccoli,635 g,Mixed plastic film-film,United Kingdom,Vegetables,Uncategorized,Other,635.0,g,635.0,g
sundried tomatoes,2 x 60 g,Unknown Packaging,en:gb,Vegetables,Uncategorized,Other,60.0,g,60.0,g
chopped tomatoes,400 g,Unknown Packaging,en:United Kingdom,Vegetables,Uncategorized,Other,400.0,g,400.0,g
pickled red cabbage,440g,Unknown Packaging,en:United Kingdom,Vegetables,Uncategorized,Other,440.0,g,440.0,g
peeled carrots,453.59237 g,Unknown Packaging,"France, United States, World",Vegetables,Uncategorized,Other,453.59237,g,453.59237,g
taste the difference pomodoro baby plum tomatoes,250 g,"Card-tray,Ldpe-wrapper",United Kingdom,Vegetables,Uncategorized,Other,250.0,g,250.0,g
freshly frozen mixed vegetables,1 kg,"Pack, Plastic bag",United Kingdom,Vegetables,Vegetables,Plant-based foods,1000.0,g,1000.0,g
broccoli florets,900 g,Bag,"Deutschland,Vereinigtes Königreich",Vegetables,Uncategorized,Other,900.0,g,900.0,g
"chopped tomatoes, carton 16 x 390g",16 x 390 g,Can,"France, Germany, en:united-kingdom",Vegetables,Uncategorized,Other,390.0,g,390.0,g
cauliflower cheese,750g,"HdpeFilm-bag, en:ldpe-bag",en:gb,Vegetables,Uncategorized,Other,750.0,g,750.0,g
british carrots,500g,"Plastic bag, en:ldpe-bag",United Kingdom,Vegetables,Uncategorized,Other,500.0,g,500.0,g
carrot houmous,100g,"Pet-tray, Pp film-film",en:United Kingdom,Vegetables,Uncategorized,Other,100.0,g,100.0,g
pickled sliced beetroot,340 g,Unknown Packaging,en:United Kingdom,Vegetables,Uncategorized,Other,340.0,g,340.0,g
salt and apple cider vinegar protein mix,210g,Unknown Packaging,en:United Kingdom,Vegetables,Uncategorized,Other,210.0,g,210.0,g
