Food Code,Food Name,Group,Super Group,Sale format(s),VJ comments,Composite Sample Number_target,Composite Sample Name_target,Sub-sample Number_target,Sub-sample Name_target,Brand_target,Normalized_Weight
17-208,"Beer, bitter, best, premium",QA,Alcoholic beverages,"can, can multipack, bottle, bottle multipack",,,,,,,
17-224,"Cider, sweet",QC,Alcoholic beverages,"can, can multipack, bottle, bottle multipack",,,,,,,
17-234,Port,QF,Alcoholic beverages,bottle,,,,,,,
17-236,"Sherry, medium",QF,Alcoholic beverages,bottle,,,,,,,
17-247,"Spirits, 40% volume",QK,Alcoholic beverages,"bottle, miniature",,,,,,,
17-239,"Vermouth, dry",QG,Alcoholic beverages,bottle,,,,,,,
17-752,"Wine, red",QE,Alcoholic beverages,"bottle, small bottle, box",,,,,,,
17-756,"Wine, white, medium",QE,Alcoholic beverages,"bottle, small bottle, box",,,,,,,
14-272,"Apple juice concentrate, unsweetened, commerical",PE,Beverages,"carton, tetrapak, bottle",,,,,,,
17-632,"Coffee, cappuccino, latte",P,Beverages,,,,,,,,
17-175,Cola,PCA,Beverages,"can, ready to drink bottle, sharing bottle",,,,,,,
17-744,Cranberry fruit juice drink,PE,Beverages,"carton, tetrapak, bottle",,,,,,,
17-498,"Drinking chocolate, powder",PAA,Beverages,,,,,,,,
17-672,"Energy drink, carbonated",PCA,Beverages,"can, ready to drink bottle, sharing bottle",,,,,,,
17-745,"Grape juice, unsweetened",PE,Beverages,"carton, tetrapak, bottle",,,,,,,
17-731,"Horlicks, powder",PAA,Beverages,,,,,,,,
17-179,Lemonade,PCA,Beverages,"can, ready to drink bottle, sharing bottle",,,,,,,
17-761,Lucozade,PCA,Beverages,"ready to drink bottle, sharing bottle",,,,,,,
17-751,"Lager, premium",QA,Beverages,"can, multipack can, bottle, multipack bottle",,,,,,,
17-244,"Liqueurs, high strength",QI,Beverages,"bottle, miniature",,,,,,,
17-733,"Milk shake, powder",PAA,Beverages,,,,,,,,
17-734,"Ovaltine, powder",PAA,Beverages,,,,,,,,
11-001,Arrowroot,AA,Cereals and cereal products,,,,,,,,
11-002,"Barley, pearl, raw",AA,Cereals and cereal products,packet,,,,,,,
11-906,"Bran, wheat",AA,Cereals and cereal products,cereal box,,,,,,,
11-006,"Buckwheat, groats",AA,Cereals and cereal products,packet,,,,,,,
11-1144,"Bread rolls, brown, crusty",AF,Cereals and cereal products,"loose, individual
multiple pack",,,,,,,
11-1006,"Bread rolls, white, soft",AF,Cereals and cereal products,"loose, individual
multiple pack",,,,,,,
11-971,"Bread, brown, average",AF,Cereals and cereal products,loaf,,,,,,,
11-969,"Bread, ciabatta",AF,Cereals and cereal products,"loose, individual
multiple pack",,,,,,,
11-937,"Bread, garlic and herb, retail",AF,Cereals and cereal products,"loose, individual
multiple pack",,,,,,,
11-910,"Bread, naan, peshwari naan, takeaway and retail",AF,Cereals and cereal products,"loose, individual
multiple pack",,,,,,,
11-973,"Bread, naan, retail",AF,Cereals and cereal products,"loose, individual
multiple pack",,,,,,,
11-974,"Bread, pitta, white",AF,Cereals and cereal products,"loose, individual
multiple pack",,,,,,,
11-947,"Bread, seeded",AF,Cereals and cereal products,loaf,,,,,,,
11-1145,"Bread, white, average",AF,Cereals and cereal products,loaf,There is some old legislation which specified that loaves of bread should be sold in 400g increments - most loaves are still 400/800g - you can find refs to the legislation,,,,,,
